variable_name,lower_bound,lower_inclusive,upper_bound,upper_inclusive
mort_rate,0,TRUE,1,FALSE
death_rate,0,TRUE,1,FALSE
offtake_rate,-2,TRUE,1,FALSE
duration,1,TRUE,5000,TRUE
cohort_duration_days,1,TRUE,8000,TRUE
age_first_parturition,110,TRUE,3300,TRUE
lactating_females_fraction,0,TRUE,1,TRUE
fem_birth_fraction,0,TRUE,1,TRUE
birth_fraction_female,0,TRUE,1,TRUE
litter_size,0.01,TRUE,25,TRUE
litsize,0.01,TRUE,25,TRUE
parturition_rate,0.01,TRUE,3,TRUE
size_total,1,TRUE,Inf,TRUE
herd_size_total,1,TRUE,Inf,TRUE
live_weight_female_adult,0,TRUE,Inf,TRUE
live_weight_male_adult,0,TRUE,Inf,TRUE
live_weight_cohort_average,0,TRUE,Inf,TRUE
live_weight_cohort_final,0,TRUE,Inf,TRUE
live_weight_cohort_initial,0,TRUE,Inf,TRUE
live_weight_at_birth,0,TRUE,1000,TRUE
live_weight_at_weaning,0,TRUE,1000,TRUE
live_weight_female_at_slaughter,0,TRUE,Inf,TRUE
live_weight_male_at_slaughter,0,TRUE,Inf,TRUE
live_weight_cohort_at_slaughter,0,TRUE,Inf,TRUE
live_weight_mature_stage,0,TRUE,Inf,TRUE
daily_weight_gain,0,TRUE,5,TRUE
milk_yield_day,0,TRUE,100,TRUE
milk_fat_fraction,0,TRUE,1,TRUE
draught_work_hours_female,0,TRUE,24,TRUE
draught_work_hours_male,0,TRUE,24,TRUE
draught_fraction_female,0,TRUE,1,TRUE
draught_fraction_male,0,TRUE,1,TRUE
low_activity_fraction,0,TRUE,1,TRUE
high_activity_fraction,0,TRUE,1,TRUE
fibre_yield_year,0,TRUE,Inf,TRUE
feed_gross_energy,0,TRUE,45,TRUE
ration_gross_energy,0,TRUE,45,TRUE
ration_metabolizable_energy,0,TRUE,45,TRUE
feed_ration_fraction,0,TRUE,1,TRUE
feed_digestibility_fraction_ruminant,0,TRUE,1,TRUE
feed_digestibility_fraction_pigs,0,TRUE,1,TRUE
feed_digestibility_fraction_chicken,0,TRUE,1,TRUE
feed_metabolizable_energy_ruminant,0,TRUE,45,TRUE
feed_metabolizable_energy_pigs,0,TRUE,45,TRUE
feed_metabolizable_energy_chicken,0,TRUE,45,TRUE
feed_nitrogen_content,0,TRUE,0.1,TRUE
feed_urinary_energy_ruminant,0,TRUE,0.5,TRUE
feed_urinary_energy_pigs,0,TRUE,0.5,TRUE
feed_urinary_energy_chicken,0,TRUE,0.5,TRUE
feed_ash,0,TRUE,25,TRUE
ration_intake,0,TRUE,Inf,TRUE
ration_digestibility_fraction,0,TRUE,1,TRUE
ration_urinary_energy_fraction,0,TRUE,0.2,TRUE
ration_ash,0,TRUE,0.2,TRUE
ratio_m3CH4_to_kgCH4,0,FALSE,Inf,TRUE
volatile_solids,0,TRUE,Inf,TRUE
methane_conversion_factor_mcf,0,TRUE,100,TRUE
ch4_max_producing_capacity_bo,0,FALSE,Inf,TRUE
n2o_ef3,0,TRUE,1,TRUE
n2o_ef4,0,TRUE,1,TRUE
nitrogen_fracgas,0,TRUE,1,TRUE
n2o_ef5,0,TRUE,1,TRUE
nitrogen_fracleach,0,TRUE,1,TRUE
manure_management_system_fraction,0,TRUE,1,TRUE
ch4_conversion_factor_ym,0,TRUE,20,TRUE
ch4_mitigation_factor,0,TRUE,1,TRUE
ration_nitrogen,0,TRUE,0.1,TRUE
milk_protein_fraction,0,TRUE,1,TRUE
milk_lactose_fraction,0,TRUE,1,TRUE
offtake_heads_assessment,0,TRUE,Inf,TRUE
carcass_dressing_fraction,0,TRUE,1,TRUE
bone_free_meat_fraction,0,TRUE,1,TRUE
meat_protein_fraction,0,TRUE,1,TRUE
milk_protein_fraction_standard,0,TRUE,1,TRUE
milk_fat_fraction_standard,0,TRUE,1,TRUE
milk_lactose_fraction_standard,0,TRUE,1,TRUE
milk_production_fpcm_cohort,0,TRUE,Inf,TRUE
simulation_duration,0,FALSE,3650,TRUE
cohort_stock_size,0,TRUE,Inf,TRUE
metabolic_energy_req_fibre_production,0,TRUE,Inf,TRUE
metabolic_energy_req_work,0,TRUE,Inf,TRUE
milk_allocation_energy,0,TRUE,Inf,TRUE
fibre_allocation_energy,0,TRUE,Inf,TRUE
work_allocation_energy,0,TRUE,Inf,TRUE
meat_allocation_energy,0,TRUE,Inf,TRUE
egg_allocation_energy,0,TRUE,Inf,TRUE
meat_production_live_weight_cohort,0,TRUE,Inf,TRUE
ratio_me_to_ne, 0, TRUE, 1, TRUE
