variable,input_table,species_short,cohort_short,has_herd_structure,requirement,condition,lower_bound,lower_inclusive,upper_bound,upper_inclusive,range_species_short,range_cohort_short,comparison_operator,comparison_variable,validation_function,run_demographic_herd,run_weights,run_ration_quality,run_metabolic_energy_req,run_emissions_enteric,run_nitrogen_balance,run_emissions_manure,run_emissions_ration,run_production,run_allocation,run_aggregation,run_gleam,evidence_function
age_first_parturition,herd_level_data,SHP,FS,ANY,R,"Used only in SHP maintenance coefficient for FS and MS in current code. Demographic module uses cohort_duration_days, not this parameter.",110,TRUE,3300,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_maintenance
age_first_parturition,herd_level_data,SHP,MS,ANY,R,"Used only in SHP maintenance coefficient for FS and MS in current code. Demographic module uses cohort_duration_days, not this parameter.",110,TRUE,3300,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_maintenance
birth_fraction_female,herd_level_data,ANY,ANY,FALSE,R,Required only to generate demographic herd structure.,0,TRUE,1,TRUE,ANY,ANY,"","","",X,"","","","","","","","","","",X,run_demographic_herd_module / calc_fecundity_rates / scaling
bone_free_meat_fraction,herd_level_data,ANY,ANY,ANY,R,calc_meat_production is applied per requested cohort; any cohort can have offtake.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,"","",X,calc_meat_production
carcass_dressing_fraction,herd_level_data,ANY,ANY,ANY,R,calc_meat_production is applied per requested cohort; any cohort can have offtake.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,"","",X,calc_meat_production
ch4_conversion_factor_ym,"",ANY,ANY,"","","",0,TRUE,20,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
ch4_feed_rice,feed_emissions,ANY,ANY,ANY,R,Feed emission factor is weighted by ration share for each requested cohort.,,,,,"","","","","","","","","","","","",X,"","","",X,run_emissions_ration_module
ch4_max_producing_capacity_bo,manure_management_system_factors,ANY,ANY,ANY,R,MMS factor required for systems used by requested cohorts.,0,FALSE,Inf,TRUE,ANY,ANY,"","","","","","","","","",X,"","","","",X,calc_ch4_manure / calc_n2o_manure_*
ch4_mitigation_factor,cohort_level_data,ANY,ANY,ANY,O,Optional cohort-level multiplier; defaults to 1 when the column is absent.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","",X,"","","","","","",X,run_gleam / enteric module
co2_feed_crop_activities,feed_emissions,ANY,ANY,ANY,R,Feed emission factor is weighted by ration share for each requested cohort.,,,,,"","","","","","","","","","","","",X,"","","",X,run_emissions_ration_module
co2_feed_fertilizer,feed_emissions,ANY,ANY,ANY,R,Feed emission factor is weighted by ration share for each requested cohort.,,,,,"","","","","","","","","","","","",X,"","","",X,run_emissions_ration_module
co2_feed_luc_nopeat,feed_emissions,ANY,ANY,ANY,R,Feed emission factor is weighted by ration share for each requested cohort.,,,,,"","","","","","","","","","","","",X,"","","",X,run_emissions_ration_module
co2_feed_luc_peat,feed_emissions,ANY,ANY,ANY,R,Feed emission factor is weighted by ration share for each requested cohort.,,,,,"","","","","","","","","","","","",X,"","","",X,run_emissions_ration_module
co2_feed_pesticides,feed_emissions,ANY,ANY,ANY,R,Feed emission factor is weighted by ration share for each requested cohort.,,,,,"","","","","","","","","","","","",X,"","","",X,run_emissions_ration_module
cohort_duration_days,cohort_level_data,ANY,ANY,ANY,R,Used by calc_daily_weight_gain for every requested cohort; also FS pregnancy and PGS-FS N retention.,1,TRUE,8000,TRUE,ANY,ANY,"","","","",X,"",X,"",X,"","","","","",X,calc_daily_weight_gain; calc_metabolic_energy_req_pregnancy; calc_nitrogen_retention
cohort_duration_days,cohort_level_data,ANY,ANY,FALSE,R,Demographic module requires durations for all six cohorts.,1,TRUE,8000,TRUE,ANY,ANY,"","","",X,"","","","","","","","","","",X,run_demographic_herd_module / calc_transition_probabilities
cohort_short,cohort_level_data,ANY,ANY,ANY,R,"",,,,,"","","","","",X,X,X,X,X,X,X,X,X,X,X,X,run_gleam / module joins
cohort_stock_size,cohort_level_data,ANY,ANY,TRUE,R,Supplied by user only when has_herd_structure=TRUE; otherwise generated by demographic module.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,X,X,run_gleam; run_production_module; run_allocation_module; run_aggregation_module
daily_weight_gain,"",ANY,ANY,"","","",0,TRUE,5,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
death_rate,cohort_level_data,ANY,ANY,FALSE,R,Only required when demographic herd structure is generated; module currently requires the complete six-cohort structure.,0,TRUE,1,FALSE,ANY,ANY,"","","",X,"","","","","","","","","","",X,run_demographic_herd_module / calc_transition_probabilities
death_rate_juvenile,herd_level_data,PGS,FA,ANY,R,Used in sow lactation energy to adjust surviving offspring.,,,,,"","","","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation
draught_fraction_female,herd_level_data,BFL,FA,ANY,R,Draught work calculated only for adult females of draught-capable species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
draught_fraction_female,herd_level_data,CML,FA,ANY,R,Draught work calculated only for adult females of draught-capable species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
draught_fraction_female,herd_level_data,CTL,FA,ANY,R,Draught work calculated only for adult females of draught-capable species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
draught_fraction_male,herd_level_data,BFL,MA,ANY,R,Draught work calculated only for adult males of draught-capable species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
