herd_id	species_short	cohort_short	cohort_stock_size	cohort_duration_days	offtake_rate	offtake_heads_assessment	high_activity_fraction	low_activity_fraction
1	CTL	FA	12400936.5155689	989	0	4015397.49587097	3.6e-05	1.66e-06
1	CTL	FJ	702327.129774259	60	0.247	1149662.25768034	3.6e-05	1.66e-06
1	CTL	FS	6905753.00261245	710	0.247	1824891.42730333	3.6e-05	1.66e-06
1	CTL	MA	1225.34703506436	823	0	480.163208560022	3.6e-05	1.66e-06
1	CTL	MJ	237044.742600753	60	0.949	4346241.24224493	3.6e-05	1.66e-06
1	CTL	MS	52713.2624086095	710	0.949	151435.993345888	3.6e-05	1.66e-06
2	CTL	FA	7014.57319107952	5000	0	335.938163799568	0.6	0.0465
2	CTL	FJ	232.83322185074	60	0.661	1523.09640190649	0.6	0.0465
2	CTL	FS	662.566735530783	1400	0.661	707.2882490772	0.6	0.0465
2	CTL	MA	1612.19231120353	1820	0	253.922959302791	0.6	0.0465
2	CTL	MJ	193.585917517619	60	0.783	1801.33355687081	0.6	0.0465
2	CTL	MS	284.248622817812	1400	0.783	431.669507146	0.6	0.0465
3	SHP	FA	2785519.19611322	1110	0	728896.465885575	0.226	0.133
3	SHP	FJ	147620.381986054	60	0.453	532645.461890562	0.226	0.133
3	SHP	FS	587692.011118294	448	0.453	325974.288368905	0.226	0.133
3	SHP	MA	1958993.36630666	2090	0	253105.325399451	0.226	0.133
3	SHP	MJ	63096.9400963627	60	0.913	1056443.64282048	0.226	0.133
3	SHP	MS	17078.1043794055	448	0.913	40263.962193316	0.226	0.133
4	SHP	FA	4545824.98889507	2430	0	575790.839367811	0.478	0.0218
4	SHP	FJ	183859.250115336	60	0.543	874105.329923134	0.478	0.0218
4	SHP	FS	715678.243322185	669	0.543	535976.897564947	0.478	0.0218
4	SHP	MA	2303766.49227327	2680	0	259173.805959358	0.478	0.0218
4	SHP	MJ	118550.443526206	60	0.836	1339238.68621381	0.478	0.0218
4	SHP	MS	112320.581867931	669	0.836	196076.686654096	0.478	0.0218
5	GTS	FA	943257.107488794	2230	0	134620.959495074	0.245	0.109
5	GTS	FJ	34478.9053415061	60	0.737	267963.472316288	0.245	0.109
5	GTS	FS	58261.2556938084	415	0.737	73287.1784202436	0.245	0.109
5	GTS	MA	287207.343645037	1540	0	57797.9986016625	0.245	0.109
5	GTS	MJ	15327.4598808244	60	0.974	351541.843927666	0.245	0.109
5	GTS	MS	1467.92795003006	415	0.974	5215.23446285895	0.245	0.109
6	GTS	FA	113626.393651336	2110	0	12202.0458954071	0	0.75
6	GTS	FJ	9482.45957633985	60	0.359	30127.8531893039	0	0.75
6	GTS	FS	38574.593275261	564	0.359	17487.5631509787	0	0.75
6	GTS	MA	20169.5475417536	2600	0	1582.63531952217	0	0.75
6	GTS	MJ	6912.89054387569	60	0.644	53864.466951166	0	0.75
6	GTS	MS	11234.1154114334	600	0.644	12056.5075998919	0	0.75
7	BFL	FA	265060.071934462	3650	0	20266.4089783291	0.0189	0.0111
7	BFL	FJ	10184.73805936	60	0.664	67192.7401203883	0.0189	0.0111
7	BFL	FS	28057.0787745114	974	0.664	29738.4307217251	0.0189	0.0111
7	BFL	MA	21656.5309466421	1170	0	5381.88829059566	0.0189	0.0111
7	BFL	MJ	6149.07084149852	60	0.906	91287.4687156609	0.0189	0.0111
7	BFL	MS	2892.50944352592	974	0.906	6791.8901172197	0.0189	0.0111
8	BFL	FA	44168651.6087902	1830	0	6316266.91328798	0.0431	0.157
8	BFL	FJ	2498355.80073409	60	0.134	2369657.02968349	0.0431	0.157
8	BFL	FS	40936587.9660647	1400	0.134	5874583.43453492	0.0431	0.157
8	BFL	MA	4598859.5444234	2430	0	430146.991006135	0.0431	0.157
8	BFL	MJ	566593.289263208	60	0.862	15065592.4538572	0.0431	0.157
8	BFL	MS	30951.7907243096	1400	0.862	64875.7339085208	0.0431	0.157
9	PGS	FA	10229027.6975359	890	0	3158829.2439729	0	0
9	PGS	FJ	3152268.67827602	27	0.948	124911474.079784	0	0
9	PGS	FS	958881.891323388	359	0.948	2565339.38941879	0	0
9	PGS	MA	9347593.69231513	890	0	2871834.1451107	0	0
9	PGS	MJ	2286055.00076795	27	0.973	127913106.927552	0	0
9	PGS	MS	126173.039781598	359	0.973	432533.313394459	0	0
10	PGS	FA	946884.106229834	3650	0	80938.740337999	0	0.2
10	PGS	FJ	241401.845396515	90	0.952	4804328.48288217	0	0.2
10	PGS	FS	5670.84424949378	340	0.952	18484.4688995589	0	0.2
10	PGS	MA	911722.191525755	3650	0	77901.4719215724	0	0.2
10	PGS	MJ	144234.322548092	90	0.974	4905532.37457217	0	0.2
10	PGS	MS	86.6900503110999	340	0.974	347.492712466174	0	0.2
11	CML	FA	3028327.44706433	5000	0	137673.3804479	0	1
11	CML	FJ	556741.557019823	370	0	0	0	1
11	CML	FS	2402477.56840717	2190	0	0	0	1
11	CML	MA	47080.5934887955	5000	0.004	2266.3246809289	0	1
11	CML	MJ	556741.557019823	370	0	0	0	1
11	CML	MS	618631.27700006	2190	0.496	433935.006260613	0	1
12	CML	FA	148890.884111914	5000	0	7255.2222366788	0	0
12	CML	FJ	50931.7285803679	365	0	0	0	0
12	CML	FS	113864.11959684	1280	0	0	0	0
12	CML	MA	14609.766863554	5000	0.004	752.433823035768	0	0
12	CML	MJ	50931.7285803679	365	0	0	0	0
12	CML	MS	50771.7722669568	1280	0.5	37663.5204407356	0	0
