herd_id,species_short,variable_name,commodity_name,commodity_type,allocation_share
1,CTL,ch4_enteric,Meat,Edible,0.48698728
1,CTL,ch4_manure_other,Meat,Edible,0.48698728
1,CTL,ch4_ration_rice,Meat,Edible,0.48698728
1,CTL,co2_ration_crop_activities,Meat,Edible,0.48698728
1,CTL,co2_ration_fertilizer,Meat,Edible,0.48698728
1,CTL,co2_ration_luc_nopeat,Meat,Edible,0.48698728
1,CTL,co2_ration_luc_peat,Meat,Edible,0.48698728
1,CTL,co2_ration_pesticides,Meat,Edible,0.48698728
1,CTL,n2o_manure_other_direct,Meat,Edible,0.48698728
1,CTL,n2o_manure_other_indirect,Meat,Edible,0.48698728
1,CTL,n2o_ration_crop_residues,Meat,Edible,0.48698728
1,CTL,n2o_ration_fertilizer,Meat,Edible,0.48698728
1,CTL,n2o_ration_manure_applied,Meat,Edible,0.48698728
1,CTL,ch4_enteric,Milk,Edible,0.51301272
1,CTL,ch4_manure_other,Milk,Edible,0.51301272
1,CTL,ch4_ration_rice,Milk,Edible,0.51301272
1,CTL,co2_ration_crop_activities,Milk,Edible,0.51301272
1,CTL,co2_ration_fertilizer,Milk,Edible,0.51301272
1,CTL,co2_ration_luc_nopeat,Milk,Edible,0.51301272
1,CTL,co2_ration_luc_peat,Milk,Edible,0.51301272
1,CTL,co2_ration_pesticides,Milk,Edible,0.51301272
1,CTL,n2o_manure_other_direct,Milk,Edible,0.51301272
1,CTL,n2o_manure_other_indirect,Milk,Edible,0.51301272
1,CTL,n2o_ration_crop_residues,Milk,Edible,0.51301272
1,CTL,n2o_ration_fertilizer,Milk,Edible,0.51301272
1,CTL,n2o_ration_manure_applied,Milk,Edible,0.51301272
1,CTL,ch4_manure_burned,Other,Non-Edible,1
1,CTL,ch4_manure_pasture,Other,Non-Edible,1
1,CTL,n2o_manure_burned_direct,Other,Non-Edible,1
1,CTL,n2o_manure_burned_indirect,Other,Non-Edible,1
1,CTL,n2o_manure_pasture_direct,Other,Non-Edible,1
1,CTL,n2o_manure_pasture_indirect,Other,Non-Edible,1
2,CTL,ch4_enteric,Meat,Edible,0.984001973
2,CTL,ch4_manure_other,Meat,Edible,0.984001973
2,CTL,ch4_ration_rice,Meat,Edible,0.984001973
2,CTL,co2_ration_crop_activities,Meat,Edible,0.984001973
2,CTL,co2_ration_fertilizer,Meat,Edible,0.984001973
2,CTL,co2_ration_luc_nopeat,Meat,Edible,0.984001973
2,CTL,co2_ration_luc_peat,Meat,Edible,0.984001973
2,CTL,co2_ration_pesticides,Meat,Edible,0.984001973
2,CTL,n2o_manure_other_direct,Meat,Edible,0.984001973
2,CTL,n2o_manure_other_indirect,Meat,Edible,0.984001973
2,CTL,n2o_ration_crop_residues,Meat,Edible,0.984001973
2,CTL,n2o_ration_fertilizer,Meat,Edible,0.984001973
2,CTL,n2o_ration_manure_applied,Meat,Edible,0.984001973
2,CTL,ch4_manure_burned,Other,Non-Edible,1
2,CTL,ch4_manure_pasture,Other,Non-Edible,1
2,CTL,n2o_manure_burned_direct,Other,Non-Edible,1
2,CTL,n2o_manure_burned_indirect,Other,Non-Edible,1
2,CTL,n2o_manure_pasture_direct,Other,Non-Edible,1
2,CTL,n2o_manure_pasture_indirect,Other,Non-Edible,1
2,CTL,ch4_enteric,Work,Non-Edible,0.015998027
2,CTL,ch4_manure_other,Work,Non-Edible,0.015998027
2,CTL,ch4_ration_rice,Work,Non-Edible,0.015998027
2,CTL,co2_ration_crop_activities,Work,Non-Edible,0.015998027
2,CTL,co2_ration_fertilizer,Work,Non-Edible,0.015998027
2,CTL,co2_ration_luc_nopeat,Work,Non-Edible,0.015998027
2,CTL,co2_ration_luc_peat,Work,Non-Edible,0.015998027
2,CTL,co2_ration_pesticides,Work,Non-Edible,0.015998027
2,CTL,n2o_manure_other_direct,Work,Non-Edible,0.015998027
2,CTL,n2o_manure_other_indirect,Work,Non-Edible,0.015998027
2,CTL,n2o_ration_crop_residues,Work,Non-Edible,0.015998027
2,CTL,n2o_ration_fertilizer,Work,Non-Edible,0.015998027
2,CTL,n2o_ration_manure_applied,Work,Non-Edible,0.015998027
3,SHP,ch4_enteric,Fibre,Non-Edible,0.102938988
3,SHP,ch4_manure_other,Fibre,Non-Edible,0.102938988
3,SHP,ch4_ration_rice,Fibre,Non-Edible,0.102938988
3,SHP,co2_ration_crop_activities,Fibre,Non-Edible,0.102938988
3,SHP,co2_ration_fertilizer,Fibre,Non-Edible,0.102938988
3,SHP,co2_ration_luc_nopeat,Fibre,Non-Edible,0.102938988
3,SHP,co2_ration_luc_peat,Fibre,Non-Edible,0.102938988
3,SHP,co2_ration_pesticides,Fibre,Non-Edible,0.102938988
3,SHP,n2o_manure_other_direct,Fibre,Non-Edible,0.102938988
3,SHP,n2o_manure_other_indirect,Fibre,Non-Edible,0.102938988
3,SHP,n2o_ration_crop_residues,Fibre,Non-Edible,0.102938988
3,SHP,n2o_ration_fertilizer,Fibre,Non-Edible,0.102938988
3,SHP,n2o_ration_manure_applied,Fibre,Non-Edible,0.102938988
3,SHP,ch4_enteric,Meat,Edible,0.73679988
3,SHP,ch4_manure_other,Meat,Edible,0.73679988
3,SHP,ch4_ration_rice,Meat,Edible,0.73679988
3,SHP,co2_ration_crop_activities,Meat,Edible,0.73679988
3,SHP,co2_ration_fertilizer,Meat,Edible,0.73679988
3,SHP,co2_ration_luc_nopeat,Meat,Edible,0.73679988
3,SHP,co2_ration_luc_peat,Meat,Edible,0.73679988
3,SHP,co2_ration_pesticides,Meat,Edible,0.73679988
3,SHP,n2o_manure_other_direct,Meat,Edible,0.73679988
3,SHP,n2o_manure_other_indirect,Meat,Edible,0.73679988
3,SHP,n2o_ration_crop_residues,Meat,Edible,0.73679988
3,SHP,n2o_ration_fertilizer,Meat,Edible,0.73679988
3,SHP,n2o_ration_manure_applied,Meat,Edible,0.73679988
3,SHP,ch4_enteric,Milk,Edible,0.160261132
3,SHP,ch4_manure_other,Milk,Edible,0.160261132
3,SHP,ch4_ration_rice,Milk,Edible,0.160261132
3,SHP,co2_ration_crop_activities,Milk,Edible,0.160261132
3,SHP,co2_ration_fertilizer,Milk,Edible,0.160261132
