herd_id	cohort_short	milk_production_fpcm_cohort	live_weight_cohort_at_slaughter	meat_production_live_weight_cohort	metabolic_energy_req_fibre_production	cohort_stock_size	metabolic_energy_req_work
1	"FA"	47556092777.5183	680	2954362951.20978	0	12319404.0006139	0
1	"FJ"	0	250	310980617.985542	0	697702.017774141	0
1	"FS"	0	557	1100082082.68104	0	6862697.55343835	0
1	"MA"	0	916	52068401.6021742	0	152017.290372805	0
1	"MJ"	0	250	1175653132.60462	0	235485.468212183	0
1	"MN"	0	383.125	0	0	10386.3769949239	0
1	"MN"	0	605	48889291.4979553	0	14452.5708599769	0
1	"MS"	0	605	14869315.8142808	0	7854.72173373539	0
2	"FA"	0	350	123475.603623647	0	7014.57319108008	0
2	"FJ"	0	220	351887.502191349	0	232.833221850757	0
2	"FS"	0	250	185690.728876629	0	662.566735530807	0
2	"MA"	0	450	119996.410254655	0	1612.1923112029	0.795305141730242
2	"MJ"	0	220	416169.826904788	0	193.585917517634	0
2	"MS"	0	250	113330.068073855	0	284.248622817826	0
3	"FA"	96609659.6753056	51	41886633.8697239	0.0986301369863014	2785519.19611322	0
3	"FJ"	0	30	18005240.4670745	0	147620.381986054	0
3	"FS"	0	35	12855554.9850283	0.0986301369863014	587692.011118294	0
3	"MA"	0	59	16826459.1132969	0.0986301369863014	1958993.36630666	0
3	"MJ"	0	30	35711412.5433086	0	63096.9400963627	0
3	"MS"	0	35	1587903.090398	0.0986301369863014	17078.1043794055	0
4	"FA"	0	60.1	36851501.3632216	0.164383561643836	4545824.98889507	0
4	"FJ"	0	35	32579752.121387	0	183859.250115336	0
4	"FS"	0	51.8	29565946.9450295	0.164383561643836	715678.243322185	0
4	"MA"	0	70.3	19402710.0789008	0.164383561643836	2303766.49227327	0
4	"MJ"	0	35	49916254.8660524	0	118550.443526206	0
4	"MS"	0	55.9	11672227.1423386	0.164383561643836	112320.581867931	0
5	"FA"	170714332.289448	70	10136435.1858091	0.118356164383562	943257.107489313	0
5	"FJ"	0	15	4323558.92238717	0	34478.9053415241	0
5	"FS"	0	25	1970799.92169827	0.118356164383562	58261.2556938271	0
5	"MA"	0	110	6838801.70752507	0.118356164383562	287207.343644472	0
5	"MJ"	0	15	5672086.05996832	0	15327.4598808326	0
5	"MS"	0	25	140245.318384406	0.118356164383562	1467.92795003072	0
6	"FA"	0	51	659099.570712941	0.0493150684931507	113626.393651343	0
6	"FJ"	0	14	446729.282255371	0	9482.4595763404	0
6	"FS"	0	29	537125.155266513	0.0493150684931507	38574.5932752612	0
6	"MA"	0	75.2	126051.173361457	0.0493150684931507	20169.5475417452	0
6	"MJ"	0	14	798690.650441214	0	6912.89054387609	0
6	"MS"	0	29	370311.944589131	0.0493150684931507	11234.115411434	0
7	"FA"	128157410.400445	600	12864651.7371539	0	265060.071934462	0
7	"FJ"	0	130	9241355.67044015	0	10184.73805936	0
7	"FS"	0	420	13214091.7711417	0	28057.0787745114	0
7	"MA"	0	800	4555065.71626732	0	21656.5309466421	0
7	"MJ"	0	130	12555224.9416246	0	6149.07084149851	0
7	"MS"	0	420	3017935.28206874	0	2892.50944352592	0
8	"FA"	40295747197.4817	478	3192712965.94709	0	44168651.6087817	0
8	"FJ"	0	110	275644723.627443	0	2498355.80073363	0
8	"FS"	0	110	683346959.899706	0	40936587.9660686	0
8	"MA"	0	500	227435575.869854	0	4598859.54442868	1.72140041688124
8	"MJ"	0	110	1752469246.05869	0	566593.289263099	0
8	"MS"	0	110	7546515.60092255	0	30951.7907243048	0
9	"FA"	0	225	855036610.961041	0	10160338.1649715	0
9	"FJ"	0	7	1052052772.37597	0	3131541.30582471	0
9	"FN"	0	53	0	0	252495.962374756	0
9	"FN"	0	122	131549148.066959	0	280646.060326995	0
9	"FS"	0	122	113284134.964854	0	286567.768599188	0
9	"MA"	0	265	948919314.391151	0	9589309.94965897	0
9	"MJ"	0	7	1077285486.40892	0	2270921.70913699	0
9	"MN"	0	53	0	0	51782.2629651741	0
9	"MN"	0	122	26978302.9953469	0	57555.3286449127	0
9	"MS"	0	122	9543990.10509427	0	18841.4874968276	0
10	"FA"	0	64	5463304.37842478	0	946814.814608856	0
10	"FJ"	0	6	30402108.4489655	0	241384.612375283	0
10	"FN"	0	27.6	0	0	125.547033272788	0
10	"FN"	0	60	32168.5493289036	0	139.543935445016	0
10	"FS"	0	60	1111237.29913291	0	5386.98155036975	0
10	"MA"	0	71	5834694.152932	0	911836.775835352	0
10	"MJ"	0	6	31042509.5606973	0	144223.915431629	0
10	"MN"	0	27.6	0	0	4.63797884836915	0
10	"MN"	0	60	1188.37576230097	0	5.15505467664805	0
10	"MS"	0	60	19790.7946060404	0	78.01619626938	0
11	"FA"	1316577975.81181	352	48213739.2649635	0.152914941064033	3028327.44706306	0
11	"FJ"	0	120	0	0	556741.55701959	0
11	"FS"	0	352	0	0.152914941064033	2402477.56840919	0
11	"MA"	0	382	861318.284047333	0.152914941064033	47080.5934887761	0.8
11	"MJ"	0	120	0	0	556741.55701959	0
11	"MS"	0	382	164917303.387997	0.152914941064033	618631.2769998	0
12	"FA"	150883611.874276	537	3704593.11004601	0.152914941064033	148890.884111919	0
12	"FJ"	0	150	0	0	50931.7285803687	0
12	"FS"	0	537	0	0.152914941064033	113864.119596835	0
12	"MA"	0	572	409241.669128827	0.152914941064033	14609.7668635523	0.8
12	"MJ"	0	150	0	0	50931.7285803687	0
12	"MS"	0	572	20484834.0127093	0.152914941064033	50771.7722669562	0
