herd_id	species_short	cohort_short	nondemo_productive_phase_id	feed_name	feed_id	feed_ration_fraction
1	"CTL"	"FA"	NA	"Forage and silage, maize"	"F136"	0.3
1	"CTL"	"FA"	NA	"Hay, from cultivated grasses"	"F148"	0.2
1	"CTL"	"FA"	NA	"Other grasses, for forage"	"F151"	0.1
1	"CTL"	"FA"	NA	"Cake of Soya beans"	"F210"	0.05
1	"CTL"	"FA"	NA	"Cake of Cottonseed"	"F221"	0.02
1	"CTL"	"FA"	NA	"Mixed grain"	"F27"	0.04
1	"CTL"	"FA"	NA	"Bran of Wheat"	"F308"	0.04
1	"CTL"	"FA"	NA	"Brewing or distilling dregs and waste"	"F335"	0.05
1	"CTL"	"FA"	NA	"Maize (corn)"	"F5"	0.2
1	"CTL"	"FJ"	NA	"Raw milk of cattle"	"F160"	1
1	"CTL"	"FS"	NA	"Forage and silage, maize"	"F136"	0.3
1	"CTL"	"FS"	NA	"Hay, from cultivated grasses"	"F148"	0.2
1	"CTL"	"FS"	NA	"Other grasses, for forage"	"F151"	0.1
1	"CTL"	"FS"	NA	"Cake of Soya beans"	"F210"	0.05
1	"CTL"	"FS"	NA	"Cake of Cottonseed"	"F221"	0.02
1	"CTL"	"FS"	NA	"Mixed grain"	"F27"	0.04
1	"CTL"	"FS"	NA	"Bran of Wheat"	"F308"	0.04
1	"CTL"	"FS"	NA	"Brewing or distilling dregs and waste"	"F335"	0.05
1	"CTL"	"FS"	NA	"Maize (corn)"	"F5"	0.2
1	"CTL"	"MA"	NA	"Forage and silage, maize"	"F136"	0.3
1	"CTL"	"MA"	NA	"Hay, from cultivated grasses"	"F148"	0.2
1	"CTL"	"MA"	NA	"Other grasses, for forage"	"F151"	0.1
1	"CTL"	"MA"	NA	"Cake of Soya beans"	"F210"	0.05
1	"CTL"	"MA"	NA	"Cake of Cottonseed"	"F221"	0.02
1	"CTL"	"MA"	NA	"Mixed grain"	"F27"	0.04
1	"CTL"	"MA"	NA	"Bran of Wheat"	"F308"	0.04
1	"CTL"	"MA"	NA	"Brewing or distilling dregs and waste"	"F335"	0.05
1	"CTL"	"MA"	NA	"Maize (corn)"	"F5"	0.2
1	"CTL"	"MJ"	NA	"Raw milk of cattle"	"F160"	1
1	"CTL"	"MN"	1	"Forage and silage, maize"	"F136"	0.3
1	"CTL"	"MN"	1	"Hay, from cultivated grasses"	"F148"	0.2
1	"CTL"	"MN"	1	"Other grasses, for forage"	"F151"	0.1
1	"CTL"	"MN"	1	"Cake of Soya beans"	"F210"	0.05
1	"CTL"	"MN"	1	"Cake of Cottonseed"	"F221"	0.02
1	"CTL"	"MN"	1	"Mixed grain"	"F27"	0.04
1	"CTL"	"MN"	1	"Bran of Wheat"	"F308"	0.04
1	"CTL"	"MN"	1	"Brewing or distilling dregs and waste"	"F335"	0.05
1	"CTL"	"MN"	1	"Maize (corn)"	"F5"	0.2
1	"CTL"	"MN"	2	"Forage and silage, maize"	"F136"	0.3
1	"CTL"	"MN"	2	"Hay, from cultivated grasses"	"F148"	0.2
1	"CTL"	"MN"	2	"Other grasses, for forage"	"F151"	0.1
1	"CTL"	"MN"	2	"Cake of Soya beans"	"F210"	0.05
1	"CTL"	"MN"	2	"Cake of Cottonseed"	"F221"	0.02
1	"CTL"	"MN"	2	"Mixed grain"	"F27"	0.04
1	"CTL"	"MN"	2	"Bran of Wheat"	"F308"	0.04
1	"CTL"	"MN"	2	"Brewing or distilling dregs and waste"	"F335"	0.05
1	"CTL"	"MN"	2	"Maize (corn)"	"F5"	0.2
1	"CTL"	"MS"	NA	"Forage and silage, maize"	"F136"	0.3
1	"CTL"	"MS"	NA	"Hay, from cultivated grasses"	"F148"	0.2
1	"CTL"	"MS"	NA	"Other grasses, for forage"	"F151"	0.1
1	"CTL"	"MS"	NA	"Cake of Soya beans"	"F210"	0.05
1	"CTL"	"MS"	NA	"Cake of Cottonseed"	"F221"	0.02
1	"CTL"	"MS"	NA	"Mixed grain"	"F27"	0.04
1	"CTL"	"MS"	NA	"Bran of Wheat"	"F308"	0.04
1	"CTL"	"MS"	NA	"Brewing or distilling dregs and waste"	"F335"	0.05
1	"CTL"	"MS"	NA	"Maize (corn)"	"F5"	0.2
2	"CTL"	"FA"	NA	"Fresh grass, natural pastures"	"F1"	0.7
2	"CTL"	"FA"	NA	"Hay, from natural grasses"	"F147.1"	0.28
2	"CTL"	"FA"	NA	"Bran of Wheat"	"F308"	0.02
2	"CTL"	"FJ"	NA	"Raw milk of cattle"	"F160"	1
2	"CTL"	"FS"	NA	"Fresh grass, natural pastures"	"F1"	0.7
2	"CTL"	"FS"	NA	"Hay, from natural grasses"	"F147.1"	0.28
2	"CTL"	"FS"	NA	"Bran of Wheat"	"F308"	0.02
2	"CTL"	"MA"	NA	"Fresh grass, natural pastures"	"F1"	0.7
2	"CTL"	"MA"	NA	"Hay, from natural grasses"	"F147.1"	0.28
2	"CTL"	"MA"	NA	"Bran of Wheat"	"F308"	0.02
2	"CTL"	"MJ"	NA	"Raw milk of cattle"	"F160"	1
2	"CTL"	"MS"	NA	"Fresh grass, natural pastures"	"F1"	0.7
2	"CTL"	"MS"	NA	"Hay, from natural grasses"	"F147.1"	0.28
2	"CTL"	"MS"	NA	"Bran of Wheat"	"F308"	0.02
3	"SHP"	"FA"	NA	"Barley, straw"	"F10"	0.06
3	"SHP"	"FA"	NA	"Hay, from cultivated grasses"	"F148"	0.2
3	"SHP"	"FA"	NA	"Hay for forage, from legumes, cultivated"	"F149.2"	0.04
3	"SHP"	"FA"	NA	"Other grasses, for forage"	"F151"	0.2
3	"SHP"	"FA"	NA	"Mixed grass and legumes, for forage, cultivated"	"F153.2"	0.04
3	"SHP"	"FA"	NA	"Wheat, straw"	"F2"	0.1
