GLEAM_code,Item_Name,GLEAM3_name,Category,data,item_code_cpc,source_item_code_cpc,item_code_fao,source_item_code_fao,description,cattle,sheep,goat,pigs,chicken,species,faostat_domain,cr_slope,cr_intercept,DM,GE,DE_ruminants,DE_pigs,ME_ruminants,ME_pigs,ME_chickens,CP,N_content,N_dig_ruminants,N_dig_pigs,reference1,reference2,note
F1,Fresh grass,GRASSF,Grass and leaves,available,,,,,Any type of natural or cultivated fresh grass grazed or fed to the animals.,Y,Y,Y,Y,Y,All,,,,20.555,18.7,12.7908,7.9,10.7,7.25,5.65,16.2,0.02592,71.3,52.4,https://www.feedtables.com/content/grass-dehydrated,,
F2,"Wheat, straw",WSTRAW,Crop residues,available,1913,111,635,15,"Fibrous residual plant material such as straw, brans, leaves, etc. from wheat (Triticum spp.) cultivation.",Y,Y,,Y,Y,Ruminants,Production,1.51,0.52,91,18.5,8.3,2.29999999999999,6.8,2,,4.2,0.00672,3.5,,http://www.feedipedia.org/node/12758,,
F3,Wheat,WHEAT,Cereals,available,111,111,15,15,Grains from wheat (Triticum aestivum).,Y,,Y,Y,Y,All,Production,,,87,18.2,15.6,15.9,13.1,15.5,14.1,12.6,0.02016,70.4,83.5,https://www.feedipedia.org/node/223,,
F4,"Maize (corn), stover",ZSTOVER,Crop residues,available,1913,112,635,56,"Fibrous residual plant material such as straw, brans, leaves, etc. from maize (Zea mays) cultivation.",Y,Y,,Y,Y,Ruminants,Production,1.03,0.61,61.2,18.2,9.4,,7.65,,,5.35,0.00855999999999999,-37,,see sheet Maize stover),,
F5,Maize (corn),MAIZE,Cereals,available,112,112,56,56,Grains from maize (Zea mays).,Y,,,Y,Y,All,Production,,,87.26,18.7166666666666,16.0999999999999,16.4166666666666,13.5833333333333,16.0333333333333,15.1374999999999,9.1,0.01456,66,80.4,see sheet Maize),,
F6,"Rice, straw",RSTRAW,Crop residues,available,1913,113,635,27,"Fibrous residual plant material such as straw, brans, leaves, etc. from rice (Oryza spp.) cultivation.",Y,Y,Y,Y,,Ruminants,Production,0.95,2.46,92.8,15.5,7.2,5.4,5.8,,,4.2,0.00672,2.1,,http://www.feedipedia.org/node/11646,,
F7,Rice,RICE,Cereals,available,113,113,27,27,"Grains from rice (Oryza spp.), polished",Y,Y,Y,Y,Y,All,Production,,,89.2,18,15.9,17.1,13.4,16.6,15.75,10.4,0.01664,70,92,https://www.feedipedia.org/node/12526,,
F8,"Sorghum, stover",SSTOVER,Crop residues,available,1913,114,635,83,"Fibrous residual plant material such as straw, brans, leaves, etc. from sorghum (Sorghum spp.) cultivation.",Y,Y,Y,,,Ruminants,Production,0.88,1.33,93,18.1,8.9,,7.3,,,3.7,0.00592,30,,http://www.feedipedia.org/node/12618,,
F9,Sorghum,SORGHUM,Cereals,available,114,114,83,83,Grains from sorghum (Sorghum spp.).,Y,Y,,Y,Y,All,Production,,,87.4,18.8,16,16.1,13.5,15.7,15.85,10.8,0.01728,68.4,70.6,https://www.feedipedia.org/node/224,,
F10,"Barley, straw",BSTRAW,Crop residues,available,1913,115,635,44,"Fibrous residual plant material such as straw, brans, leaves, etc. from barley (Hordeum vulgare), rye (Secale cereale) or oat (Avena sativa) cultivation.",Y,Y,,Y,Y,All,Production,0.98,0.59,90.9,18.2,8,0.025,6.5,2.2,,3.8,0.00607999999999999,22.8,,https://www.feedipedia.org/node/11830,,
F11,Barley,BARLEY,Cereals,available,115,115,44,44,Grains from barley (Hordeum vulgare).,Y,Y,Y,Y,Y,All,Production,,,87.1,18.3999999999999,14.8,14.8,12.4,14.3,12.25,11.8,0.01888,66.6,76.2,https://www.feedipedia.org/node/227,,
F12,"Rye, straw",,Crop residues,available,1913,116,635,71,"Fibrous residual plant material such as straw, brans, leaves, etc. from ryey (Secale cereale) cultivation.",Y,Y,,Y,Y,All,Production,1.09,0.88,92,18.3,8.19999999999999,2.2,6.6,1.9,,4.09999999999999,0.00655999999999999,2,,https://www.feedipedia.org/node/14205,,
F13,Rye,GRAINS,Cereals,available,116,116,71,71,Grains from rye (Secale cereale),Y,Y,,Y,Y,Ruminants,Production,,,86.6,18,15.5,15.1,13,14.6,13.25,10.3,0.01648,68.3,70.9,https://www.feedipedia.org/node/12542,,not used commonly as feed low protein low fibre not palatable
F14,"Oats, straw",,Crop residues,available,1913,117,635,75,"Fibrous residual plant material such as straw, brans, leaves, etc. from oat (Avena sativa) cultivation.",Y,Y,,Y,Y,Ruminants,Production,0.91,0.89,89.6,18,8.1,2.7,6.6,2.4,,3.6,0.00576,31,,https://www.feedipedia.org/node/12389,,
