Category,Category_short,Item_Name,GLEAM3_name,Item_group,GLEAM_Method,GLEASTAT_version,DM,GE,DE_ruminants,DE_pigs,ME_ruminants,ME_pigs,ME_chickens,CP,N_content,N_dig_ruminants,N_dig_pigs
Grass and leaves,GrassLeaves,GRASSF_uncultivated,GRASSF_uncultivated,GLEAM3,GLEAMX,v1,24.31,17.8316294275472,10.3861666666667,7.38530303030303,8.23206521739131,6.69836956521739,5.22010869565218,10.5570469798658,0.0168912751677852,,
Crop residues,CropResidues,WSTRAW,WSTRAW,GLEAM3,GLEAMX,v1,91,18.5,8.3,2.29999999999999,6.8,2,,4.2,0.00672,3.5,
Cereals,Cereals,WHEAT,WHEAT,GLEAM3,GLEAMX,v1,87,18.2,15.6,15.9,13.1,15.5,14.1,12.6,0.02016,70.4,83.5
Crop residues,CropResidues,ZSTOVER,ZSTOVER,GLEAM3,GLEAMX,v1,61.2,18.2,9.4,,7.65,,,5.35,0.00855999999999999,-37,
Cereals,Cereals,MAIZE,MAIZE,GLEAM3,GLEAMX,v1,87.26,18.7166666666666,16.0999999999999,16.4166666666666,13.5833333333333,16.0333333333333,15.1374999999999,9.1,0.01456,66,80.4
Crop residues,CropResidues,RSTRAW,RSTRAW,GLEAM3,GLEAMX,v1,92.8,15.5,7.2,5.4,5.8,,,4.2,0.00672,2.1,
Cereals,Cereals,RICE,RICE,GLEAM3,GLEAMX,v1,89.2,18,15.9,17.1,13.4,16.6,15.75,10.4,0.01664,70,92
Crop residues,CropResidues,SSTOVER,SSTOVER,GLEAM3,GLEAMX,v1,93,18.1,8.9,,7.3,,,3.7,0.00592,30,
Cereals,Cereals,SORGHUM,SORGHUM,GLEAM3,GLEAMX,v1,87.4,18.8,16,16.1,13.5,15.7,15.85,10.8,0.01728,68.4,70.6
Crop residues,CropResidues,BSTRAW,BSTRAW,GLEAM3,GLEAMX,v1,90.9,18.2,8,0.025,6.5,2.2,,3.8,0.00607999999999999,22.8,
Cereals,Cereals,BARLEY,BARLEY,GLEAM3,GLEAMX,v1,87.1,18.3999999999999,14.8,14.8,12.4,14.3,12.25,11.8,0.01888,66.6,76.2
Cereals,Cereals,GRAINS,GRAINS,GLEAM3,GLEAMX,v1,86.7575,18.6842013888889,14.2452858333333,13.7784722222222,11.9003472222222,13.3180555555556,12.9309343434343,11.4369791666667,0.0182991666666667,64.7145833333333,73.9704545454546
Crop residues,CropResidues,MSTOVER,MSTOVER,GLEAM3,GLEAMX,v1,93.6,17.725,8.925,,7.22499999999999,,,4.375,0.00699999999999999,10.3,
Cereals,Cereals,MILLET,MILLET,GLEAM3,GLEAMX,v1,89.8,18.7249999999999,15.1489333333333,14.45,12.6333333333333,14.0333333333333,14.3333333333333,11.875,0.019,76.5,
Crop residues,CropResidues,BNSTEM,BNSTEM,GLEAM3,GLEAMX,v1,11.6,17.4,12.4,5,9.9,,,9.8,0.01568,54.7,
Fruits and vegetables,FruitsVegetables,BNFRUIT,BNFRUIT,GLEAM3,GLEAMX,v1,21.9,17.1,13.3,14.2,11.3,13.8,13.7,5.2,0.00832,,53.6
Oil crops,OilCrops,SOY,SOY,GLEAM3,GLEAMX,v1,88.7,23.6,19.8,19.3,15.3,14,16.55,39.6,0.06336,92.5,86.5
Oil crops,OilCrops,RAPESEED,RAPESEED,GLEAM3,GLEAMX,v1,92.3,28.8,25,23.5,20.3,22.8,16.8,20.9,0.03344,74.6,73.3
Roots and tubers,RootsTubers,CASSAVA,CASSAVA,GLEAM3,GLEAMX,v1,62.6,16.95,14.35,15.5,12.3,15.2,15.15,2.75,0.0044,33.35,52.3
Crop residues,CropResidues,PSTRAW,PSTRAW,GLEAM3,GLEAMX,v1,80.525,18.065,9.485,,7.645,,,9.925,0.01588,50.4875,
Pulses,Pulses,PULSES,PULSES,GLEAM3,GLEAMX,v1,88.1363636363636,18.9989898989899,17.0547969696969,15.3176767676768,13.8455808080808,13.9190656565657,12.2371900826446,25.9911616161616,0.0415858585858585,80.6055555555556,83.7990909090909
Crop residues,CropResidues,TOPS,TOPS,GLEAM3,GLEAMX,v1,26.8,18,9.8,,8,,,4.9,0.00783999999999999,43.6,
Fodder crops,FodderCrops,FDDRSIL,FDDRSIL,GLEAM3,GLEAMX,v1,42.42,18.4860481139945,11.7297838383838,8,9.46830434782609,,,12.8315659955257,0.0205305055928412,62.9023686868687,
Grass and leaves,GrassLeaves,GRASSF_cultivated,GRASSF_cultivated,GLEAM3,GLEAMX,v1,23.0383333333333,17.98,12.481795,7.9,10.0101524257426,7.25,5.65,11.825,0.01892,58.45,52.4
Grass and leaves,GrassLeaves,GRASSLEGF_cultivated,GRASSLEGF_cultivated,GLEAM3,GLEAMX,v1,19.9722222222222,18.2644444444444,12.6522222222222,7.9,10.0522222222222,7.25,5.65,18.9644444444444,0.0303431111111111,71.01,52.4
