LPS,LPS_short,HerdType,HerdType_short,Animal,Animal_short,ADM0_CODE,ISO3,ISO3_num,M49_code,COUNTRY,RegionClass,CLIM,CLIMATE_ZONE,TEMPERATURE,AFCM,AFKG,AMKG,BCR,DR1M,DR2,DRF,DRR2A,DRR2B,DWG2,FRRF,FRMF,LW,M2SKG,MFSKG,MMSKG,RRF,RRM,BIDLE,CLTSIZE,CYCLE,HATCH,LAYTIME1,LAYTIME2,MOLTTIME,MALE,MOLT,WA,A2S,AF1KG,AF2KG,afc,AFS,AM1KG,AM2KG,bone_free_meat_fraction,Bo,ckg,dr1,carcass_dressing_percentage,DRL2,DRM,EGGSYEAR,EGGWGHT,EGG_PROTEIN,parturition_rate,gest,work_hours,idle,lact,lambing_interval,litsize,meat_protein,milk_fat,milk_protein,milk_yield,mmsaerobic,mmsaerproc,mmsbiogashighleak1,mmsburned,mmscompostint,mmsdaily,mmsdrylot,mmslagoon,mmsliquidnatcov6,mmslitter,mmsnolitter,mmspasture,mmspit1,mmspit6,mmssolid,mmssolidadd,wkg,size_total,past_man_frac,female_birth_fraction,mmsdeepnomix2,mmsliquid6,adm0_code,mmssolidcov,mmssolidbulk,mmspit3,mmspit4,mmspit12,mmsliquid1,mmsliquid3,mmsliquid4,mmsliquid12,mmsliquidnatcov1,mmsliquidnatcov3,mmsliquidnatcov4,mmsliquidnatcov12,mmsliquidsolcov1,mmsliquidsolcov3,mmsliquidsolcov4,mmsliquidsolcov6,mmsliquidsolcov12,mmsbiogaslowleak1,mmsbiogaslowleak2,mmsbiogaslowleak3,mmsbiogashighleak2,mmsbiogashighleak3,mmsdeepnomix1,mmsdeepmix2,mmsdeepmix1,mmscompostves,mmscompoststat,mmscompostpass,mmsareobic,offtake_rate.FJ,offtake_rate.FS,offtake_rate.FA,offtake_rate.MJ,offtake_rate.MS,offtake_rate.MA,mort_rate.FJ,mort_rate.FS,mort_rate.FA,mort_rate.MJ,mort_rate.MS,mort_rate.MA,duration.FJ,duration.FS,duration.FA,duration.MJ,duration.MS,duration.MA,draught_fraction,milking_fraction,fibre_prod
Backyard,BCK,Chicken,CHK,Chicken,CHK,1,AFG,,4,Afghanistan,Countries,0,6.529698466,12.69810423,,0,0,0.0909,0,0.249904563,0,0,0,0,0.95,0.95,0.662143951,0.791132516,0,0,0,0,0,14.99522816,3.799045252,0.779968188,0,0,0,1,0,0,0,0.707501514,1.091760312,0.504205462,2.536986301,0.874763517,1.349878018,0.75,0.24,0.035,0.489904563,0,0,0.15,60.10432669,43.8,0.124,0.779968188,0,0,0,0,0,4.38082256698724,0.19,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,11637499.51,0.128160418482999,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02550477185,0.491998792754932,0,0.507412055864369,0.491998792754932,0.489904563,0.489904563,0.249904563,0.489904563,0.489904563,0.249904563,2,182.03499363,741.965006235,2,182.03499363,741.965006235,0,0,0
Backyard,BCK,Chicken,CHK,Chicken,CHK,3,ALB,,8,Albania,Countries,0,5.621671739,16.22342097,,0,0,0.02,0,0.2,0,0,0,0,0.95,0.95,1.489276864,1.93,0,0,0,0,0,15,3.3,0.8,0,0,0,1,0,0,0,1.70086758,1.93,0.410958904,2.01369863,2.15913242,2.45,0.75,0.39,0.045,0.09,0,0,0.15,159,57.5,0.124,0.8,0,0,0,0,0,2.63322879165748,0.19,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,1259169.547,0.461183098591549,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455,0.6794520548,0,0.909212207545527,0.6794520548,0.09,0.09,0.2,0.09,0.09,0.2,2,147.99999996,584.99999999,2,147.99999996,584.99999999,0,0,0
Backyard,BCK,Chicken,CHK,Chicken,CHK,4,DZA,,12,Algeria,Countries,0,5.902689536,18.67135566,,0,0,0.217388667,0,0.200007667,0,0,0,0,0.95,0.95,0.834835145,1.146,0,0,0,0,0,13.99992333,2.500115003,0.780001533,0,0,0,1,0,0,0,0.894972171,1.230001687,0.460273973,2.537012348,1.397027829,1.92,0.75,0.24,0.025,0.6300092,0,0,0.15,77.99677992,40.99956827,0.124,0.780001533,0,0,0,0,0,5.24082460874651,0.19,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,11760466.36,0.0857272699562455,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01849954,0.584636402646879,0,0.360405224715179,0.584636402646879,0.6300092,0.6300092,0.200007667,0.6300092,0.6300092,0.200007667,2,166.000000145,758.009506875,2,166.000000145,758.009506875,0.539994419304296,0,0
Backyard,BCK,Chicken,CHK,Chicken,CHK,7,AND,,20,Andorra,Countries,0,6.998168513,7.704396269,,0,0,0.02,0,0.2,0,0,0,0,0.95,0.95,1.489276866,1.93,0,0,0,0,0,15,3.3,0.8,0,0,0,1,0,0,0,1.70086758,1.93,0.410958904,2.01369863,2.15913242,2.45,0.75,0.39,0.045,0.09,0,0,0.15,159,57.5,0.124,0.8,0,0,0,0,0,2.63322879165748,0.19,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,27849.76418,0.031216361679225,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455,0.6794520548,0,0.909212207545527,0.6794520548,0.09,0.09,0.2,0.09,0.09,0.2,2,147.99999996,584.99999999,2,147.99999996,584.99999999,0,0,0
Backyard,BCK,Chicken,CHK,Chicken,CHK,8,AGO,,24,Angola,Countries,0,2.473573885,23.76459155,,0,0,0.166686122,0,0.2,0,0,0,0,0.95,0.95,0.821010355,1.146,0,0,0,0,0,10.5031099,3.499490596,0.760046114,0,0,0,1,0,0,0,0.881576892,1.200088484,0.460273973,2.536986301,1.410423108,1.92,0.75,0.24,0.025,0.629937253,0,0,0.15,54.99758666,41,0.124,0.760046114,0,0,0,0,0,5.3807725329151,0.19,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,7167750.967,0.029411073527548,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01850313735,0.5846575344,0,0.362879836965841,0.5846575344,0.629937253,0.629937253,0.2,0.629937253,0.629937253,0.2,2,166.000000145,757.99999972,2,166.000000145,757.99999972,0.400070031025138,0,0
Backyard,BCK,Chicken,CHK,Chicken,CHK,11,ATG,,28,Antigua and Barbuda,Countries,0,2,27.08688323,,0,0,0.15151,0,0.2,0,0,0,0,0.95,0.95,0.926949432,1.146,0,0,0,0,0,13,3.3,0.79,0,0,0,1,0,0,0,1.010582011,1.5,0.484931507,2.536986301,1.281417989,1.902,0.75,0.24,0.03,0.58,0,0,0.15,100,47.8,0.124,0.79,0,0,0,0,0,4.6406846028155,0.19,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,4102.588704,0.192669438501594,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.5895890412,0,0.414553619611389,0.5895890412,0.58,0.58,0.2,0.58,0.58,0.2,2,175.000000055,748.99999981,2,175.000000055,748.99999981,0.339977559237014,0,0
Backyard,BCK,Chicken,CHK,Chicken,CHK,19,AZE,,31,Azerbaijan,Countries,0,6.264691713,13.44144128,,0,0,0.090892595,0,0.220233744,0,0,0,0,0.95,0.95,0.772230637,0.894216887,0,0,0,0,0,13.51194832,3.50233744,0.770081744,0,0,0,1,0,0,0,0.804905569,1.328149399,0.533996788,2.536931644,0.983528205,1.622878175,0.75,0.240015667,0.035001044,0.460197187,0,0,0.15,144.4590465,43.80143096,0.124,0.770081744,0,0,0,0,0,3.96783421367251,0.19,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,3028652.511,0.0152544302356468,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02699014065,0.558886157675019,0,0.536608963507504,0.558886157675019,0.460197187,0.460197187,0.220233744,0.460197187,0.460197187,0.220233744,2,192.90882762,731.07122244,2,192.90882762,731.07122244,0,0,0
Backyard,BCK,Chicken,CHK,Chicken,CHK,12,ARG,,32,Argentina,Countries,0,5.545296249,18.5964148,,0,0,0.15151,0,0.2,0,0,0,0,0.95,0.95,0.926949437,1.146,0,0,0,0,0,13,3.3,0.79,0,0,0,1,0,0,0,1.010582011,1.5,0.484931507,2.536986301,1.281417989,1.902,0.75,0.24,0.03,0.58,0,0,0.15,100,47.97533006,0.124,0.79,0,0,0,0,0,4.6406846028155,0.19,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,1149984.537,0.0760896631812649,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.5895890412,0,0.414553619611389,0.5895890412,0.58,0.58,0.2,0.58,0.58,0.2,2,175.000000055,748.99999981,2,175.000000055,748.99999981,0.339977559237014,0,0
Backyard,BCK,Chicken,CHK,Chicken,CHK,17,AUS,,36,Australia,Countries,0,4.963136089,17.569702,,0,0,0.15151,0,0.2,0,0,0,0,0.95,0.95,0.797801036,1.146,0,0,0,0,0,13,3.3,0.84,0,0,0,1,0,0,0,0.881538462,1.25,0.484931507,2.536986301,1.410461538,2,0.75,0.39,0.03,0.73,0,0,0.15,70,47.8,0.124,0.84,0,0,0,0,0,6.72726149317299,0.19,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.0184329963327426,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135,0.5895890412,0,0.264877808920235,0.5895890412,0.73,0.73,0.2,0.73,0.73,0.2,2,175.000000055,748.99999981,2,175.000000055,748.99999981,0.339977559237014,0,0
Backyard,BCK,Chicken,CHK,Chicken,CHK,18,AUT,,40,Austria,Countries,0,6.551003869,7.686348122,,0,0,0.02,0,0.2,0,0,0,0,0.95,0.95,1.488916508,1.929428534,0,0,0,0,0,15,3.3,0.8,0,0,0,1,0,0,0,1.700349311,1.929700661,0.410958904,2.01369863,2.158507757,2.449667098,0.75,0.39,0.045,0.09,0,0,0.15,159,57.5,0.124,0.8,0,0,0,0,0,2.63322879165748,0.19,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,372915.5,0.136280121079138,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455,0.6794520548,0,0.909212207545527,0.6794520548,0.09,0.09,0.2,0.09,0.09,0.2,2,147.99999996,584.99999999,2,147.99999996,584.99999999,0,0,0
