LPS,HerdType,Animal,ADM0_CODE,ISO3,ISO3_num,RegionClass,COUNTRY,A2S,ACT,AF1KG,AF2KG,AFC,AFKG,AFS,AF_FRAC,AM1KG,AM2KG,AMKG,BCR,BFM,BIDLE,Bo,CKG,CLIM,CLIMATE_ZONE,CLTSIZE,CSH,CYCLE,DCR,DISCARGE,DISCHARGE,DR1,DR1M,DR2,DRESS,DRF,DRL2,DRM,DRR2A,DRR2B,DWG,DWG2,EGGSYEAR,EGGWGHT,EGG_PROTEIN,FISHPOND,FR,FRMF,FRRF,GEST,HATCH,HOUR,IDLE,INCINERATION,LACT,LAYTIME1,LAYTIME2,LINT,LITSIZE,LW,M2SKG,MALE,MET_PROTEIN,MFSKG,MHR,MLK_FAT,MLK_PROTEIN,MLK_YIELD,mmsaerobic,mmsaerproc,mmsbiogashighleak1,mmsburned,mmscompostint,mmsdaily,mmsdrylot,MMSKG,mmslagoon,mmsliquidnatcov6,mmslitter,mmsnolitter,mmspasture,mmspit1,mmspit6,mmssolid,mmssolidadd,MOLT,MOLTTIME,POPULATION,PUBLSEWAGE,RRF,RRM,TEMPERATURE,WA,WKG,WOOL,size_total,M49_code,past_man_frac,FBR,Animal_short,HerdType_short,LPS_short,mmsdeepnomix2,mmsliquid6,adm0_code,mmssolidcov,mmssolidbulk,mmspit3,mmspit4,mmspit12,mmsliquid1,mmsliquid3,mmsliquid4,mmsliquid12,mmsliquidnatcov1,mmsliquidnatcov3,mmsliquidnatcov4,mmsliquidnatcov12,mmsliquidsolcov1,mmsliquidsolcov3,mmsliquidsolcov4,mmsliquidsolcov6,mmsliquidsolcov12,mmsbiogaslowleak1,mmsbiogaslowleak2,mmsbiogaslowleak3,mmsbiogashighleak2,mmsbiogashighleak3,mmsdeepnomix1,mmsdeepmix2,mmsdeepmix1,mmscompostves,mmscompoststat,mmscompostpass,mmsareobic
Backyard,Chicken,Chicken,1,AFG,,Countries,Afghanistan,0,0,0.707501513826741,1.09176031243689,0.504205461531609,0,2.53698630136999,0.01,0.874763517366004,1.34987801770955,0,0.0909,0.75,0,0.24,0.035,0,6.52969846597208,14.995228164622,0,3.79904525151937,0,0,0,0.489904563292441,0,0.24990456329244,0,0,0,0.15,0,0,0.00227951892654344,0,60.1043266902442,43.8000000000001,0.124,0,0,0.95,0.95,0,0.779968187764145,0,0,0,0,0,0,0,0,0.662143951163178,0.791132515596372,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,15632.7638117141,0,0,0,12.6981042326308,0,0,0,11637499.51,4,0.128160418482999,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,3,ALB,,Countries,Albania,0,0,1.70086757990868,1.93,0.41095890411,0,2.01369863014,0.01,2.15913242009132,2.45,0,0.02,0.75,0,0.390000000000001,0.0449999999999999,0,5.62167173858492,15,0,3.3,0,0,0,0.0899999999999999,0,0.2,0,0,0,0.15,0,0,0.0052078915957679,0,159,57.5,0.124,0,0,0.95,0.95,0,0.799999999999999,0,0,0,0,0,0,0,0,1.48927686385392,1.93,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,14022.4052628452,0,0,0,16.2234209734591,0,0,0,1259169.547,8,0.461183098591549,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,4,DZA,,Countries,Algeria,0,0,0.894972171441422,1.23000168671111,0.460273972600003,0,2.53701234771828,0.0100000000000001,1.39702782855859,1.92,0,0.217388666731542,0.750000000000001,0,0.239999999999999,0.0249999999999999,0,5.90268953578478,13.9999233313135,0,2.50011500302976,0,0,0,0.630009200242385,0,0.20000766686865,0,0,0,0.15,0,0,0.00355343552033545,0,77.996779915167,40.9995682699624,0.124,0,0,0.950000000000001,0.950000000000001,0,0.780001533373731,0,0,0,0,0,0,0,0,0.834835145125392,1.146,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,6925.00954140135,0,0,0,18.6713556580631,0,0,0,11760466.36,12,0.0857272699562455,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,7,AND,,Countries,Andorra,0,0,1.70086757990868,1.93,0.41095890411,0,2.01369863014,0.01,2.15913242009132,2.45,0,0.02,0.75,0,0.39,0.045,0,6.99816851274841,15,0,3.3,0,0,0,0.09,0,0.2,0,0,0,0.15,0,0,0.00520789159011596,0,159,57.5,0.124,0,0,0.95,0.95,0,0.8,0,0,0,0,0,0,0,0,1.48927686624525,1.93,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,5360.38063249016,0,0,0,7.7043962689022,0,0,0,27849.76418,20,0.031216361679225,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,8,AGO,,Countries,Angola,0,0,0.88157689210723,1.2000884843152,0.4602739726,0,2.53698630136999,0.00999999999999998,1.41042310789277,1.92,0,0.166686122253175,0.75,0,0.24,0.025,0,2.47357388464544,10.503109900231,0,3.49949059568692,0,0,0,0.62993725327221,0,0.2,0,0,0,0.15,0,0,0.00355539170595884,0,54.9975866643157,41,0.124,0,0,0.949999999999998,0.949999999999998,0,0.760046113759942,0,0,0,0,0,0,0,0,0.821010355153232,1.146,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,13117.2146907334,0,0,0,23.7645915517379,0,0,0,7167750.967,24,0.029411073527548,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,11,ATG,,Countries,Antigua and Barbuda,0,0,1.01058201058201,1.5,0.48493150685,0,2.53698630137,0.01,1.28141798941799,1.902,0,0.15151,0.75,0,0.24,0.03,0,2,13,0,3.3,0,0,0,0.58,0,0.2,0,0,0,0.15,0,0,0.00346384025973766,0,100,47.8,0.124,0,0,0.95,0.95,0,0.79,0,0,0,0,0,0,0,0,0.926949431627341,1.146,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,403.913688723431,0,0,0,27.0868832276755,0,0,0,4102.588704,28,0.192669438501594,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,19,AZE,,Countries,Azerbaijan,0,0,0.80490556854201,1.32814939876526,0.533996788173019,0,2.53693164421369,0.01,0.983528204839477,1.62287817462353,0,0.0908925945276455,0.75,0,0.240015667430934,0.0350010444953956,0,6.26469171328843,13.5119483224919,0,3.5023374397286,0,0,0,0.460197186634014,0,0.22023374397286,0,0,0,0.15,0,0,0.00253048479640893,0,144.459046477157,43.801430958692,0.124,0,0,0.95,0.95,0,0.770081744474071,0,0,0,0,0,0,0,0,0.772230637314519,0.894216886690743,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,8526.97115011879,0,0,0,13.4414412839207,0,0,0,3028652.511,31,0.0152544302356468,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,12,ARG,,Countries,Argentina,0,0,1.010582010582,1.5,0.48493150685,0,2.53698630136999,0.00999999999999997,1.28141798941799,1.902,0,0.151509999999999,0.750000000000001,0,0.24,0.0300000000000001,0,5.54529624938534,13,0,3.30000000000001,0,0,0,0.579999999999999,0,0.2,0,0,0,0.150000000000001,0,0,0.00346384020980692,0,100,47.9753300625133,0.124,0,0,0.950000000000004,0.950000000000004,0,0.790000000000001,0,0,0,0,0,0,0,0,0.926949437006474,1.14599999999999,1,0.190000000000001,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,2006.43589651287,0,0,0,18.5964147974052,0,0,0,1149984.537,32,0.0760896631812649,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,17,AUS,,Countries,Australia,0,0,0.881538461538455,1.25,0.484931506850002,0,2.53698630136999,0.00999999999999996,1.41046153846154,2,0,0.151509999999999,0.75,0,0.389999999999999,0.03,0,4.9631360891695,13,0,3.29999999999999,0,0,0,0.729999999999998,0,0.2,0,0,0,0.149999999999999,0,0,0.00384157644126296,0,70.0000000000001,47.8000000000001,0.123999999999999,0,0,0.949999999999998,0.949999999999998,0,0.839999999999996,0,0,0,0,0,0,0,0,0.797801036136823,1.146,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,205.610954853113,0,0,0,17.5697019968834,0,0,0,0,36,0.0184329963327426,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,18,AUT,,Countries,Austria,0,0,1.70034931140573,1.92970066066452,0.41095890411,0,2.01369863014,0.01,2.15850775658607,2.44966709837539,0,0.02,0.75,0,0.39,0.045,0,6.55100386947949,15,0,3.3,0,0,0,0.09,0,0.2,0,0,0,0.15,0,0,0.00520661149307824,0,159,57.5,0.124,0,0,0.950000000000001,0.950000000000001,0,0.8,0,0,0,0,0,0,0,0,1.48891650817141,1.9294285339959,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1312.67632622926,0,0,0,7.6863481219356,0,0,0,372915.5,40,0.136280121079138,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
