ADM0_CODE,Animal_short,HerdType_short,mms_all,mmspasture,ipcc_method
8,CTL,DRY,0.13,0.19,2019
8,CTL,,0.1,0.19,2019
8,BFL,,0.1,0.19,2019
8,PGS,,0.29,0.19,2019
8,SHP,,0.13,0.19,2019
8,GTS,,0.13,0.19,2019
8,CML,,0.21,0.19,2019
8,CHK,LAY,0.39,0.19,2019
8,CHK,BRL,0.36,0.19,2019
29,CTL,DRY,0.13,0.19,2019
29,CTL,,0.1,0.19,2019
29,BFL,,0.1,0.19,2019
29,PGS,,0.29,0.19,2019
29,SHP,,0.13,0.19,2019
29,GTS,,0.13,0.19,2019
29,CML,,0.21,0.19,2019
29,CHK,LAY,0.39,0.19,2019
29,CHK,BRL,0.36,0.19,2019
35,CTL,DRY,0.13,0.19,2019
35,CTL,,0.1,0.19,2019
35,BFL,,0.1,0.19,2019
35,PGS,,0.29,0.19,2019
35,SHP,,0.13,0.19,2019
35,GTS,,0.13,0.19,2019
35,CML,,0.21,0.19,2019
35,CHK,LAY,0.39,0.19,2019
35,CHK,BRL,0.36,0.19,2019
42,CTL,DRY,0.13,0.19,2019
42,CTL,,0.1,0.19,2019
42,BFL,,0.1,0.19,2019
42,PGS,,0.29,0.19,2019
42,SHP,,0.13,0.19,2019
42,GTS,,0.13,0.19,2019
42,CML,,0.21,0.19,2019
42,CHK,LAY,0.39,0.19,2019
42,CHK,BRL,0.36,0.19,2019
43,CTL,DRY,0.13,0.19,2019
43,CTL,,0.1,0.19,2019
43,BFL,,0.1,0.19,2019
43,PGS,,0.29,0.19,2019
43,SHP,,0.13,0.19,2019
43,GTS,,0.13,0.19,2019
43,CML,,0.21,0.19,2019
43,CHK,LAY,0.39,0.19,2019
43,CHK,BRL,0.36,0.19,2019
66,CTL,DRY,0.13,0.19,2019
66,CTL,,0.1,0.19,2019
66,BFL,,0.1,0.19,2019
66,PGS,,0.29,0.19,2019
66,SHP,,0.13,0.19,2019
66,GTS,,0.13,0.19,2019
66,CML,,0.21,0.19,2019
66,CHK,LAY,0.39,0.19,2019
66,CHK,BRL,0.36,0.19,2019
47,CTL,DRY,0.13,0.19,2019
47,CTL,,0.1,0.19,2019
47,BFL,,0.1,0.19,2019
47,PGS,,0.29,0.19,2019
47,SHP,,0.13,0.19,2019
47,GTS,,0.13,0.19,2019
47,CML,,0.21,0.19,2019
47,CHK,LAY,0.39,0.19,2019
47,CHK,BRL,0.36,0.19,2019
45,CTL,DRY,0.13,0.19,2019
45,CTL,,0.1,0.19,2019
