"COUNTRY","ADM0_CODE","Animal_short","HerdType_short","b0","mms","ipcc_ref"
"Angola",8,"CTL","DRY",0.13,"","2006; 2019"
"Angola",8,"CTL","",0.1,"","2006; 2019"
"Angola",8,"BFL","",0.1,"","2006; 2019"
"Angola",8,"PGS","",0.29,"","2006; 2019"
"Angola",8,"SHP","",0.13,"","2006; 2019"
"Angola",8,"GTS","",0.13,"","2006; 2019"
"Angola",8,"CML","",0.21,"","2006; 2019"
"Angola",8,"CHK","LAY",0.39,"","2006; 2019"
"Angola",8,"CHK","BRL",0.36,"","2006; 2019"
"Angola",8,"CTL","",0.19,"mmspasture","2019"
"Angola",8,"SHP","",0.19,"mmspasture","2019"
"Angola",8,"GTS","",0.19,"mmspasture","2019"
"Angola",8,"CML","",0.19,"mmspasture","2019"
"Angola",8,"CHK","",0.19,"mmspasture","2019"
"Angola",8,"PGS","",0.19,"mmspasture","2019"
"Angola",8,"BFL","",0.19,"mmspasture","2019"
"Benin",29,"CTL","DRY",0.13,"","2006; 2019"
"Benin",29,"CTL","",0.1,"","2006; 2019"
"Benin",29,"BFL","",0.1,"","2006; 2019"
"Benin",29,"PGS","",0.29,"","2006; 2019"
"Benin",29,"SHP","",0.13,"","2006; 2019"
"Benin",29,"GTS","",0.13,"","2006; 2019"
"Benin",29,"CML","",0.21,"","2006; 2019"
"Benin",29,"CHK","LAY",0.39,"","2006; 2019"
"Benin",29,"CHK","BRL",0.36,"","2006; 2019"
"Benin",29,"CTL","",0.19,"mmspasture","2019"
"Benin",29,"SHP","",0.19,"mmspasture","2019"
"Benin",29,"GTS","",0.19,"mmspasture","2019"
"Benin",29,"CML","",0.19,"mmspasture","2019"
"Benin",29,"CHK","",0.19,"mmspasture","2019"
"Benin",29,"PGS","",0.19,"mmspasture","2019"
"Benin",29,"BFL","",0.19,"mmspasture","2019"
"Botswana",35,"CTL","DRY",0.13,"","2006; 2019"
"Botswana",35,"CTL","",0.1,"","2006; 2019"
"Botswana",35,"BFL","",0.1,"","2006; 2019"
"Botswana",35,"PGS","",0.29,"","2006; 2019"
"Botswana",35,"SHP","",0.13,"","2006; 2019"
"Botswana",35,"GTS","",0.13,"","2006; 2019"
"Botswana",35,"CML","",0.21,"","2006; 2019"
"Botswana",35,"CHK","LAY",0.39,"","2006; 2019"
"Botswana",35,"CHK","BRL",0.36,"","2006; 2019"
"Botswana",35,"CTL","",0.19,"mmspasture","2019"
"Botswana",35,"SHP","",0.19,"mmspasture","2019"
"Botswana",35,"GTS","",0.19,"mmspasture","2019"
"Botswana",35,"CML","",0.19,"mmspasture","2019"
"Botswana",35,"CHK","",0.19,"mmspasture","2019"
"Botswana",35,"PGS","",0.19,"mmspasture","2019"
"Botswana",35,"BFL","",0.19,"mmspasture","2019"
"Burkina Faso",42,"CTL","DRY",0.13,"","2006; 2019"
