"ADM0_CODE","mmspasture","mmsdaily","mmssolid","mmssolidcov","mmssolidbulk","mmssolidadd","mmsdrylot","mmspit1","mmspit3","mmspit4","mmspit6","mmspit12","mmsliquid1","mmsliquid3","mmsliquid4","mmsliquid6","mmsliquid12","mmsliquidnatcov1","mmsliquidnatcov3","mmsliquidnatcov4","mmsliquidnatcov6","mmsliquidnatcov12","mmsliquidsolcov1","mmsliquidsolcov3","mmsliquidsolcov4","mmsliquidsolcov6","mmsliquidsolcov12","mmslagoon","mmsbiogaslowleak1","mmsbiogaslowleak2","mmsbiogaslowleak3","mmsbiogashighleak1","mmsbiogashighleak2","mmsbiogashighleak3","mmsburned","mmsdeepnomix2","mmsdeepnomix1","mmsdeepmix2","mmsdeepmix1","mmscompostves","mmscompoststat","mmscompostint","mmscompostpass","mmslitter","mmsnolitter","mmsareobic","mmsaerproc","ipcc_method"
2,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
7,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
13,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
18,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
26,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
31,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
46,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
51,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
52,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
65,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
67,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
69,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
78,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
81,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
82,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
84,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
88,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
92,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
93,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
98,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
109,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
114,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,"2006"
