ADM0_CODE,mean_temp_2015_country,temp_min_exclusive,temp_max_inclusive,mcfpasture,mcfdaily,mcfsolid,mcfsolidcov,mcfsolidbulk,mcfsolidadd,mcfdrylot,mcfpit1,mcfpit3,mcfpit4,mcfpit6,mcfpit12,mcfliquid1,mcfliquid3,mcfliquid4,mcfliquid6,mcfliquid12,mcfliquidnatcov1,mcfliquidnatcov3,mcfliquidnatcov4,mcfliquidnatcov6,mcfliquidnatcov12,mcfliquidsolcov1,mcfliquidsolcov3,mcfliquidsolcov4,mcfliquidsolcov6,mcfliquidsolcov12,mcflagoon,mcfbiogaslowleak1,mcfbiogaslowleak2,mcfbiogaslowleak3,mcfbiogashighleak1,mcfbiogashighleak2,mcfbiogashighleak3,mcfburned,mcfdeepnomix2,mcfdeepnomix1,mcfdeepmix2,mcfdeepmix1,mcfcompostves,mcfcompoststat,mcfcompostint,mcfcompostpass,mcflitter,mcfnolitter,mcfareobic,mcfaerproc
2,-10.5282791640175,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
7,4.41829265488519,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
13,6.74256576739529,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
18,7.74104059003086,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
26,8.61633721434859,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
31,8.77572269574412,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
46,-5.56386788264336,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
51,8.46288859198572,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
52,-6.85512799542883,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
65,9.54471178431703,Inf-,10,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
