"ADM0_CODE","Animal_short","mmspasture","mmsdaily","mmssolid","mmssolidcov","mmssolidbulk","mmssolidadd","mmsdrylot","mmspit1","mmspit3","mmspit4","mmspit6","mmspit12","mmsliquid1","mmsliquid3","mmsliquid4","mmsliquid6","mmsliquid12","mmsliquidnatcov1","mmsliquidnatcov3","mmsliquidnatcov4","mmsliquidnatcov6","mmsliquidnatcov12","mmsliquidsolcov1","mmsliquidsolcov3","mmsliquidsolcov4","mmsliquidsolcov6","mmsliquidsolcov12","mmslagoon","mmsbiogaslowleak1","mmsbiogaslowleak2","mmsbiogaslowleak3","mmsbiogashighleak1","mmsbiogashighleak2","mmsbiogashighleak3","mmsburned","mmsdeepnomix2","mmsdeepnomix1","mmsdeepmix2","mmsdeepmix1","mmscompostves","mmscompoststat","mmscompostint","mmscompostpass","mmslitter","mmsnolitter","mmsareobic","mmsaerproc","ipcc_method"
1,"PGS",0.02,0,0.005,0.005,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.07,0.006,0.006,0.1,0.01,0.001,0.001,0.01,0.005,"2006"
1,"CTL",0.02,0,0.005,0.005,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.07,0.006,0.006,0.1,0.01,0.001,0.001,0.01,0.005,"2006"
1,"BFL",0.02,0,0.005,0.005,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.07,0.006,0.006,0.1,0.01,0.001,0.001,0.01,0.005,"2006"
1,"CHK",0.02,0,0.005,0.005,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.07,0.006,0.006,0.1,0.01,0.001,0.001,0.01,0.005,"2006"
1,"GTS",0.01,0,0.005,0.005,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.07,0.006,0.006,0.1,0.01,0.001,0.001,0.01,0.005,"2006"
1,"SHP",0.01,0,0.005,0.005,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.07,0.006,0.006,0.1,0.01,0.001,0.001,0.01,0.005,"2006"
1,"CML",0.01,0,0.005,0.005,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.07,0.006,0.006,0.1,0.01,0.001,0.001,0.01,0.005,"2006"
2,"PGS",0.02,0,0.005,0.005,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.07,0.006,0.006,0.1,0.01,0.001,0.001,0.01,0.005,"2006"
2,"CTL",0.02,0,0.005,0.005,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.07,0.006,0.006,0.1,0.01,0.001,0.001,0.01,0.005,"2006"
2,"BFL",0.02,0,0.005,0.005,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.07,0.006,0.006,0.1,0.01,0.001,0.001,0.01,0.005,"2006"
