ef5,ADM0_CODE
0.0075,1
0.0075,2
0.0075,3
0.0075,4
0.0075,5
0.0075,7
0.0075,8
0.0075,9
0.0075,11
0.0075,12
0.0075,13
0.0075,14
0.0075,15
0.0075,16
0.0075,17
0.0075,18
0.0075,19
0.0075,20
0.0075,21
0.0075,22
0.0075,23
0.0075,24
0.0075,25
0.0075,26
0.0075,27
0.0075,28
0.0075,29
0.0075,30
0.0075,31
0.0075,32
0.0075,33
0.0075,34
0.0075,35
0.0075,36
0.0075,37
0.0075,38
0.0075,39
0.0075,40
0.0075,41
0.0075,42
0.0075,43
0.0075,44
0.0075,45
0.0075,46
0.0075,47
0.0075,48
0.0075,49
0.0075,50
0.0075,51
0.0075,52
0.0075,54
0.0075,55
0.0075,56
0.0075,57
0.0075,58
0.0075,59
0.0075,60
0.0075,61
0.0075,62
0.0075,63
0.0075,64
0.0075,65
0.0075,66
0.0075,67
0.0075,68
0.0075,69
0.0075,70
0.0075,71
0.0075,72
0.0075,73
0.0075,75
0.0075,76
0.0075,77
0.0075,78
0.0075,79
0.0075,80
0.0075,81
0.0075,82
0.0075,83
0.0075,84
0.0075,85
0.0075,86
0.0075,87
0.0075,88
0.0075,89
0.0075,90
0.0075,92
0.0075,93
0.0075,94
0.0075,95
0.0075,96
0.0075,97
0.0075,98
0.0075,99
0.0075,100
0.0075,101
0.0075,103
0.0075,104
0.0075,105
0.0075,106
0.0075,107
0.0075,108
0.0075,109
0.0075,110
0.0075,111
0.0075,112
0.0075,113
0.0075,114
0.0075,115
0.0075,116
0.0075,117
0.0075,118
0.0075,119
0.0075,120
0.0075,121
0.0075,122
0.0075,123
0.0075,126
0.0075,127
0.0075,128
0.0075,129
0.0075,130
0.0075,131
0.0075,132
0.0075,133
0.0075,134
0.0075,135
0.0075,136
0.0075,137
0.0075,138
0.0075,139
0.0075,140
0.0075,141
0.0075,142
0.0075,144
0.0075,145
0.0075,146
0.0075,147
0.0075,148
0.0075,149
0.0075,150
0.0075,151
0.0075,152
0.0075,153
0.0075,154
0.0075,155
0.0075,156
0.0075,157
0.0075,158
0.0075,159
0.0075,160
0.0075,161
0.0075,162
0.0075,163
0.0075,164
0.0075,165
0.0075,166
0.0075,167
0.0075,168
0.0075,169
0.0075,170
0.0075,171
0.0075,172
0.0075,173
0.0075,174
0.0075,175
0.0075,176
0.0075,177
0.0075,178
0.0075,179
0.0075,180
0.0075,181
0.0075,182
0.0075,183
0.0075,184
0.0075,185
0.0075,186
0.0075,187
0.0075,188
0.0075,189
0.0075,190
0.0075,191
0.0075,192
0.0075,193
0.0075,194
0.0075,195
0.0075,196
0.0075,197
0.0075,198
0.0075,199
0.0075,200
0.0075,201
0.0075,202
0.0075,203
0.0075,204
0.0075,205
0.0075,206
0.0075,207
0.0075,208
0.0075,209
0.0075,210
0.0075,211
0.0075,212
0.0075,213
0.0075,214
0.0075,215
0.0075,216
0.0075,217
0.0075,218
0.0075,220
0.0075,221
0.0075,222
0.0075,223
0.0075,224
0.0075,225
0.0075,226
0.0075,227
0.0075,228
0.0075,229
0.0075,230
0.0075,231
0.0075,233
0.0075,234
0.0075,235
0.0075,236
0.0075,237
0.0075,238
0.0075,239
0.0075,240
0.0075,241
0.0075,242
0.0075,243
0.0075,244
0.0075,245
0.0075,246
0.0075,247
0.0075,248
0.0075,249
0.0075,250
0.0075,251
0.0075,252
0.0075,253
0.0075,254
0.0075,255
0.0075,256
0.0075,257
0.0075,258
0.0075,259
0.0075,260
0.0075,261
0.0075,262
0.0075,263
0.0075,264
0.0075,265
0.0075,266
0.0075,267
0.0075,268
0.0075,269
0.0075,270
0.0075,271
0.0075,2647
0.0075,2648
0.0075,33364
0.0075,40760
0.0075,40762
0.0075,40765
0.0075,40781
0.0075,61013
0.0075,147295
0.0075,147296
0.0075,6
0.0075,74
0.0075,102
0.0075,74578
