Animal_short,fracgaspasture,fracgasdaily,fracgassolid,fracgassolidcov,fracgassolidbulk,fracgassolidadd,fracgasdrylot,fracgaspit1,fracgaspit3,fracgaspit4,fracgaspit6,fracgaspit12,fracgasliquid1,fracgasliquid3,fracgasliquid4,fracgasliquid6,fracgasliquid12,fracgasliquidnatcov1,fracgasliquidnatcov3,fracgasliquidnatcov4,fracgasliquidnatcov6,fracgasliquidnatcov12,fracgasliquidsolcov1,fracgasliquidsolcov3,fracgasliquidsolcov4,fracgasliquidsolcov6,fracgasliquidsolcov12,fracgaslagoon,fracgasbiogaslowleak1,fracgasbiogaslowleak2,fracgasbiogaslowleak3,fracgasbiogashighleak1,fracgasbiogashighleak2,fracgasbiogashighleak3,fracgasburned,fracgasdeepnomix2,fracgasdeepnomix1,fracgasdeepmix2,fracgasdeepmix1,fracgascompostves,fracgascompoststat,fracgascompostint,fracgascompostpass,fracgaslitter,fracgasnolitter,fracgasareobic,fracgasaerproc,HerdType_short,ADM0_CODE
PGS,0.2,0.07,0.45,0.45,0.45,0.45,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.4,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,,,0.48,0.48,,1
CTL,0.2,0.07,0.3,0.3,0.3,0.3,0.2,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,0.4,0.4,DRY,1
CHK,0.2,0.07,0.45,0.45,0.45,0.45,0.3,0.55,0.55,0.55,0.55,0.55,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.4,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.55,0.48,0.48,,1
CTL,0.2,0.07,0.45,0.45,0.45,0.45,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,0.4,0.4,,1
BFL,0.2,0.07,0.45,0.45,0.45,0.45,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,0.4,0.4,,1
GTS,0.2,0.07,0.12,0.12,0.12,0.12,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,,,0.4,0.4,,1
SHP,0.2,0.07,0.12,0.12,0.12,0.12,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,,,0.4,0.4,,1
CML,0.2,0.07,0.12,0.12,0.12,0.12,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,,,0.4,0.4,,1
PGS,0.2,0.07,0.45,0.45,0.45,0.45,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.4,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,,,0.48,0.48,,2
CTL,0.2,0.07,0.3,0.3,0.3,0.3,0.2,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,0.4,0.4,DRY,2
CHK,0.2,0.07,0.45,0.45,0.45,0.45,0.3,0.55,0.55,0.55,0.55,0.55,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.4,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.55,0.48,0.48,,2
CTL,0.2,0.07,0.45,0.45,0.45,0.45,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,0.4,0.4,,2
BFL,0.2,0.07,0.45,0.45,0.45,0.45,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,0.4,0.4,,2
