feed_name,feed_id,category,co2_feed_crop_operations,co2_feed_fertilizer,co2_feed_luc_nopeat,co2_feed_luc_peat,co2_feed_pesticides,ch4_feed_rice,n2o_feed_crop_residues,n2o_feed_fertilizer,n2o_feed_manure_applied
Barley,F11,Cereals,0.0807918119262762,0.0436831982577949,0.0215916527885755,0.0216381383038938,0.0171278472101822,0,0.000242307704338347,0.000360735307805704,0.000309186381422544
Beet pulp,F332,By-products,0.0479042376861327,0.0462402724270653,0.00206846174159267,0.00307442819655254,0.00825602322960353,0,0.00011311449868056,0.000355632991409705,0.000133221707396915
Beets for fodder,F144,Fodder crop,0.00259322750713926,0.000561887358923311,0,6.90503486142953e-07,0.000657773595353985,0,3.14149492800001e-05,1.04567458718296e-06,1.13960288770744e-05
Bran of Maize,F311,By-products,0.0309337987371986,0.0297791389523542,0.00696310757038338,0.00699454806843648,0.00429579429209594,0,8.95726402241134e-05,0.000175551056530876,7.13659678352002e-05
Bran of Rice,F309,By-products,0.0628503373410188,0.0601699884901985,0.0295798671505521,0.0296962943838565,0.0154786374875059,0.0945752326144099,0.000231645052163227,0.000188931428487203,0.000268224928581416
Bran of Wheat,F308,By-products,0.0479042376861327,0.0462402724270653,0.00206846174159267,0.00307442819655254,0.00825602322960353,0,0.00011311449868056,0.000355632991409705,0.000133221707396915
Cake of Cottonseed,F221,Oil crop cakes,0.0604651200168287,0.231190274096385,0.0139724725661657,0.0143099252947123,0.0174186969365884,0,0.000652826385869907,0.00109150632763514,0.000250650457303958
Cake of Groundnuts,F211,Oil crop cakes,0.260654221039818,0.109558386353089,0.789954500197426,0.810140538976343,0.0285585022470677,0,0.000567920145663137,0.000491007147219009,0.000111723961409898
Cake of Soya beans,F210,Oil crop cakes,0.0809514063524745,0.0518757725532479,0.15069289669622,0.155253875116601,0.0312258308376015,0,0.000405852919779711,8.29880804966295e-05,0.000130565780391463
"Cassava, dry",F97,Roots and tubers,0.0470034370230851,0.0469109482062659,0.807413391690192,0.961813844718396,0.0254216793646854,0,0.000158725835367908,0.000148511271771716,0.000186316861515649
"Forage and silage, alfalfa",F137,Fodder crop,0.0260300124344467,0.00615146960905252,0,0,0.00660252708988232,0,7.04855008000001e-05,1.02566450326335e-05,0.000114389799027236
"Forage and silage, maize",F136,Fodder crop,0.0152404248563059,0.0185698608541902,0,9.15240834205302e-07,0.00386574221693084,0,5.9122544297143e-05,0.000152144171901645,6.69745794702527e-05
"Fresh grass, natural pastures",F1,Grass and leaves,0,0,0,0,0,0,7.02735143314285e-05,0,9.3842958132006e-06
"Hay, from natural grasses",F147.1,Grass and leaves,0.105615380499568,0,0,0,0,0,0.000259876138971428,0,3.47037512795859e-05
Maize (corn),F5,Cereals,0.0264220564234341,0.0248178429583692,0.00457521778123303,0.00459569161386929,0.00378576202492725,0,7.90085965076312e-05,0.000151022489995184,6.39991428904582e-05
"Millet, stover",F16,Crop residues,0,0,0,0,0,0,0,0,0
Molasses (from cane),F295,By-products,0.0252223406190539,0.0355737696059894,0.0248304358036,0.0254608260977464,0.00377382661325266,0,0.000914503937017246,0.000199834313070281,7.35305934322572e-05
Raw milk of buffalo,F161,Animal products,0,0,0,0,0,0,0,0,0
Raw milk of camel,F164,Animal products,0,0,0,0,0,0,0,0,0
Raw milk of cattle,F160,Animal products,0,0,0,0,0,0,0,0,0
Raw milk of goats,F163,Animal products,0,0,0,0,0,0,0,0,0
Raw milk of pig,F345,Animal products,0,0,0,0,0,0,0,0,0
Raw milk of sheep,F162,Animal products,0,0,0,0,0,0,0,0,0
"Rice, straw",F6,Crop residues,0,0,0,0,0,0,0,0,0
"Sorghum, stover",F8,Crop residues,0,0,0,0,0,0,0,0,0
"Sugar cane, tops",F132,Crop residues,0,0,0,0,0,0,0,0,0
Wheat,F3,Cereals,0.0424939097142474,0.0418781334557941,0.00200264989666246,0.00287468328366841,0.00731005095104689,0,0.000101344155866871,0.000315681652284538,0.000119666680333934
"Wheat, straw",F2,Crop residues,0,0,0,0,0,0,0,0,0
