feed_id,feed_name,category,feed_gross_energy,feed_digestible_energy_ruminant,feed_digestible_energy_pigs,feed_metabolizable_energy_ruminant,feed_metabolizable_energy_pigs,feed_metabolizable_energy_chicken,feed_nitrogen_content,feed_urinary_energy_ruminant,feed_urinary_energy_pigs,feed_ash_content
F1,"Fresh grass, natural pastures",Grass and leaves,17.83162943,10.38616667,7.38530303,8.232065217,6.698369565,5.220108696,0.016891275,0.120802278,0.038523314,8.2
F2,"Wheat, straw",Crop residues,18.5,8.3,2.3,6.8,2,3.19539688,0.00672,0.081081081,0.016216216,6.7
F3,Wheat,Cereals,18.2,15.6,15.9,13.1,15.5,14.1,0.02016,0.137362637,0.021978022,1.8
F5,Maize (corn),Cereals,18.71666667,16.1,16.41666667,13.58333333,16.03333333,15.1375,0.01456,0.134461264,0.020480855,1.4
F6,"Rice, straw",Crop residues,15.5,7.2,5.4,5.8,3.774102964,2.677224413,0.00672,0.090322581,0.104896583,18.1
F8,"Sorghum, stover",Crop residues,18.1,8.9,3.232198268,7.3,2.259009086,3.126307218,0.00592,0.08839779,0.053767358,7.5
F11,Barley,Cereals,18.4,14.8,14.8,12.4,14.3,12.25,0.01888,0.130434783,0.027173913,2.6
F16,"Millet, stover",Crop residues,17.725,8.925,3.165232835,7.225,2.212206412,3.061535659,0.007,0.095909732,0.053767358,9.6
F97,"Cassava, dry",Roots and tubers,16.8,14.2,15.3,12.2,15,15.1,0.00464,0.119047619,0.017857143,3.9
F132,"Sugar cane, tops",Crop residues,18,9.8,3.214340819,8,2.246528373,3.109034802,0.00784,0.1,0.053767358,6.9
F136,"Forage and silage, maize",Fodder crop,18.95,13.025,12.95948296,10.775,12.05034414,10.82472143,0.01156,0.118733509,0.047975663,4.8
F137,"Forage and silage, alfalfa",Fodder crop,18.2,11.3,8,8.9,7.438780808,10.39630237,0.03056,0.131868132,0.030836219,11.4
F144,Beets for fodder,Fodder crop,16.2,13.689,13,11.5,12.7,10.1,0.02672,0.135123457,0.018518519,10.6
F147.1,"Hay, from natural grasses",Grass and leaves,17.94072171,9.516757576,7.606451151,7.594565217,6.949252473,5.415624341,0.014357584,0.107141306,0.036631674,8.2
F160,Raw milk of cattle,Animal products,21.94885246,21.29038689,19.46707849,20.43877141,18.71316308,13.26105554,0.041112082,0.0388,0.034348739,5.74
F161,Raw milk of buffalo,Animal products,24.3195,23.589915,21.56967505,22.6463184,20.73433089,14.69335314,0.044528356,0.0388,0.034348739,5.11
F162,Raw milk of sheep,Animal products,20.41973913,19.80714696,18.1108632,19.01486108,17.40947091,12.337196,0.048555268,0.0388,0.034348739,4.35
F163,Raw milk of goats,Animal products,21.94885246,21.29038689,19.46707849,20.43877141,18.71316308,13.26105554,0.041112082,0.0388,0.034348739,5.74
F164,Raw milk of camel,Animal products,22.22297578,21.55628651,19.71020647,20.69403504,18.94687527,13.42667534,0.039998481,0.0388,0.034348739,6.14
F210,Cake of Soya beans,Oil crop cakes,19.7,17.95655,17.05,13.35,15.55,11.05,0.08624,0.233835025,0.076142132,7.1
F211,Cake of Groundnuts,Oil crop cakes,20.63333333,17.36666667,16.12406667,12.96666667,15.3,11.65,0.08368,0.213247173,0.039938611,6.9
F221,Cake of Cottonseed,Oil crop cakes,20.65,15.545,13.1,11.76666667,11.93333333,9.7,0.06788,0.182970137,0.056497175,7.4
F295,Molasses (from cane),By-products,14.7,11.3,13.3,9.6,13,13,0.0088,0.115646259,0.020408163,14.6
F308,Bran of Wheat,By-products,18.9,13.5,10.8,11,10.2,7.6,0.02768,0.132275132,0.031746032,5.6
F309,Bran of Rice,By-products,20.3,13.87,13.8,11.42,13.27,11.57,0.020192,0.120689655,0.026108374,12.3
F311,Bran of Maize,By-products,18.5,13.4,10.1,11,9.7,8.8,0.01904,0.12972973,0.021621622,5.8
F332,Beet pulp,By-products,17.1,13.509,11.8,11.2,11.1,9.440909439,0.01392,0.13502924,0.040935673,6.8
F345,Raw milk of pig,Animal products,25.84357542,,25.06826816,,24.06553743,,0.046759251,,0.0388,10.4
