COUNTRY,ADM0_CODE,LPS,HerdType,HerdType_short,M49_code,RegionClass,Animal_short,LPS_short,size_total,MLK_YIELD,FR,LITSIZE,FBR,mort_rate.FJ,mort_rate.FS,mort_rate.FA,BCR,WOOL,mort_rate.MJ,mort_rate.MS,mort_rate.MA,offtake_rate.FJ,offtake_rate.FS,offtake_rate.FA,offtake_rate.MJ,offtake_rate.MS,offtake_rate.MA,duration.FJ,duration.FS,duration.FA,duration.MJ,duration.MS,duration.MA,HOUR,CKG,WKG,AFKG,AMKG,MFSKG,MMSKG,MMSSOLID,MMSDRYLOT,MMSPASTPADD,MMSDAILY,MMSBIOGAS,MMSBURNED,AFC,WA
Afghanistan,1,ALL,ALL,ALL,4,Countries,CML,ALL,170000,0.850095674,0.49,1,0.5,0.28,0.03,0.06,0.101293041,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Algeria,4,ALL,ALL,ALL,12,Countries,CML,ALL,362265,0.436647889,0.49,1,0.5,0.28,0.03,0.06,0.299979117,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,267.6666667,1359.16875,6877.664583,267.6666667,1359.16875,6877.664583,2,32.69916667,224.7777778,482.6,551.2,482.6,551.2,0,0.5,0.5,0,0,0,4.457083333,267.6666667
Sudan,6,ALL,ALL,ALL,729,Countries,CML,ALL,4809000,0.099241857,0.49,1,0.5,0.28,0.03,0.06,0.299635521,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,172.3611111,1628.044841,4643.871827,172.3611111,1628.044841,4643.871827,2,37.56666667,180.1333333,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,4.932619048,172.3611111
Azerbaijan,19,ALL,ALL,ALL,31,Countries,CML,ALL,242,0,0.49,1,0.5,0.28,0.03,0.06,0.099763428,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Bahrain,21,ALL,ALL,ALL,48,Countries,CML,ALL,1056,0,0.49,1,0.5,0.28,0.03,0.06,0.1,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Burkina Faso,42,ALL,ALL,ALL,854,Countries,CML,ALL,18727,0.310502283,0.43,1,0.5,0.28,0.03,0.06,0.496876262,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,369.9427083,1715.55804,5682.915918,369.9427083,1715.55804,5682.915918,2,28.7,119,351.7216667,381.8213333,351.7216667,381.8213333,0.17,0.03,0.8,0,0,0,5.71370068,369.9427083
Chad,50,ALL,ALL,ALL,148,Countries,CML,ALL,6413521,0.374518728,0.43,1,0.5,0.28,0.03,0.06,0.103069514,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,369.9427083,1747.057292,5651.416667,369.9427083,1747.057292,5651.416667,2,28.7,119,354,354,354,354,0.17,0.03,0.8,0,0,0,5.8,369.9427083
Djibouti,70,ALL,ALL,ALL,262,Countries,CML,ALL,70991,0.544097589,0.43,1,0.5,0.28,0.03,0.06,0.102410552,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,369.9427083,1715.55804,5682.915918,369.9427083,1715.55804,5682.915918,2,28.7,119,351.7216667,381.8213333,351.7216667,381.8213333,0.17,0.03,0.8,0,0,0,5.71370068,369.9427083
Eritrea,77,ALL,ALL,ALL,232,Countries,CML,ALL,370469,0.44335638,0.43,1,0.5,0.28,0.03,0.06,0.100660091,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,369.9427083,1715.55804,5682.915918,369.9427083,1715.55804,5682.915918,2,28.7,119,351.7216667,381.8213333,351.7216667,381.8213333,0.17,0.03,0.8,0,0,0,5.71370068,369.9427083
Ethiopia,79,ALL,ALL,ALL,231,Countries,CML,ALL,1228023,2.196046079,0.44,1,0.5,0.28,0.03,0.05,0.155775973,265,0.28,0.03,0.05,0,0,0,0,0.496,0.004,326.9791667,1635.895238,6888.375595,326.9791667,1635.895238,6888.375595,2,29,118,383.165,429.464,383.165,429.464,0.17,0.03,0.8,0,0,0,5.377738095,326.9791667
India,115,ALL,ALL,ALL,356,Countries,CML,ALL,361909,0.481796298,0.46,1,0.5,0.28,0.03,0.06,0.136411111,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,438,1576.116871,5723.883129,438,1576.116871,5723.883129,2,40.6,211,425.953,457.7328,425.953,457.7328,0.5,0,0.5,0,0,0,5.518128415,438
"Iran, Islamic Republic of",117,ALL,ALL,ALL,364,Countries,CML,ALL,102404,0,0.46,1,0.5,0.28,0.03,0.06,0.368275371,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,438,1576.116871,5723.883129,438,1576.116871,5723.883129,2,40.6,211,425.953,457.7328,425.953,457.7328,0.5,0,0.5,0,0,0,5.518128415,438
Iraq,118,ALL,ALL,ALL,368,Countries,CML,ALL,67048,0.143074581,0.49,1,0.5,0.28,0.03,0.06,0.101188634,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Israel,121,ALL,ALL,ALL,376,Countries,CML,ALL,5508,0,0.49,1,0.5,0.28,0.03,0.06,0.041413485,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Jordan,130,ALL,ALL,ALL,400,Countries,CML,ALL,13200,0,0.49,1,0.5,0.28,0.03,0.06,0.099997537,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Kazakhstan,132,ALL,ALL,ALL,398,Countries,CML,ALL,170513,0,0.49,1,0.5,0.28,0.03,0.06,0.099750071,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Kenya,133,ALL,ALL,ALL,404,Countries,CML,ALL,3059840,1.893890076,0.51,1,0.5,0.28,0.03,0.067,0.050790692,265,0.28,0.03,0.067,0,0,0,0,0.496,0.004,369.9427083,1546.550625,5018.506667,369.9427083,1546.550625,5018.506667,2,28.4,120,318,362,318,362,0.17,0.03,0.8,0,0,0,5.250666667,369.9427083
Kuwait,137,ALL,ALL,ALL,414,Countries,CML,ALL,7718,0,0.49,1,0.5,0.28,0.03,0.06,0.099379397,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Kyrgyzstan,138,ALL,ALL,ALL,417,Countries,CML,ALL,258,0,0.49,1,0.5,0.28,0.03,0.06,0.023173144,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Lebanon,141,ALL,ALL,ALL,422,Countries,CML,ALL,202,0,0.49,1,0.5,0.28,0.03,0.06,0.1,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Libya,145,ALL,ALL,ALL,434,Countries,CML,ALL,56789,0.576100493,0.49,1,0.5,0.28,0.03,0.06,0.299929991,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Mali,155,ALL,ALL,ALL,466,Countries,CML,ALL,998558,2.19208211,0.43,1,0.5,0.28,0.03,0.06,0.101406688,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,405.6822917,1751.467708,5611.266667,405.6822917,1751.467708,5611.266667,2,28.7,119,351.7216667,381.8213333,351.7216667,381.8213333,0.17,0.03,0.8,0,0,0,5.91,405.6822917
Mauritania,159,ALL,ALL,ALL,478,Countries,CML,ALL,1418000,0.676525898,0.43,1,0.5,0.28,0.03,0.06,0.100888313,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,369.9427083,1715.55804,5682.915918,369.9427083,1715.55804,5682.915918,2,28.7,119,351.7216667,381.8213333,351.7216667,381.8213333,0.17,0.03,0.8,0,0,0,5.71370068,369.9427083
Mongolia,167,ALL,ALL,ALL,496,Countries,CML,ALL,367994,0.48168256,0.49,1,0.5,0.28,0.03,0.06,0.09975518,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,328.1736545,1709.964882,5546.141647,328.1736545,1709.964882,5546.141647,2,32.6852381,187.2222222,425.953,457.7328,425.953,457.7328,0.5,0,0.5,0,0,0,5.583941197,328.1736545
Morocco,169,ALL,ALL,ALL,504,Countries,CML,ALL,57500,0.74877671,0.49,1,0.5,0.28,0.03,0.06,0.3,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Namibia,172,ALL,ALL,ALL,516,Countries,CML,ALL,89,0,0.43,1,0.5,0.28,0.03,0.06,0.193683832,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,369.9427083,1715.55804,5682.915918,369.9427083,1715.55804,5682.915918,2,28.7,119,351.7216667,381.8213333,351.7216667,381.8213333,0.17,0.03,0.8,0,0,0,5.71370068,369.9427083
Niger,181,ALL,ALL,ALL,562,Countries,CML,ALL,1742548,1.269864241,0.43,1,0.5,0.28,0.03,0.06,0.281042423,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,377.1666667,1656.795833,5485.0375,377.1666667,1656.795833,5485.0375,2,28.7,119,351.7216667,381.8213333,351.7216667,381.8213333,0.17,0.03,0.8,0,0,0,5.5725,377.1666667
Nigeria,182,ALL,ALL,ALL,566,Countries,CML,ALL,279534,0,0.42,1,0.5,0.28,0.03,0.06,0.103034513,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,369.9427083,1486.082292,5912.391667,369.9427083,1486.082292,5912.391667,2,28.7,119,351.7216667,381.8213333,351.7216667,381.8213333,0.17,0.03,0.8,0,0,0,5.085,369.9427083
Oman,187,ALL,ALL,ALL,512,Countries,CML,ALL,252660,0,0.49,1,0.5,0.28,0.03,0.06,0.099962689,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Pakistan,188,ALL,ALL,ALL,586,Countries,CML,ALL,1035000,6.150114155,0.46,1,0.5,0.28,0.03,0.06,0.332305117,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,438,1576.116871,5723.883129,438,1576.116871,5723.883129,2,40.6,211,425.953,457.7328,425.953,457.7328,0.5,0,0.5,0,0,0,5.518128415,438
Qatar,201,ALL,ALL,ALL,634,Countries,CML,ALL,84216,1.685205674,0.49,1,0.5,0.28,0.03,0.06,0.099367969,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Russian Federation,204,ALL,ALL,ALL,643,Countries,CML,ALL,6602,0.401057914,0.49,1,0.5,0.28,0.03,0.06,0.010137232,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,328.1736545,1709.964882,5546.141647,328.1736545,1709.964882,5546.141647,2,32.6852381,187.2222222,425.953,457.7328,425.953,457.7328,0.5,0,0.5,0,0,0,5.583941197,328.1736545
Saudi Arabia,215,ALL,ALL,ALL,682,Countries,CML,ALL,476398,1.208216801,0.68,1,0.5,0.28,0.03,0.06,0.011768886,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,272.5333333,1361.754167,5840.10139,272.5333333,1361.754167,5840.10139,2,37.3,224.7777778,592,592,592,592,0,0.5,0.5,0,0,0,4.4775,272.5333333
Senegal,217,ALL,ALL,ALL,686,Countries,CML,ALL,4893,0.933224712,0.43,1,0.5,0.28,0.03,0.06,0.199556027,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,369.9427083,1715.55804,5682.915918,369.9427083,1715.55804,5682.915918,2,28.7,119,351.7216667,381.8213333,351.7216667,381.8213333,0.17,0.03,0.8,0,0,0,5.71370068,369.9427083
Somalia,226,ALL,ALL,ALL,706,Countries,CML,ALL,7214325,1.093086362,0.43,1,0.5,0.28,0.03,0.063,0.099649935,265,0.28,0.03,0.063,0,0,0,0,0.496,0.004,369.9427083,2185.057292,5213.416667,369.9427083,2185.057292,5213.416667,2,28.7,119,351.7216667,381.8213333,351.7216667,381.8213333,0.17,0.03,0.8,0,0,0,7,369.9427083
Syrian Arab Republic,238,ALL,ALL,ALL,760,Countries,CML,ALL,55669,0,0.49,1,0.5,0.28,0.03,0.06,0.099747815,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
Tajikistan,239,ALL,ALL,ALL,762,Countries,CML,ALL,53,0,0.49,1,0.5,0.28,0.03,0.06,0.099483545,265,0.28,0.03,0.06,0,0,0,0,0.496,0.004,269.3902778,1707.245496,5497.753116,269.3902778,1707.245496,5497.753116,2,32.69916667,224.7777778,537.3,571.6,537.3,571.6,0,0.5,0.5,0,0,0,5.415440476,269.3902778
