"","COUNTRY","ADM0_CODE","Animal","LPS","HerdType","ISO3","GLEAM3_name","variable","Unit","value","Animal_short","HerdType_short","LPS_short"
"1","Afghanistan",1,"Camels","ALL","ALL","AFG","BPULP","Share","fraction",0,"CML","ALL","ALL"
"2","Afghanistan",1,"Camels","ALL","ALL","AFG","BSTRAW","Share","fraction",9.95e-05,"CML","ALL","ALL"
"3","Afghanistan",1,"Camels","ALL","ALL","AFG","CORN","Share","fraction",0,"CML","ALL","ALL"
"4","Afghanistan",1,"Camels","ALL","ALL","AFG","FDDRBEET","Share","fraction",4.03e-10,"CML","ALL","ALL"
"5","Afghanistan",1,"Camels","ALL","ALL","AFG","GRAINS","Share","fraction",0,"CML","ALL","ALL"
"6","Afghanistan",1,"Camels","ALL","ALL","AFG","FDDRSIL","Share","fraction",4.03e-10,"CML","ALL","ALL"
"7","Afghanistan",1,"Camels","ALL","ALL","AFG","GRASSF","Share","fraction",0.477200038,"CML","ALL","ALL"
"8","Afghanistan",1,"Camels","ALL","ALL","AFG","GRASSH","Share","fraction",0.477200038,"CML","ALL","ALL"
"9","Afghanistan",1,"Camels","ALL","ALL","AFG","GRASSH2","Share","fraction",0,"CML","ALL","ALL"
"10","Afghanistan",1,"Camels","ALL","ALL","AFG","GRASSLEGF","Share","fraction",0,"CML","ALL","ALL"
"11","Afghanistan",1,"Camels","ALL","ALL","AFG","GRASSLEGH","Share","fraction",0,"CML","ALL","ALL"
"12","Afghanistan",1,"Camels","ALL","ALL","AFG","GRNBYDRY","Share","fraction",0.021542366,"CML","ALL","ALL"
"13","Afghanistan",1,"Camels","ALL","ALL","AFG","GRNBYWET","Share","fraction",0,"CML","ALL","ALL"
"14","Afghanistan",1,"Camels","ALL","ALL","AFG","LEAVES","Share","fraction",0.00044122,"CML","ALL","ALL"
"15","Afghanistan",1,"Camels","ALL","ALL","AFG","MLCTTN","Share","fraction",0.021542366,"CML","ALL","ALL"
"16","Afghanistan",1,"Camels","ALL","ALL","AFG","MLRAPE","Share","fraction",0,"CML","ALL","ALL"
"17","Afghanistan",1,"Camels","ALL","ALL","AFG","MLSOY","Share","fraction",0,"CML","ALL","ALL"
"18","Afghanistan",1,"Camels","ALL","ALL","AFG","MOLASSES","Share","fraction",0,"CML","ALL","ALL"
"19","Afghanistan",1,"Camels","ALL","ALL","AFG","MSTOVER","Share","fraction",4.69e-06,"CML","ALL","ALL"
"20","Afghanistan",1,"Camels","ALL","ALL","AFG","MZGLTF","Share","fraction",0,"CML","ALL","ALL"
"21","Afghanistan",1,"Camels","ALL","ALL","AFG","MZGLTM","Share","fraction",0,"CML","ALL","ALL"
"22","Afghanistan",1,"Camels","ALL","ALL","AFG","PKEXP","Share","fraction",0,"CML","ALL","ALL"
"23","Afghanistan",1,"Camels","ALL","ALL","AFG","RSTRAW","Share","fraction",0.00013234,"CML","ALL","ALL"
"24","Afghanistan",1,"Camels","ALL","ALL","AFG","SSTOVER","Share","fraction",5.65e-10,"CML","ALL","ALL"
"25","Afghanistan",1,"Camels","ALL","ALL","AFG","TOPS","Share","fraction",2.53e-06,"CML","ALL","ALL"
"26","Afghanistan",1,"Camels","ALL","ALL","AFG","WSTRAW","Share","fraction",0.001719544,"CML","ALL","ALL"
"27","Afghanistan",1,"Camels","ALL","ALL","AFG","ZSTOVER","Share","fraction",0.000115361,"CML","ALL","ALL"
"28","Algeria",4,"Camels","ALL","ALL","DZA","BPULP","Share","fraction",NA,"CML","ALL","ALL"
"29","Algeria",4,"Camels","ALL","ALL","DZA","BSTRAW","Share","fraction",NA,"CML","ALL","ALL"
"30","Algeria",4,"Camels","ALL","ALL","DZA","CORN","Share","fraction",NA,"CML","ALL","ALL"
"31","Algeria",4,"Camels","ALL","ALL","DZA","FDDRBEET","Share","fraction",NA,"CML","ALL","ALL"
"32","Algeria",4,"Camels","ALL","ALL","DZA","GRAINS","Share","fraction",NA,"CML","ALL","ALL"
"33","Algeria",4,"Camels","ALL","ALL","DZA","FDDRSIL","Share","fraction",NA,"CML","ALL","ALL"
"34","Algeria",4,"Camels","ALL","ALL","DZA","GRASSF","Share","fraction",NA,"CML","ALL","ALL"
