climate_zone,management_type,V1
TropicalMontane,ImprovedMediumInput,1.16
TropicalWet,ImprovedMediumInput,1.17
TropicalMoist,ImprovedMediumInput,1.17
TropicalDry,ImprovedMediumInput,1.17
WarmTemperateMoist,ImprovedMediumInput,1.14
WarmTemperateDry,ImprovedMediumInput,1.14
CoolTemperateMoist,ImprovedMediumInput,1.14
CoolTemperateDry,ImprovedMediumInput,1.14
BorealMoist,ImprovedMediumInput,1.14
BorealDry,ImprovedMediumInput,1.14
PolarMoist,ImprovedMediumInput,1.14
PolarDry,ImprovedMediumInput,1.14
TropicalMontane,ImprovedHighInput,1.29
TropicalWet,ImprovedHighInput,1.3
TropicalMoist,ImprovedHighInput,1.3
TropicalDry,ImprovedHighInput,1.3
WarmTemperateMoist,ImprovedHighInput,1.27
WarmTemperateDry,ImprovedHighInput,1.27
CoolTemperateMoist,ImprovedHighInput,1.27
CoolTemperateDry,ImprovedHighInput,1.27
BorealMoist,ImprovedHighInput,1.27
BorealDry,ImprovedHighInput,1.27
PolarMoist,ImprovedHighInput,1.27
PolarDry,ImprovedHighInput,1.27
TropicalMontane,SeverelyDegraded,0.7
TropicalWet,SeverelyDegraded,0.7
TropicalMoist,SeverelyDegraded,0.7
TropicalDry,SeverelyDegraded,0.7
WarmTemperateMoist,SeverelyDegraded,0.7
WarmTemperateDry,SeverelyDegraded,0.7
CoolTemperateMoist,SeverelyDegraded,0.7
CoolTemperateDry,SeverelyDegraded,0.7
BorealMoist,SeverelyDegraded,0.7
BorealDry,SeverelyDegraded,0.7
PolarMoist,SeverelyDegraded,0.7
PolarDry,SeverelyDegraded,0.7
TropicalMontane,HighIntensityGrazing,0.9
TropicalWet,HighIntensityGrazing,0.9
TropicalMoist,HighIntensityGrazing,0.9
TropicalDry,HighIntensityGrazing,0.9
WarmTemperateMoist,HighIntensityGrazing,0.9
WarmTemperateDry,HighIntensityGrazing,0.9
CoolTemperateMoist,HighIntensityGrazing,0.9
CoolTemperateDry,HighIntensityGrazing,0.9
BorealMoist,HighIntensityGrazing,0.9
BorealDry,HighIntensityGrazing,0.9
PolarMoist,HighIntensityGrazing,0.9
PolarDry,HighIntensityGrazing,0.9
TropicalMontane,NonDegraded,1
TropicalWet,NonDegraded,1
TropicalMoist,NonDegraded,1
TropicalDry,NonDegraded,1
WarmTemperateMoist,NonDegraded,1
WarmTemperateDry,NonDegraded,1
CoolTemperateMoist,NonDegraded,1
CoolTemperateDry,NonDegraded,1
BorealMoist,NonDegraded,1
BorealDry,NonDegraded,1
PolarMoist,NonDegraded,1
PolarDry,NonDegraded,1
