climate_zone,soil_type,V1
TropicalMontane,HighActivityClay,51
TropicalWet,HighActivityClay,60
TropicalMoist,HighActivityClay,40
TropicalDry,HighActivityClay,21
WarmTemperateMoist,HighActivityClay,64
WarmTemperateDry,HighActivityClay,24
CoolTemperateMoist,HighActivityClay,81
CoolTemperateDry,HighActivityClay,43
BorealMoist,HighActivityClay,63
BorealDry,HighActivityClay,63
PolarMoist,HighActivityClay,59
PolarDry,HighActivityClay,60
TropicalMontane,LowActivityClay,44
TropicalWet,LowActivityClay,52
TropicalMoist,LowActivityClay,38
TropicalDry,LowActivityClay,19
WarmTemperateMoist,LowActivityClay,55
WarmTemperateDry,LowActivityClay,19
CoolTemperateMoist,LowActivityClay,76
CoolTemperateDry,LowActivityClay,33
BorealMoist,LowActivityClay,
BorealDry,LowActivityClay,
PolarMoist,LowActivityClay,
PolarDry,LowActivityClay,
TropicalMontane,Sandy,52
TropicalWet,Sandy,46
TropicalMoist,Sandy,27
TropicalDry,Sandy,9
WarmTemperateMoist,Sandy,36
WarmTemperateDry,Sandy,10
CoolTemperateMoist,Sandy,51
CoolTemperateDry,Sandy,13
BorealMoist,Sandy,10
BorealDry,Sandy,10
PolarMoist,Sandy,27
PolarDry,Sandy,28
TropicalMontane,Spodic,
TropicalWet,Spodic,
TropicalMoist,Spodic,
TropicalDry,Spodic,
WarmTemperateMoist,Spodic,143
WarmTemperateDry,Spodic,
CoolTemperateMoist,Spodic,128
CoolTemperateDry,Spodic,
BorealMoist,Spodic,117
BorealDry,Spodic,117
PolarMoist,Spodic,
PolarDry,Spodic,
TropicalMontane,Volcanic,96
TropicalWet,Volcanic,77
TropicalMoist,Volcanic,70
TropicalDry,Volcanic,50
WarmTemperateMoist,Volcanic,138
WarmTemperateDry,Volcanic,84
CoolTemperateMoist,Volcanic,136
CoolTemperateDry,Volcanic,20
BorealMoist,Volcanic,20
BorealDry,Volcanic,20
PolarMoist,Volcanic,
PolarDry,Volcanic,
TropicalMontane,Wetland,82
TropicalWet,Wetland,49
TropicalMoist,Wetland,68
TropicalDry,Wetland,22
WarmTemperateMoist,Wetland,135
WarmTemperateDry,Wetland,75
CoolTemperateMoist,Wetland,128
CoolTemperateDry,Wetland,87
BorealMoist,Wetland,116
BorealDry,Wetland,116
PolarMoist,Wetland,
PolarDry,Wetland,
