herd_id,Animal_short,LPS_short,cohort,assessment_duration,size,duration,offtake_rate,offtake_number,afc,litsize,parturition_rate,lambing_interval,idle,gest,dr1,weaning_age,lact,initial_weight,potential_final_weight,slaughter_weight,adult_weight,ckg,wkg,diet_dig,diet_ge,diet_me,diet_nitrogen,activity_fraction,high_activity_fraction,work_hours,draught_fraction,milking_fraction,milk_yield,milk_fat,milk_protein,lactose,carcass_dressing_percentage,bone_free_meat_fraction,meat_protein,fibre_prod,ipcc_method,b0_mms_all,b0_mms_pasture,mcf_pasture,mcf_burned,mcf_other,ef3_pasture,ef3_burned,ef3_other,fracgas_pasture,fracgas_burned,fracgas_other,ef4,fracleach_pasture,fracleach_burned,fracleach_other,ef5
1,CML,ALL,FA,365,1300000,5000,0,59000,5.3,1,0.51,,,390,,370,,300,300,300,300,30,100,0.58,18,8.3,0.02,0.5,0,2,0.1,0.5,1.9,0.035,0.032,0.043,0.65,0.65,0.23,0.5,2006,0.21,0.21,0.001803196,0.026035319,0.014321949,0.003606392,0,0.004738939,0.06494499,0,0.123935129,0.01,0.097417485,0,0.179273282,0.0075
1,CML,ALL,FJ,365,290000,370,0,0,5.3,1,0.51,,,390,,370,,30,100,100,300,30,100,0.97,22,21,0.02,0.5,0,2,0.1,0.5,1.9,0.035,0.032,0.043,0.65,0.65,0.23,0.5,2006,0.21,0.21,0.001803196,0.026035319,0.014321949,0.003606392,0,0.004738939,0.06494499,0,0.123935129,0.01,0.097417485,0,0.179273282,0.0075
1,CML,ALL,FS,365,830000,1500,0,0,5.3,1,0.51,,,390,,370,,100,300,300,300,30,100,0.58,18,8.3,0.02,0.5,0,2,0.1,0.5,1.9,0.035,0.032,0.043,0.65,0.65,0.23,0.5,2006,0.21,0.21,0.001803196,0.026035319,0.014321949,0.003606392,0,0.004738939,0.06494499,0,0.123935129,0.01,0.097417485,0,0.179273282,0.0075
1,CML,ALL,MA,365,79000,5000,0,3480,5.3,1,0.51,,,390,,370,,400,400,400,400,30,100,0.58,18,8.3,0.02,0.5,0,2,0.1,0.5,1.9,0.035,0.032,0.043,0.65,0.65,0.23,0.5,2006,0.21,0.21,0.001803196,0.026035319,0.014321949,0.003606392,0,0.004738939,0.06494499,0,0.123935129,0.01,0.097417485,0,0.179273282,0.0075
1,CML,ALL,MJ,365,290000,370,0,0,5.3,1,0.51,,,390,,370,,30,100,100,400,30,100,0.97,22,21,0.02,0.5,0,2,0.1,0.5,1.9,0.035,0.032,0.043,0.65,0.65,0.23,0.5,2006,0.21,0.21,0.001803196,0.026035319,0.014321949,0.003606392,0,0.004738939,0.06494499,0,0.123935129,0.01,0.097417485,0,0.179273282,0.0075
1,CML,ALL,MS,365,3e+05,1500,0.5,212000,5.3,1,0.51,,,390,,370,,100,400,400,400,30,100,0.58,18,8.3,0.02,0.5,0,2,0.1,0.5,1.9,0.035,0.032,0.043,0.65,0.65,0.23,0.5,2006,0.21,0.21,0.001803196,0.026035319,0.014321949,0.003606392,0,0.004738939,0.06494499,0,0.123935129,0.01,0.097417485,0,0.179273282,0.0075
2,CTL,GRS,FA,365,4800000,5000,0,220000,4,1,0.67,0,0,283,0.15,240,0,300,300,300,300,30,200,0.56,18,8,0.02,0.5,0,1.1,0.1,1,1.6,0.043,0.036,0.05,0.65,0.65,0.21,0,2006,0.13,0.13,0.019,0,0.001,0.0095,0,0.001,0.144000006,0,0.0336,0.01,0.216000009,0,0.042,0.0075
2,CTL,GRS,FJ,365,730000,240,0.47,747000,4,1,0.67,0,0,283,0.15,240,0,30,40,40,300,30,200,0.97,22,20,0.02,0.5,0,1.1,0.1,1,1.6,0.043,0.036,0.05,0.65,0.65,0.21,0,2006,0.13,0.13,0.019,0,0.001,0.0095,0,0.001,0.144000006,0,0.0336,0.01,0.216000009,0,0.042,0.0075
2,CTL,GRS,FS,365,1e+06,1400,0.47,658000,4,1,0.67,0,0,283,0.15,240,0,40,300,600,300,30,200,0.56,18,8,0.02,0.5,0,1.1,0.1,1,1.6,0.043,0.036,0.05,0.65,0.65,0.21,0,2006,0.13,0.13,0.019,0,0.001,0.0095,0,0.001,0.144000006,0,0.0336,0.01,0.216000009,0,0.042,0.0075
2,CTL,GRS,MA,365,24000,1900,0,3770,4,1,0.67,0,0,283,0.15,240,0,400,400,400,400,30,200,0.56,18,8,0.02,0.5,0,1.1,0.1,1,1.6,0.043,0.036,0.05,0.65,0.65,0.21,0,2006,0.13,0.13,0.019,0,0.001,0.0095,0,0.001,0.144000006,0,0.0336,0.01,0.216000009,0,0.042,0.0075
