herd_id,cohort_short,live_weight_cohort_average,offtake_rate,low_activity_fraction,high_activity_fraction,live_weight_cohort_initial,live_weight_cohort_final,mature_weight,daily_weight_gain,cohort_duration_days,diet_digestibility_fraction,diet_gross_energy,diet_metabolizable_energy,lambing_interval
1,FA,550,0.05,0.7,0.2,550,550,550,0.00,365,0.65,18,12,365
1,FS,350,0.10,0.7,0.2,250,450,550,0.55,365,0.65,18,12,365
1,FJ,200,0.00,0.7,0.2,100,300,550,0.55,365,0.65,18,12,365
1,MA,600,0.05,0.7,0.2,600,600,600,0.00,365,0.65,18,12,365
1,MS,400,0.10,0.7,0.2,300,500,600,0.55,365,0.65,18,12,365
1,MJ,220,0.00,0.7,0.2,120,320,600,0.55,365,0.65,18,12,365
2,FA,580,0.05,0.7,0.2,580,580,580,0.00,365,0.65,17,11,365
2,FS,370,0.10,0.7,0.2,270,470,580,0.55,365,0.65,17,11,365
2,FJ,210,0.00,0.7,0.2,110,310,580,0.55,365,0.65,17,11,365
2,MA,650,0.05,0.7,0.2,650,650,650,0.00,365,0.65,17,11,365
2,MS,430,0.10,0.7,0.2,330,530,650,0.55,365,0.65,17,11,365
2,MJ,230,0.00,0.7,0.2,130,330,650,0.55,365,0.65,17,11,365
3,FA,70,0.10,0.6,0.3,70,70,70,0.00,365,0.62,10,8,365
3,FS,45,0.15,0.6,0.3,35,55,70,0.05,365,0.62,10,8,365
3,FJ,25,0.05,0.6,0.3,15,35,70,0.05,365,0.62,10,8,365
3,MA,80,0.10,0.6,0.3,80,80,80,0.00,365,0.62,10,8,365
3,MS,50,0.15,0.6,0.3,40,60,80,0.05,365,0.62,10,8,365
3,MJ,30,0.05,0.6,0.3,20,40,80,0.05,365,0.62,10,8,365
4,FA,55,0.12,0.6,0.3,55,55,55,0.00,365,0.62,10,8,365
4,FS,40,0.18,0.6,0.3,30,50,55,0.05,365,0.62,10,8,365
4,FJ,22,0.06,0.6,0.3,12,32,55,0.05,365,0.62,10,8,365
4,MA,65,0.12,0.6,0.3,65,65,65,0.00,365,0.62,10,8,365
4,MS,45,0.18,0.6,0.3,35,55,65,0.05,365,0.62,10,8,365
4,MJ,28,0.06,0.6,0.3,18,38,65,0.05,365,0.62,10,8,365
5,FA,550,0.03,0.5,0.4,550,550,550,0.00,365,0.60,17,11,365
5,FS,380,0.05,0.5,0.4,280,480,550,0.55,365,0.60,17,11,365
5,FJ,220,0.02,0.5,0.4,120,320,550,0.55,365,0.60,17,11,365
5,MA,600,0.03,0.5,0.4,600,600,600,0.00,365,0.60,17,11,365
5,MS,420,0.05,0.5,0.4,320,520,600,0.55,365,0.60,17,11,365
5,MJ,240,0.02,0.5,0.4,140,340,600,0.55,365,0.60,17,11,365
6,FA,160,0.20,0.5,0.4,160,160,160,0.00,200,0.70,13,13,180
6,FS,90,0.30,0.5,0.4,70,110,160,0.20,200,0.70,13,13,180
6,FJ,35,0.10,0.5,0.4,25,45,160,0.10,200,0.70,13,13,180
6,MA,180,0.20,0.5,0.4,180,180,180,0.00,200,0.70,13,13,180
6,MS,100,0.30,0.5,0.4,80,120,180,0.20,200,0.70,13,13,180
6,MJ,40,0.10,0.5,0.4,30,50,180,0.10,200,0.70,13,13,180

