herd_id,cohort_short,cohort_duration_days,offtake_rate,death_rate
1,FA,5000,0,0.067
1,FJ,369.9427083,0,0.28
1,FS,1546.550625,0,0.03
1,MA,5000,0,0.067
1,MJ,369.9427083,0,0.28
1,MS,1546.550625,0.496,0.03
2,FA,5000,0,0.055
2,FJ,240,0.473,0.15
2,FS,1397.95,0.473,0.055
2,MA,1868.51,0,0.055
2,MJ,240,0.678,0.209
2,MS,1397.95,0.678,0.055
3,FA,5000,0,0.06
3,FJ,240,0.45,0.12
3,FS,1100,0.45,0.05
3,MA,1500,0,0.05
3,MJ,240,0.65,0.18
3,MS,1100,0.65,0.05
4,FA,5000,0,0.065
4,FJ,210,0.48,0.14
4,FS,1000,0.48,0.055
4,MA,1400,0,0.055
4,MJ,210,0.66,0.19
4,MS,1000,0.66,0.055
5,FA,5000,0,0.04
5,FJ,365,0.35,0.08
5,FS,1600,0.35,0.04
5,MA,2000,0,0.04
5,MJ,365,0.45,0.12
5,MS,1600,0.45,0.04
6,FA,5000,0,0.08
6,FJ,180,0.55,0.15
6,FS,550,0.55,0.07
6,MA,800,0,0.07
6,MJ,180,0.62,0.2
6,MS,550,0.62,0.07
