herd_id,cohort_short,cohort_stock_size,offtake_rate,offtake_heads_assessment,cohort_duration_days,litter_size,parturition_rate
1,FA,500000,0,0,5000,1,1.89
1,FJ,120000,0,0,369.94,1,1.89
1,FS,200000,0,0,1546.55,1,1.89
1,MA,400000,0,0,5000,1,1.89
1,MJ,120000,0,0,369.94,1,1.89
1,MS,180000,0.496,89328,1546.55,1,1.89
2,FA,800000,0,0,5000,1,1.62
2,FJ,250000,0.473,118250,240,1,1.62
2,FS,400000,0.473,189200,1397.95,1,1.62
2,MA,600000,0,0,1868.51,1,1.62
2,MJ,250000,0.678,169450,240,1,1.62
2,MS,350000,0.678,237300,1397.95,1,1.62
3,FA,80000,0,0,5000,1.5,1.5
3,FJ,15000,0.45,6750,240,1.5,1.5
3,FS,25000,0.45,11250,1100,1.5,1.5
3,MA,60000,0,0,1500,1.5,1.5
3,MJ,15000,0.65,9750,240,1.5,1.5
3,MS,22000,0.65,14300,1100,1.5,1.5
4,FA,60000,0,0,5000,1.6,1.6
4,FJ,12000,0.48,5760,210,1.6,1.6
4,FS,20000,0.48,9600,1000,1.6,1.6
4,MA,50000,0,0,1400,1.6,1.6
4,MJ,12000,0.66,7920,210,1.6,1.6
4,MS,18000,0.66,11880,1000,1.6,1.6
5,FA,150000,0,0,5000,1,0.6
5,FJ,25000,0.35,8750,365,1,0.6
5,FS,45000,0.35,15750,1600,1,0.6
5,MA,120000,0,0,2000,1,0.6
5,MJ,25000,0.45,11250,365,1,0.6
5,MS,40000,0.45,18000,1600,1,0.6
6,FA,120000,0,0,5000,10,2.2
6,FJ,30000,0.55,16500,180,10,2.2
6,FS,45000,0.55,24750,550,10,2.2
6,MA,100000,0,0,800,10,2.2
6,MJ,30000,0.62,18600,180,10,2.2
6,MS,42000,0.62,26040,550,10,2.2
