herd_id,manure_management_system,methane_conversion_factor_mcf,ch4_max_producing_capacity_bo,n2o_ef3,n2o_ef4,n2o_ef5,nitrogen_fracgas,nitrogen_fracleach
1,mms_burned,10,0.1,0,0.14,0.011,0,0
1,mms_drylot,2,0.1,0.02,0.14,0.011,0.3,0.035
1,mms_pasture,0.47,0.19,0.02,0.14,0.011,0.21,0.24
1,mms_solid,5,0.1,0.005,0.14,0.011,0.12,0.02
2,mms_drylot,2,0.26,0.02,0.005,0.011,0.3,0.035
2,mms_pasture,0.47,0.19,0.01,0.005,0.011,0.21,0.24
2,mms_solid,5,0.26,0.005,0.005,0.011,0.12,0.02
3,mms_burned,10,0.13,0,0.14,0.011,0,0
3,mms_drylot,2,0.13,0.02,0.14,0.011,0.3,0.035
3,mms_pasture,0.47,0.19,0.02,0.14,0.011,0.21,0.24
3,mms_solid,5,0.13,0.005,0.14,0.011,0.45,0.02
4,mms_drylot,2,0.19,0.02,0.14,0.011,0.3,0.035
4,mms_pasture,0.47,0.19,0.01,0.14,0.011,0.21,0.24
4,mms_solid,5,0.19,0.005,0.14,0.011,0.12,0.02
5,mms_drylot,1.5,0.45,0.02,0.14,0.011,0.45,0.035
5,mms_liquid6,37,0.45,0,0.14,0.011,0.48,0
5,mms_liquidnatcov6,22.2,0.45,0.005,0.14,0.011,0.3,0
5,mms_pit1,13,0.45,0.002,0.14,0.011,0.25,0
5,mms_solid,4,0.45,0.005,0.14,0.011,0.45,0.02
6,mms_drylot,1.5,0.18,0.02,0.005,0.011,0.3,0.035
6,mms_pasture,0.47,0.19,0.01,0.005,0.011,0.21,0.24
6,mms_solid,4,0.18,0.005,0.005,0.011,0.12,0.02
