herd_id,cohort,manure_management_system,fraction
1,FA,mms_burned,0.019633654
1,FA,mms_drylot,0.263651097
1,FA,mms_pasture,0.31100436
1,FA,mms_solid,0.405710898
1,FJ,mms_burned,0.200000003
1,FJ,mms_drylot,0.038891595
1,FJ,mms_pasture,0.750024356
1,FJ,mms_solid,0.011084038
1,FS,mms_burned,0.200000003
1,FS,mms_drylot,0.038891595
1,FS,mms_pasture,0.750024356
1,FS,mms_solid,0.011084038
1,MA,mms_burned,0.200000003
1,MA,mms_drylot,0.038891595
1,MA,mms_pasture,0.750024356
1,MA,mms_solid,0.011084038
1,MJ,mms_burned,0.200000003
1,MJ,mms_drylot,0.038891595
1,MJ,mms_pasture,0.750024356
1,MJ,mms_solid,0.011084038
1,MS,mms_burned,0.200000003
1,MS,mms_drylot,0.038891595
1,MS,mms_pasture,0.750024356
1,MS,mms_solid,0.011084038
2,FA,mms_drylot,0.03
2,FA,mms_pasture,0.8
2,FA,mms_solid,0.17
2,FJ,mms_drylot,0.03
2,FJ,mms_pasture,0.8
2,FJ,mms_solid,0.17
2,FS,mms_drylot,0.03
2,FS,mms_pasture,0.8
2,FS,mms_solid,0.17
2,MA,mms_drylot,0.03
2,MA,mms_pasture,0.8
2,MA,mms_solid,0.17
2,MJ,mms_drylot,0.03
2,MJ,mms_pasture,0.8
2,MJ,mms_solid,0.17
2,MS,mms_drylot,0.03
2,MS,mms_pasture,0.8
2,MS,mms_solid,0.17
3,FA,mms_burned,0.019633654
3,FA,mms_drylot,0.263651097
3,FA,mms_pasture,0.31100436
3,FA,mms_solid,0.405710898
3,FJ,mms_burned,0.019633654
3,FJ,mms_drylot,0.263651097
3,FJ,mms_pasture,0.31100436
3,FJ,mms_solid,0.405710898
3,FS,mms_burned,0.019633654
3,FS,mms_drylot,0.263651097
3,FS,mms_pasture,0.31100436
3,FS,mms_solid,0.405710898
3,MA,mms_burned,0.019633654
3,MA,mms_drylot,0.263651097
3,MA,mms_pasture,0.31100436
3,MA,mms_solid,0.405710898
3,MJ,mms_burned,0.019633654
3,MJ,mms_drylot,0.263651097
3,MJ,mms_pasture,0.31100436
3,MJ,mms_solid,0.405710898
3,MS,mms_burned,0.019633654
3,MS,mms_drylot,0.263651097
3,MS,mms_pasture,0.31100436
3,MS,mms_solid,0.405710898
4,FA,mms_drylot,0.029700785
4,FA,mms_pasture,0.767307052
4,FA,mms_solid,0.202992157
4,FJ,mms_drylot,0.029700785
4,FJ,mms_pasture,0.767307052
4,FJ,mms_solid,0.202992157
4,FS,mms_drylot,0.029700785
4,FS,mms_pasture,0.767307052
4,FS,mms_solid,0.202992157
4,MA,mms_drylot,0.029700785
4,MA,mms_pasture,0.767307052
4,MA,mms_solid,0.202992157
4,MJ,mms_drylot,0.029700785
4,MJ,mms_pasture,0.767307052
4,MJ,mms_solid,0.202992157
4,MS,mms_drylot,0.029700785
4,MS,mms_pasture,0.767307052
4,MS,mms_solid,0.202992157
5,FA,mms_drylot,0.870000005
5,FA,mms_liquid6,0.029999999
5,FA,mms_liquidnatcov6,0.029999999
5,FA,mms_pit1,0.01
5,FA,mms_solid,0.059999999
5,FJ,mms_drylot,0.870000005
5,FJ,mms_liquid6,0.029999999
5,FJ,mms_liquidnatcov6,0.029999999
5,FJ,mms_pit1,0.01
5,FJ,mms_solid,0.059999999
5,FS,mms_drylot,0.870000005
5,FS,mms_liquid6,0.029999999
5,FS,mms_liquidnatcov6,0.029999999
5,FS,mms_pit1,0.01
5,FS,mms_solid,0.059999999
5,MA,mms_drylot,0.870000005
5,MA,mms_liquid6,0.029999999
5,MA,mms_liquidnatcov6,0.029999999
5,MA,mms_pit1,0.01
5,MA,mms_solid,0.059999999
5,MJ,mms_drylot,0.870000005
5,MJ,mms_liquid6,0.029999999
5,MJ,mms_liquidnatcov6,0.029999999
5,MJ,mms_pit1,0.01
5,MJ,mms_solid,0.059999999
5,MS,mms_drylot,0.870000005
5,MS,mms_liquid6,0.029999999
5,MS,mms_liquidnatcov6,0.029999999
5,MS,mms_pit1,0.01
5,MS,mms_solid,0.059999999
6,FA,mms_drylot,0.038795735
6,FA,mms_pasture,0.849161599
6,FA,mms_solid,0.112042657
6,FJ,mms_drylot,0.038795735
6,FJ,mms_pasture,0.849161599
6,FJ,mms_solid,0.112042657
6,FS,mms_drylot,0.038795735
6,FS,mms_pasture,0.849161599
6,FS,mms_solid,0.112042657
6,MA,mms_drylot,0.038795735
6,MA,mms_pasture,0.849161599
6,MA,mms_solid,0.112042657
6,MJ,mms_drylot,0.038795735
6,MJ,mms_pasture,0.849161599
6,MJ,mms_solid,0.112042657
6,MS,mms_drylot,0.038795735
6,MS,mms_pasture,0.849161599
6,MS,mms_solid,0.112042657
