herd_id,cohort,animal,duration,offtake_rate,adult_fem_weight,adult_mal_weight,birth_weight,slaughter_weight_fem,slaughter_weight_mal,weaning_weight
1,FA,Cattle,5000,0,450.0,600.0,35.0,500.0,650.0,200.0
1,FJ,Cattle,369.9427083,0,450.0,600.0,35.0,500.0,650.0,200.0
1,FS,Cattle,1546.550625,0,450.0,600.0,35.0,500.0,650.0,200.0
1,MA,Cattle,5000,0,450.0,600.0,35.0,500.0,650.0,200.0
1,MJ,Cattle,369.9427083,0,450.0,600.0,35.0,500.0,650.0,200.0
1,MS,Cattle,1546.550625,0.496,450.0,600.0,35.0,500.0,650.0,200.0
2,FA,Pigs,5000,0,180.0,220.0,1.5,100.0,120.0,20.0
2,FJ,Pigs,240,0.472824416106012,180.0,220.0,1.5,100.0,120.0,20.0
2,FS,Pigs,1397.94938596346,0.472824416106012,180.0,220.0,1.5,100.0,120.0,20.0
2,MA,Pigs,1868.50818192996,0,180.0,220.0,1.5,100.0,120.0,20.0
2,MJ,Pigs,240,0.677849857430595,180.0,220.0,1.5,100.0,120.0,20.0
2,MS,Pigs,1397.94938596346,0.677849857430595,180.0,220.0,1.5,100.0,120.0,20.0
