herd_id,cohort_short,cohort_duration_days,offtake_rate
1,FA,5000,0
1,FJ,369.9427083,0
1,FS,1546.550625,0
1,MA,5000,0
1,MJ,369.9427083,0
1,MS,1546.550625,0.496
2,FA,5000,0
2,FJ,240,0.472824416106012
2,FS,1397.94938596346,0.472824416106012
2,MA,1868.50818192996,0
2,MJ,240,0.677849857430595
2,MS,1397.94938596346,0.677849857430595
3,FA,5000,0
3,FJ,240,0.45
3,FS,1100,0.45
3,MA,1500,0
3,MJ,240,0.65
3,MS,1100,0.65
4,FA,5000,0
4,FJ,210,0.48
4,FS,1000,0.48
4,MA,1400,0
4,MJ,210,0.66
4,MS,1000,0.66
5,FA,5000,0
5,FJ,365,0.35
5,FS,1600,0.35
5,MA,2000,0
5,MJ,365,0.45
5,MS,1600,0.45
6,FA,5000,0
6,FJ,180,0.55
6,FS,550,0.55
6,MA,800,0
6,MJ,180,0.62
6,MS,550,0.62
