Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","21971","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","3546870","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","2659958","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","6835545","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5318","Milk Animals","02212","Raw milk of buffalo","2015","2015","An","29","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","357100","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","641714","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","1417000","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","83654","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","1107800","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","2751509","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","16000000","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","431073","I","Imputed value",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","3300","E","Estimated value",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","032","Argentina","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","2100000","E","Estimated value",""
"QCL","Crops and livestock products","051","Armenia","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","313872","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","22964","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","500956","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","1689353","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","537744","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","31491","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","24103","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","1299231","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","104600","E","Estimated value",""
"QCL","Crops and livestock products","031","Azerbaijan","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","288300","E","Estimated value",""
"QCL","Crops and livestock products","044","Bahamas","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","680","I","Imputed value",""
"QCL","Crops and livestock products","044","Bahamas","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","7095","I","Imputed value",""
"QCL","Crops and livestock products","048","Bahrain","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","5726","I","Imputed value",""
"QCL","Crops and livestock products","048","Bahrain","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","2697","I","Imputed value",""
"QCL","Crops and livestock products","048","Bahrain","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","1690","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5318","Milk Animals","02212","Raw milk of buffalo","2015","2015","An","366000","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","8272600","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","6401000","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","818000","E","Estimated value",""
"QCL","Crops and livestock products","052","Barbados","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","2935","I","Imputed value",""
"QCL","Crops and livestock products","112","Belarus","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","1511600","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","34300","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","056","Belgium","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","528778","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","14713","I","Imputed value",""
"QCL","Crops and livestock products","084","Belize","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","5700","E","Estimated value",""
"QCL","Crops and livestock products","084","Belize","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","","M","Missing value (data cannot exist, not applicable)",""
