LPS,HerdType,Animal,ADM0_CODE,ISO3,ISO3_num,RegionClass,COUNTRY,A2S,ACT,AF1KG,AF2KG,AFC,AFKG,AFS,AF_FRAC,AM1KG,AM2KG,AMKG,BCR,BFM,BIDLE,Bo,CKG,CLIM,CLIMATE_ZONE,CLTSIZE,CSH,CYCLE,DCR,DISCARGE,DISCHARGE,DR1,DR1M,DR2,DRESS,DRF,DRL2,DRM,DRR2A,DRR2B,DWG,DWG2,EGGSYEAR,EGGWGHT,EGG_PROTEIN,FISHPOND,FR,FRMF,FRRF,GEST,HATCH,HOUR,IDLE,INCINERATION,LACT,LAYTIME1,LAYTIME2,LINT,LITSIZE,LW,M2SKG,MALE,MET_PROTEIN,MFSKG,MHR,MLK_FAT,MLK_PROTEIN,MLK_YIELD,mmsaerobic,mmsaerproc,mmsbiogashighleak1,mmsburned,mmscompostint,mmsdaily,mmsdrylot,MMSKG,mmslagoon,mmsliquidnatcov6,mmslitter,mmsnolitter,mmspasture,mmspit1,mmspit6,mmssolid,mmssolidadd,MOLT,MOLTTIME,POPULATION,PUBLSEWAGE,RRF,RRM,TEMPERATURE,WA,WKG,WOOL,size_total,M49_code,past_man_frac,FBR,Animal_short,HerdType_short,LPS_short,mmsdeepnomix2,mmsliquid6,adm0_code,mmssolidcov,mmssolidbulk,mmspit3,mmspit4,mmspit12,mmsliquid1,mmsliquid3,mmsliquid4,mmsliquid12,mmsliquidnatcov1,mmsliquidnatcov3,mmsliquidnatcov4,mmsliquidnatcov12,mmsliquidsolcov1,mmsliquidsolcov3,mmsliquidsolcov4,mmsliquidsolcov6,mmsliquidsolcov12,mmsbiogaslowleak1,mmsbiogaslowleak2,mmsbiogaslowleak3,mmsbiogashighleak2,mmsbiogashighleak3,mmsdeepnomix1,mmsdeepmix2,mmsdeepmix1,mmscompostves,mmscompoststat,mmscompostpass,mmsareobic
Backyard,Chicken,Chicken,1,AFG,,Countries,Afghanistan,0,0,0.707501514,1.091760312,0.504205462,0,2.536986301,0.01,0.874763517,1.349878018,0,0.0909,0.75,0,0.24,0.035,0,6.529698466,14.99522816,0,3.799045252,0,0,0,0.489904563,0,0.249904563,0,0,0,0.15,0,0,0.002279519,0,60.10432669,43.8,0.124,0,0,0.95,0.95,0,0.779968188,0,0,0,0,0,0,0,0,0.662143951,0.791132516,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,15632.76381,0,0,0,12.69810423,0,0,0,11637499.51,4,0.128160418482999,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,3,ALB,,Countries,Albania,0,0,1.70086758,1.93,0.410958904,0,2.01369863,0.01,2.15913242,2.45,0,0.02,0.75,0,0.39,0.045,0,5.621671739,15,0,3.3,0,0,0,0.09,0,0.2,0,0,0,0.15,0,0,0.005207892,0,159,57.5,0.124,0,0,0.95,0.95,0,0.8,0,0,0,0,0,0,0,0,1.489276864,1.93,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,14022.40526,0,0,0,16.22342097,0,0,0,1259169.547,8,0.461183098591549,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,4,DZA,,Countries,Algeria,0,0,0.894972171,1.230001687,0.460273973,0,2.537012348,0.01,1.397027829,1.92,0,0.217388667,0.75,0,0.24,0.025,0,5.902689536,13.99992333,0,2.500115003,0,0,0,0.6300092,0,0.200007667,0,0,0,0.15,0,0,0.003553436,0,77.99677992,40.99956827,0.124,0,0,0.95,0.95,0,0.780001533,0,0,0,0,0,0,0,0,0.834835145,1.146,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,6925.009541,0,0,0,18.67135566,0,0,0,11760466.36,12,0.0857272699562455,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,7,AND,,Countries,Andorra,0,0,1.70086758,1.93,0.410958904,0,2.01369863,0.01,2.15913242,2.45,0,0.02,0.75,0,0.39,0.045,0,6.998168513,15,0,3.3,0,0,0,0.09,0,0.2,0,0,0,0.15,0,0,0.005207892,0,159,57.5,0.124,0,0,0.95,0.95,0,0.8,0,0,0,0,0,0,0,0,1.489276866,1.93,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,5360.380632,0,0,0,7.704396269,0,0,0,27849.76418,20,0.031216361679225,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,8,AGO,,Countries,Angola,0,0,0.881576892,1.200088484,0.460273973,0,2.536986301,0.01,1.410423108,1.92,0,0.166686122,0.75,0,0.24,0.025,0,2.473573885,10.5031099,0,3.499490596,0,0,0,0.629937253,0,0.2,0,0,0,0.15,0,0,0.003555392,0,54.99758666,41,0.124,0,0,0.95,0.95,0,0.760046114,0,0,0,0,0,0,0,0,0.821010355,1.146,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,13117.21469,0,0,0,23.76459155,0,0,0,7167750.967,24,0.029411073527548,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,11,ATG,,Countries,Antigua and Barbuda,0,0,1.010582011,1.5,0.484931507,0,2.536986301,0.01,1.281417989,1.902,0,0.15151,0.75,0,0.24,0.03,0,2,13,0,3.3,0,0,0,0.58,0,0.2,0,0,0,0.15,0,0,0.00346384,0,100,47.8,0.124,0,0,0.95,0.95,0,0.79,0,0,0,0,0,0,0,0,0.926949432,1.146,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,403.9136887,0,0,0,27.08688323,0,0,0,4102.588704,28,0.192669438501594,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,19,AZE,,Countries,Azerbaijan,0,0,0.804905569,1.328149399,0.533996788,0,2.536931644,0.01,0.983528205,1.622878175,0,0.090892595,0.75,0,0.240015667,0.035001044,0,6.264691713,13.51194832,0,3.50233744,0,0,0,0.460197187,0,0.220233744,0,0,0,0.15,0,0,0.002530485,0,144.4590465,43.80143096,0.124,0,0,0.95,0.95,0,0.770081744,0,0,0,0,0,0,0,0,0.772230637,0.894216887,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,8526.97115,0,0,0,13.44144128,0,0,0,3028652.511,31,0.0152544302356468,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,12,ARG,,Countries,Argentina,0,0,1.010582011,1.5,0.484931507,0,2.536986301,0.01,1.281417989,1.902,0,0.15151,0.75,0,0.24,0.03,0,5.545296249,13,0,3.3,0,0,0,0.58,0,0.2,0,0,0,0.15,0,0,0.00346384,0,100,47.97533006,0.124,0,0,0.95,0.95,0,0.79,0,0,0,0,0,0,0,0,0.926949437,1.146,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,2006.435897,0,0,0,18.5964148,0,0,0,1149984.537,32,0.0760896631812649,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,17,AUS,,Countries,Australia,0,0,0.881538462,1.25,0.484931507,0,2.536986301,0.01,1.410461538,2,0,0.15151,0.75,0,0.39,0.03,0,4.963136089,13,0,3.3,0,0,0,0.73,0,0.2,0,0,0,0.15,0,0,0.003841576,0,70,47.8,0.124,0,0,0.95,0.95,0,0.84,0,0,0,0,0,0,0,0,0.797801036,1.146,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,205.6109549,0,0,0,17.569702,0,0,0,0,36,0.0184329963327426,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backyard,Chicken,Chicken,18,AUT,,Countries,Austria,0,0,1.700349311,1.929700661,0.410958904,0,2.01369863,0.01,2.158507757,2.449667098,0,0.02,0.75,0,0.39,0.045,0,6.551003869,15,0,3.3,0,0,0,0.09,0,0.2,0,0,0,0.15,0,0,0.005206611,0,159,57.5,0.124,0,0,0.95,0.95,0,0.8,0,0,0,0,0,0,0,0,1.488916508,1.929428534,1,0.19,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1312.676326,0,0,0,7.686348122,0,0,0,372915.5,40,0.136280121079138,0.5,CHK,CHK,BCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
