Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0","I","Imputed value",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","4410","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","30000","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","207.3","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","202","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","478.2","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0","I","Imputed value",""
"RL","Land Use","012","Algeria","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","3093.7","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","32994","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0.1029","I","Imputed value",""
"RL","Land Use","016","American Samoa","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","0.1143","I","Imputed value",""
"RL","Land Use","016","American Samoa","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","0","I","Imputed value",""
"RL","Land Use","020","Andorra","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0.54","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","0.04","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","18","I","Imputed value",""
"RL","Land Use","024","Angola","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","579.3908","I","Imputed value",""
"RL","Land Use","024","Angola","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","643.7311","I","Imputed value",""
"RL","Land Use","024","Angola","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","40364","I","Imputed value",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0.4522","I","Imputed value",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","0.5024","I","Imputed value",""
