"","Domain Code","M49_code","Domain","Year","Area","Year_1","Permanent meadows and pastures","Temporary fallow","Temporary meadows and pastures","past_man_frac"
"1","RL","004","Land Use",2015,"Afghanistan",2015,30000,4410,0,0.128160418482999
"2","RL","008","Land Use",2015,"Albania",2015,478.2,202,207.3,0.461183098591549
"3","RL","012","Land Use",2015,"Algeria",2015,32994,3093.7,0,0.0857272699562455
"4","RL","016","Land Use",2015,"American Samoa",2015,0,0.1143,0.1029,1
"5","RL","020","Land Use",2015,"Andorra",2015,18,0.04,0.54,0.031216361679225
"6","RL","024","Land Use",2015,"Angola",2015,40364,643.7311,579.3908,0.029411073527548
"7","RL","028","Land Use",2015,"Antigua and Barbuda",2015,4,0.5024,0.4522,0.192669438501594
"8","RL","031","Land Use",2015,"Azerbaijan",2015,2595.1,40.2,0,0.0152544302356468
"9","RL","032","Land Use",2015,"Argentina",2015,79400.3,2641.1,3898,0.0760896631812649
"10","RL","036","Land Use",2015,"Australia",2015,316722,5947.7707,0,0.0184329963327426
"11","RL","040","Land Use",2015,"Austria",2015,1306.86,48.2,158,0.136280121079138
"12","RL","044","Land Use",2015,"Bahamas",2015,2,1.0048,0.9044,0.488386370612913
"13","RL","048","Land Use",2015,"Bahrain",2015,4,0.5973,0,0.129924085876493
"14","RL","050","Land Use",2015,"Bangladesh",2015,600,421.7,1430.8201,0.755353687009538
"15","RL","051","Land Use",2015,"Armenia",2015,1172.4,109.2,0,0.0852059925093633
"16","RL","052","Land Use",2015,"Barbados",2015,2,1.0048,0.9044,0.488386370612913
"17","RL","056","Land Use",2015,"Belgium",2015,476,9,81,0.159010600706714
"18","RL","060","Land Use",2015,"Bermuda",2015,NA,0.0377,0.0339,1
"19","RL","064","Land Use",2015,"Bhutan",2015,413,26.12,2.4833,0.0647714815536931
"20","RL","068","Land Use",2015,"Bolivia (Plurinational State of)",2015,33000,1636,0,0.0472340916965008
"21","RL","070","Land Use",2015,"Bosnia and Herzegovina",2015,1049,448,0,0.299265197060788
"22","RL","072","Land Use",2015,"Botswana",2015,25600,101.8,0,0.0039608120832004
"23","RL","076","Land Use",2015,"Brazil",2015,172451.2,8333.5654,4677.5871,0.0701552219337884
"24","RL","084","Land Use",2015,"Belize",2015,50,11.0533,9.9486,0.295793492850191
"25","RL","090","Land Use",2015,"Solomon Islands",2015,8,2.8889,2.6002,0.406928557131313
"26","RL","092","Land Use",2015,"British Virgin Islands",2015,5,0.1256,0.1131,0.0455647393437303
"27","RL","096","Land Use",2015,"Brunei Darussalam",2015,3.4,0.5024,0.4354,0.216192539997234
"28","RL","100","Land Use",2015,"Bulgaria",2015,1368.7,235.2,94.7,0.194218768397504
"29","RL","104","Land Use",2015,"Myanmar",2015,306,443,0,0.591455273698264
"30","RL","108","Land Use",2015,"Burundi",2015,483,69.646,62.269,0.214525584836929
"31","RL","112","Land Use",2015,"Belarus",2015,2783.6,22.6,1332.3565,0.327398333211109
"32","RL","116","Land Use",2015,"Cambodia",2015,1500,17.1388,1.2062,0.012082234274819
"33","RL","120","Land Use",2015,"Cameroon",2015,2000,778.7576,700.9215,0.425234355662279
"34","RL","124","Land Use",2015,"Canada",2015,19524,1133,5945,0.266070220284189
"35","RL","132","Land Use",2015,"Cabo Verde",2015,25,6.2803,5.6526,0.323096751135167
"36","RL","136","Land Use",2015,"Cayman Islands",2015,2,0.0251,0.0226,0.0232944278947111
"37","RL","140","Land Use",2015,"Central African Republic",2015,2990,226.0909,203.4933,0.125624688522072
"38","RL","144","Land Use",2015,"Sri Lanka",2015,440,20.1574,18.1426,0.0800752665690989
"39","RL","148","Land Use",2015,"Chad",2015,45000,653.1515,587.8697,0.0268381010582007
"40","RL","152","Land Use",2015,"Chile",2015,11024.792,583.3714,112,0.059331203522299
"41","RL","156","Land Use",2015,"China, mainland",2015,392833,14428.4688,12986.3574,0.0652349030520696
"42","RL","158","Land Use",2015,"China, Taiwan Province of",2015,NA,50.0421,92.3412,1
"43","RL","159","Land Use",2015,"China",2015,392834,14478.9003,13079.049,0.0655529901224015
"44","RL","170","Land Use",2015,"Colombia",2015,41120.4,85.634,0,0.00207819078147632
"45","RL","174","Land Use",2015,"Comoros",2015,15,8.1644,7.3484,0.50840303085918
"46","RL","175","Land Use",2015,"Mayotte",2015,0.02,11,2.2016,0.99848732377322
"47","RL","178","Land Use",2015,"Congo",2015,10000,69.0833,62.1785,0.0129561156933088
"48","RL","180","Land Use",2015,"Democratic Republic of the Congo",2015,18200,1565.0515,1408.6262,0.140442191580162
"49","RL","184","Land Use",2015,"Cook Islands",2015,NA,0.32,0,1
"50","RL","188","Land Use",2015,"Costa Rica",2015,1219,47.5,0,0.03750493485985
"51","RL","191","Land Use",2015,"Croatia",2015,618,33.7,73,0.147233337932938
"52","RL","192","Land Use",2015,"Cuba",2015,2723,1324.7,99.4,0.343396590388464
"53","RL","196","Land Use",2015,"Cyprus",2015,1.9,16.57,0.31,0.898828541001065
"54","RL","203","Land Use",2015,"Czechia",2015,958,35,38,0.0708050436469447
"55","RL","204","Land Use",2015,"Benin",2015,550,180.4924,305.24,0.468974804688933
"56","RL","208","Land Use",2015,"Denmark",2015,255,27,493,0.670967741935484
"57","RL","212","Land Use",2015,"Dominica",2015,2,0.7536,0.6783,0.417232436842565
"58","RL","214","Land Use",2015,"Dominican Republic",2015,1197,110.1565,99.1465,0.148832079573179
"59","RL","218","Land Use",2015,"Ecuador",2015,3238,117,0,0.0348733233979136
"60","RL","222","Land Use",2015,"El Salvador",2015,345.1,37.4,253.1,0.45704845814978
"61","RL","226","Land Use",2015,"Equatorial Guinea",2015,4.28,6.7827,6.1048,0.750691713994466
"62","RL","231","Land Use",2015,"Ethiopia",2015,20000,636,2084,0.119718309859155
"63","RL","232","Land Use",2015,"Eritrea",2015,6900,86.6682,78.0058,0.0233094973667575
"64","RL","233","Land Use",2015,"Estonia",2015,315,55,147,0.390715667311412
"65","RL","234","Land Use",2015,"Faroe Islands",2015,96.354,0.008,0.0072,0.000157726742569203
"66","RL","238","Land Use",2015,"Falkland Islands (Malvinas)",2015,1115.9,NA,NA,0
"67","RL","242","Land Use",2015,"Fiji",2015,173,22.2,12.6,0.167468719923003
"68","RL","246","Land Use",2015,"Finland",2015,27.8,271.3,689.7,0.971885113268608
"69","RL","250","Land Use",2015,"France",2015,9261.9,461.1,3177.1,0.282028821482004
"70","RL","254","Land Use",2015,"French Guiana",2015,12.4,2,0.6,0.173333333333333
"71","RL","258","Land Use",2015,"French Polynesia",2015,20,0.314,0.2826,0.0289659458357205
"72","RL","262","Land Use",2015,"Djibouti",2015,1700,0.2512,0.2261,0.000280685899188422
"73","RL","266","Land Use",2015,"Gabon",2015,1658.236,40.822,36.7419,0.044684816492961
"74","RL","268","Land Use",2015,"Georgia",2015,1940.4,96.9,7.1,0.0508706711015457
"75","RL","270","Land Use",2015,"Gambia",2015,187,56.5227,50.8733,0.364801152189568
"76","RL","275","Land Use",2015,"Palestine",2015,277,6.4818,0,0.0228649599374634
"77","RL","276","Land Use",2015,"Germany",2015,4677,310,2746,0.395189447821027
"78","RL","288","Land Use",2015,"Ghana",2015,5458.3406,561.2854,505.1855,0.163448537938606
"79","RL","296","Land Use",2015,"Kiribati",2015,NA,0.2512,0.2261,1
"80","RL","300","Land Use",2015,"Greece",2015,2917,367,0,0.111753958587089
"81","RL","304","Land Use",2015,"Greenland",2015,243.1,NA,NA,0
"82","RL","308","Land Use",2015,"Grenada",2015,1,0.3768,0.3392,0.417249417249417
"83","RL","312","Land Use",2015,"Guadeloupe",2015,26.8,2,0.054,0.0711859707492895
"84","RL","316","Land Use",2015,"Guam",2015,8,0.1256,0.1131,0.0289730175877262
"85","RL","320","Land Use",2015,"Guatemala",2015,1811,170,0,0.0858152448258455
"86","RL","324","Land Use",2015,"Guinea",2015,10700,764.6982,0,0.0667002468499345
"87","RL","328","Land Use",2015,"Guyana",2015,594,52.7545,47.4818,0.144383547792013
"88","RL","332","Land Use",2015,"Haiti",2015,490,5.7287,275.8876,0.364969350699305
"89","RL","340","Land Use",2015,"Honduras",2015,1817,127.867,115.0868,0.117941382957229
"90","RL","344","Land Use",2015,"China, Hong Kong SAR",2015,1,0.3894,0.3505,0.425254324961205
"91","RL","348","Land Use",2015,"Hungary",2015,761,131,20,0.165570175438596
"92","RL","352","Land Use",2015,"Iceland",2015,1751,1,115,0.062131762185324
"93","RL","356","Land Use",2015,"India",2015,10262,26181,11148.2012,0.78437190612453
"94","RL","360","Land Use",2015,"Indonesia",2015,11000,10194,283.052,0.487825424085205
"95","RL","364","Land Use",2015,"Iran (Islamic Republic of)",2015,29477,3569,0,0.108000968347152
"96","RL","368","Land Use",2015,"Iraq",2015,4000,3405.75,0,0.459879147959356
"97","RL","372","Land Use",2015,"Ireland",2015,3976,0,95,0.0233357897322525
"98","RL","376","Land Use",2015,"Israel",2015,140,90,0,0.391304347826087
"99","RL","380","Land Use",2015,"Italy",2015,3897,271,2013,0.36951949522731
"100","RL","384","Land Use",2015,"Côte d'Ivoire",2015,13200,439.6212,395.6815,0.0595144057705289
"101","RL","388","Land Use",2015,"Jamaica",2015,229,15.0727,13.5662,0.111159067982358
"102","RL","392","Land Use",2015,"Japan",2015,350,0,1072,0.753867791842475
"103","RL","398","Land Use",2015,"Kazakhstan",2015,186526.6,4798.4,2266.137,0.0364920476705501
"104","RL","400","Land Use",2015,"Jordan",2015,742,47.7,0,0.0604026845637584
"105","RL","404","Land Use",2015,"Kenya",2015,21300,728.5152,920.2389,0.0718450375482476
"106","RL","408","Land Use",2015,"Democratic People's Republic of Korea",2015,50,291.4061,231.5939,0.912739965095986
"107","RL","410","Land Use",2015,"Republic of Korea",2015,57,40.4,135.9,0.755679382768967
"108","RL","414","Land Use",2015,"Kuwait",2015,136,0.9672,0.8705,0.01333234666568
"109","RL","417","Land Use",2015,"Kyrgyzstan",2015,9200.6,3.2,302.4253,0.0321500164739415
"110","RL","418","Land Use",2015,"Lao People's Democratic Republic",2015,677,178.4,0,0.208557400046762
"111","RL","422","Land Use",2015,"Lebanon",2015,400,12,0,0.029126213592233
"112","RL","426","Land Use",2015,"Lesotho",2015,2000,46,0,0.0224828934506354
"113","RL","428","Land Use",2015,"Latvia",2015,648,60,338.5,0.380793119923555
"114","RL","430","Land Use",2015,"Liberia",2015,1116.4532,62.803,56.5259,0.0965614407264841
"115","RL","434","Land Use",2015,"Libya",2015,13300,216.0424,194.4492,0.0299399621819541
"116","RL","438","Land Use",2015,"Liechtenstein",2015,3.41,0.2273,0.2046,0.112418334678154
"117","RL","440","Land Use",2015,"Lithuania",2015,799,90.9,311,0.334665667416105
"118","RL","442","Land Use",2015,"Luxembourg",2015,66.92,0.28,12.05,0.155583596214511
