herd_id	species_short	cohort_short	nondemo_productive_phase_id	feed_id	feed_name	feed_ration_fraction
1	CTL	FA		F136	Forage and silage, maize	0.3
1	CTL	FA		F148	Hay, from cultivated grasses	0.2
1	CTL	FA		F151	Other grasses, for forage	0.1
1	CTL	FA		F210	Cake of Soya beans	0.05
1	CTL	FA		F221	Cake of Cottonseed	0.02
1	CTL	FA		F27	Mixed grain	0.04
1	CTL	FA		F308	Bran of Wheat	0.04
1	CTL	FA		F335	Brewing or distilling dregs and waste	0.05
1	CTL	FA		F5	Maize (corn)	0.2
1	CTL	FJ		F160	Raw milk of cattle	1
1	CTL	FS		F136	Forage and silage, maize	0.3
1	CTL	FS		F148	Hay, from cultivated grasses	0.2
1	CTL	FS		F151	Other grasses, for forage	0.1
1	CTL	FS		F210	Cake of Soya beans	0.05
1	CTL	FS		F221	Cake of Cottonseed	0.02
1	CTL	FS		F27	Mixed grain	0.04
1	CTL	FS		F308	Bran of Wheat	0.04
1	CTL	FS		F335	Brewing or distilling dregs and waste	0.05
1	CTL	FS		F5	Maize (corn)	0.2
1	CTL	MA		F136	Forage and silage, maize	0.3
1	CTL	MA		F148	Hay, from cultivated grasses	0.2
1	CTL	MA		F151	Other grasses, for forage	0.1
1	CTL	MA		F210	Cake of Soya beans	0.05
1	CTL	MA		F221	Cake of Cottonseed	0.02
1	CTL	MA		F27	Mixed grain	0.04
1	CTL	MA		F308	Bran of Wheat	0.04
1	CTL	MA		F335	Brewing or distilling dregs and waste	0.05
1	CTL	MA		F5	Maize (corn)	0.2
1	CTL	MJ		F160	Raw milk of cattle	1
1	CTL	MN	1	F136	Forage and silage, maize	0.3
1	CTL	MN	1	F148	Hay, from cultivated grasses	0.2
1	CTL	MN	1	F151	Other grasses, for forage	0.1
1	CTL	MN	1	F210	Cake of Soya beans	0.05
1	CTL	MN	1	F221	Cake of Cottonseed	0.02
1	CTL	MN	1	F27	Mixed grain	0.04
1	CTL	MN	1	F308	Bran of Wheat	0.04
1	CTL	MN	1	F335	Brewing or distilling dregs and waste	0.05
1	CTL	MN	1	F5	Maize (corn)	0.2
1	CTL	MN	2	F136	Forage and silage, maize	0.3
1	CTL	MN	2	F148	Hay, from cultivated grasses	0.2
1	CTL	MN	2	F151	Other grasses, for forage	0.1
1	CTL	MN	2	F210	Cake of Soya beans	0.05
1	CTL	MN	2	F221	Cake of Cottonseed	0.02
1	CTL	MN	2	F27	Mixed grain	0.04
1	CTL	MN	2	F308	Bran of Wheat	0.04
1	CTL	MN	2	F335	Brewing or distilling dregs and waste	0.05
1	CTL	MN	2	F5	Maize (corn)	0.2
1	CTL	MS		F136	Forage and silage, maize	0.3
1	CTL	MS		F148	Hay, from cultivated grasses	0.2
1	CTL	MS		F151	Other grasses, for forage	0.1
1	CTL	MS		F210	Cake of Soya beans	0.05
1	CTL	MS		F221	Cake of Cottonseed	0.02
1	CTL	MS		F27	Mixed grain	0.04
