herd_id	species_short	cohort_short	cohort_duration_days	death_rate	low_activity_fraction	high_activity_fraction	nondemo_productive_phase_id	is_egg_producing
14	CHK	FA	365	0.08	0.03	0.02		FALSE
14	CHK	FJ	3	0.12	0.03	0.02		FALSE
14	CHK	FN		0.08	0.03	0.02	1	FALSE
14	CHK	FN		0.1	0.03	0.02	2	TRUE
14	CHK	FS	147	0.08	0.03	0.02		FALSE
14	CHK	MA	365	0.1	0.03	0.02		FALSE
14	CHK	MJ	3	0.12	0.03	0.02		FALSE
14	CHK	MS	147	0.1	0.03	0.02		FALSE
15	CHK	FA	365	0.08	0.02	0.01		FALSE
15	CHK	FJ	3	0.12	0.02	0.01		FALSE
15	CHK	FN		0.1	0.02	0.01	1	FALSE
15	CHK	FN		0.1	0.02	0.01	2	FALSE
15	CHK	FS	137	0.09	0.02	0.01		FALSE
15	CHK	MA	365	0.1	0.02	0.01		FALSE
15	CHK	MJ	3	0.12	0.02	0.01		FALSE
15	CHK	MN		0.1	0.02	0.01	1	FALSE
15	CHK	MN		0.1	0.02	0.01	2	FALSE
15	CHK	MS	137	0.1	0.02	0.01		FALSE
