herd_id	species_short	live_weight_female_adult	live_weight_male_adult	live_weight_at_birth	live_weight_at_weaning	live_weight_female_at_slaughter	live_weight_male_at_slaughter	live_weight_female_nondemographic_start	live_weight_male_nondemographic_start	live_weight_female_nondemographic_end	live_weight_male_nondemographic_end	phase1_nondemo_fem_duration_days	phase2_nondemo_fem_duration_days	phase1_nondemo_mal_duration_days	phase2_nondemo_mal_duration_days	age_first_parturition	lactating_females_fraction	milk_yield_day	milk_fat_fraction	milk_protein_fraction	milk_lactose_fraction	milk_protein_fraction_standard	milk_fat_fraction_standard	milk_lactose_fraction_standard	non_productive_duration	pregnancy_duration	death_rate_juvenile	lactation_duration	parturition_rate	litter_size	average_annual_temperature	egg_average_weight	egg_output_human_consumption	draught_work_hours_female	draught_work_hours_male	draught_fraction_female	draught_fraction_male	fibre_yield_year	carcass_dressing_fraction	bone_free_meat_fraction	meat_protein_fraction	ratio_me_to_ne
1	CTL	680	916	41	250	557	605		250		700			60	120	770	0.4	27.9	0.037	0.031	0.048	0.033	0.04	0.048		283			0.8	1				0	0	0	0	0	0.65	0.65	0.21	0.43
2	CTL	350	450	14	220	250	250	220	220	250	250					1460	0	0	0	0	0	0.033	0.04	0.048		283			0.684	1				0	1.1	0	0.2	0	0.65	0.65	0.21	0.43
3	SHP	51	59	4.19	30	35	35	30	30	35	35					508	0.3	0.212	0.066	0.058	0.045	0.033	0.04	0.048		152			0.93	1								1.5	0.65	0.7	0.21	0.43
4	SHP	60.1	70.3	5.21	35	51.8	55.9	35	35	51.8	55.9					729	0	0	0	0	0	0.033	0.04	0.048		152			0.745	1								2.5	0.65	0.7	0.21	0.43
5	GTS	70	110	3.5	15	25	25	15	15	25	25					475	0.3	1.34	0.0589	0.034	0.046	0.033	0.04	0.048		150			0.82	1								1.8	0.65	0.7	0.21	0.43
6	GTS	51	75.2	3.3	14	29	29	14	14	29	29					624	0	0	0	0	0	0.033	0.04	0.048		150			0.91	1.7								0.75	0.65	0.7	0.21	0.43
7	BFL	600	800	38	130	420	420	130	130	420	420					1030	0.35	2.32	0.0824	0.0466	0.048	0.033	0.04	0.048		310			0.8	1				0	0	0	0	0	0.65	0.75	0.21	0.43
8	BFL	478	500	32.6	110	110	110	110	110	110	110					1460	0.35	5.09	0.071	0.035	0.048	0.033	0.04	0.048		310			0.835	1				0	2.2	0	0.2	0	0.65	0.75	0.21	0.43
9	PGS	225	265	1.2	7	122	122	7	7	120	120	60	110	60	100	386									14.6	115	0.13	27	2.33	13.5									0.65	0.65	0.21	0.43
10	PGS	64	71	1	6	60	60	6	6	60	60	90	180	90	180	430									23	115	0.22	90	1.6	7									0.65	0.65	0.21	0.43
11	CML	352	382	28.7	120	352	382	120	120	352	382					2560	0.3	4.17	0.035	0.035	0.048	0.033	0.04	0.048		390			0.43	1				0	2	0	0.1	1	0.65	0.65	0.21	0.43
12	CML	537	572	32.7	150	537	572	150	150	537	572					1640	0.3	9.72	0.035	0.035	0.048	0.033	0.04	0.048		390			0.83	1				0	2	0	0.1	1	0.65	0.65	0.21	0.43
13	CHK	1.8	2.4	0.04	0.04	1.6	2.1									170			0	0	0	0.033	0.04	0.048			0.12		45	0.75	20	0.06	180000					0	0.72	0.78	0.21	0.43
14	CHK	1.9	2.5	0.04	0.04	1.7	2.1	0.04		1.9		60	365			150											0.1		140	0.82	20	0.06	2200000						0.72	0.78	0.21	0.43
15	CHK	2.1	2.6	0.045	0.045	2	2.4	0.045	0.045	2	2.4	21	21	21	21	140											0.11		120	0.84	20	0.06	0						0.72	0.78	0.21	0.43
