herd_id	species_short	variable_name	commodity_name	commodity_type	allocation_share
3	SHP	ch4_enteric	Fibre	Non-Edible	0.112244228856513
3	SHP	ch4_manure_other	Fibre	Non-Edible	0.112244228856513
3	SHP	ch4_ration_rice	Fibre	Non-Edible	0.112244228856513
3	SHP	co2_ration_crop_activities	Fibre	Non-Edible	0.112244228856513
3	SHP	co2_ration_fertilizer	Fibre	Non-Edible	0.112244228856513
3	SHP	co2_ration_luc_nopeat	Fibre	Non-Edible	0.112244228856513
3	SHP	co2_ration_luc_peat	Fibre	Non-Edible	0.112244228856513
3	SHP	co2_ration_pesticides	Fibre	Non-Edible	0.112244228856513
3	SHP	n2o_manure_other_direct	Fibre	Non-Edible	0.112244228856513
3	SHP	n2o_manure_other_indirect	Fibre	Non-Edible	0.112244228856513
3	SHP	n2o_ration_crop_residues	Fibre	Non-Edible	0.112244228856513
3	SHP	n2o_ration_fertilizer	Fibre	Non-Edible	0.112244228856513
3	SHP	n2o_ration_manure_applied	Fibre	Non-Edible	0.112244228856513
4	SHP	ch4_enteric	Fibre	Non-Edible	0.183847065113365
4	SHP	ch4_manure_other	Fibre	Non-Edible	0.183847065113365
4	SHP	ch4_ration_rice	Fibre	Non-Edible	0.183847065113365
4	SHP	co2_ration_crop_activities	Fibre	Non-Edible	0.183847065113365
4	SHP	co2_ration_fertilizer	Fibre	Non-Edible	0.183847065113365
4	SHP	co2_ration_luc_nopeat	Fibre	Non-Edible	0.183847065113365
4	SHP	co2_ration_luc_peat	Fibre	Non-Edible	0.183847065113365
4	SHP	co2_ration_pesticides	Fibre	Non-Edible	0.183847065113365
4	SHP	n2o_manure_other_direct	Fibre	Non-Edible	0.183847065113365
4	SHP	n2o_manure_other_indirect	Fibre	Non-Edible	0.183847065113365
4	SHP	n2o_ration_crop_residues	Fibre	Non-Edible	0.183847065113365
4	SHP	n2o_ration_fertilizer	Fibre	Non-Edible	0.183847065113365
4	SHP	n2o_ration_manure_applied	Fibre	Non-Edible	0.183847065113365
5	GTS	ch4_enteric	Fibre	Non-Edible	0.0581407288610097
5	GTS	ch4_manure_other	Fibre	Non-Edible	0.0581407288610097
5	GTS	ch4_ration_rice	Fibre	Non-Edible	0.0581407288610097
5	GTS	co2_ration_crop_activities	Fibre	Non-Edible	0.0581407288610097
5	GTS	co2_ration_fertilizer	Fibre	Non-Edible	0.0581407288610097
5	GTS	co2_ration_luc_nopeat	Fibre	Non-Edible	0.0581407288610097
5	GTS	co2_ration_luc_peat	Fibre	Non-Edible	0.0581407288610097
5	GTS	co2_ration_pesticides	Fibre	Non-Edible	0.0581407288610097
5	GTS	n2o_manure_other_direct	Fibre	Non-Edible	0.0581407288610097
5	GTS	n2o_manure_other_indirect	Fibre	Non-Edible	0.0581407288610097
5	GTS	n2o_ration_crop_residues	Fibre	Non-Edible	0.0581407288610097
5	GTS	n2o_ration_fertilizer	Fibre	Non-Edible	0.0581407288610097
5	GTS	n2o_ration_manure_applied	Fibre	Non-Edible	0.0581407288610097
6	GTS	ch4_enteric	Fibre	Non-Edible	0.0894730481046943
6	GTS	ch4_manure_other	Fibre	Non-Edible	0.0894730481046943
6	GTS	ch4_ration_rice	Fibre	Non-Edible	0.0894730481046943
6	GTS	co2_ration_crop_activities	Fibre	Non-Edible	0.0894730481046943
6	GTS	co2_ration_fertilizer	Fibre	Non-Edible	0.0894730481046943
6	GTS	co2_ration_luc_nopeat	Fibre	Non-Edible	0.0894730481046943
6	GTS	co2_ration_luc_peat	Fibre	Non-Edible	0.0894730481046943
6	GTS	co2_ration_pesticides	Fibre	Non-Edible	0.0894730481046943
6	GTS	n2o_manure_other_direct	Fibre	Non-Edible	0.0894730481046943
6	GTS	n2o_manure_other_indirect	Fibre	Non-Edible	0.0894730481046943
6	GTS	n2o_ration_crop_residues	Fibre	Non-Edible	0.0894730481046943
6	GTS	n2o_ration_fertilizer	Fibre	Non-Edible	0.0894730481046943
6	GTS	n2o_ration_manure_applied	Fibre	Non-Edible	0.0894730481046943
11	CML	ch4_enteric	Fibre	Non-Edible	0.0326768690258618
11	CML	ch4_manure_other	Fibre	Non-Edible	0.0326768690258618
11	CML	ch4_ration_rice	Fibre	Non-Edible	0.0326768690258618
11	CML	co2_ration_crop_activities	Fibre	Non-Edible	0.0326768690258618
11	CML	co2_ration_fertilizer	Fibre	Non-Edible	0.0326768690258618
11	CML	co2_ration_luc_nopeat	Fibre	Non-Edible	0.0326768690258618
11	CML	co2_ration_luc_peat	Fibre	Non-Edible	0.0326768690258618
11	CML	co2_ration_pesticides	Fibre	Non-Edible	0.0326768690258618
