herd_id	species_short	cohort_short	cohort_stock_size	ration_intake	nitrogen_intake	nitrogen_retention	nitrogen_excretion	ch4_enteric	milk_production_mass_cohort	milk_production_protein_cohort	milk_production_fpcm_cohort	meat_production_live_weight_cohort	meat_production_carcass_weight_cohort	meat_production_bone_free_meat_cohort	meat_production_protein_cohort	fibre_production_cohort
1	CTL	FA	12400936.5155689	12.5415826476617	0.263448485096781	0.138384	0.125064485096781	0.262617233836612	50513974802.5182	1565933218.87806	47870829419.4362	2730470297.19226	1774805693.17497	1153623700.56373	242260977.118383	0
1	CTL	FJ	702327.129774259	4.87698237005299	0.200443975409178	0.113556666666667	0.0868873087425114	0	0	0	0	287415564.420086	186820116.873056	121433075.967486	25500945.9531721	0
1	CTL	FS	6905753.00261245	7.02789936060203	0.147628053968806	0.019743661971831	0.127884391996975	0.147162247510087	0	0	0	1016464525.00796	660701941.255172	429456261.815862	90185814.9813309	0
1	CTL	MA	1225.34703506436	8.69729715122236	0.182695423958577	0	0.182695423958577	0.182118970458239	0	0	0	439829.499040981	285889.174376637	185827.963344814	39023.872302411	0
1	CTL	MJ	237044.742600753	3.63922310050192	0.149572069430629	0.113556666666667	0.0360154027639623	0	0	0	0	1086560310.56123	706264201.864801	459071731.212121	96405063.5545454	0
1	CTL	MS	52713.2624086095	6.96510031466175	0.146308897209785	0.0305797183098592	0.115729178899926	0.145847253047607	0	0	0	91618775.9742622	59552204.3832704	38708932.8491258	8128875.89831641	0
2	CTL	FA	7014.57319107952	7.33764954131088	0.120454854870159	0	0.120454854870159	0.16213961584185	0	0	0	117578.357329849	76425.9322644017	49676.8559718611	10432.1397540908	0
2	CTL	FJ	232.83322185074	6.33465170884208	0.260354185233409	0.111926666666667	0.148427518566743	0	0	0	0	335081.208419427	217802.785472627	141571.810557208	29730.0802170136	0
2	CTL	FS	662.566735530783	5.66216185832154	0.0929500490662065	0.00302714285714286	0.0899229062090636	0.125116461800739	0	0	0	176822.0622693	114934.340475045	74707.3213087793	15688.5374748436	0
2	CTL	MA	1612.19231120353	9.15239667448776	0.150245743808391	0	0.150245743808391	0.20223997786743	0	0	0	114265.331686256	74272.4655960663	48277.1026374431	10138.191553863	0
2	CTL	MJ	193.585917517619	4.66964851309578	0.191922553888236	0.111926666666667	0.0799958872215698	0	0	0	0	396293.382511577	257590.698632525	167433.954111141	35161.1303633397	0
2	CTL	MS	284.248622817812	6.03470882016632	0.0990657799918504	0.00535571428571429	0.0937100657061361	0.133348610384081	0	0	0	107917.3767865	70146.294911225	45595.0916922962	9574.96925538221	0
3	SHP	FA	2785519.19611322	1.09966456729679	0.022076645920137	0.00251804493150685	0.0195586009886301	0.0235225850152191	64663042.6185723	3750456.4718772	96609659.6753056	37173719.7601643	24162917.8441068	16914042.4908748	3551948.9230837	4178278.79416983
3	SHP	FJ	147620.381986054	0.716578593750705	0.0348257196562843	0.0111843333333333	0.0236413863229509	0	0	0	0	15979363.8567169	10386586.506866	7270610.55480617	1526828.2165093	0
3	SHP	FS	587692.011118294	0.815380499063558	0.0163694158231002	0.00176943493150685	0.0145999808915933	0.0121041433894797	0	0	0	11409100.0929117	7415915.0603926	5191140.54227482	1090139.51387771	881538.01667744
3	SHP	MA	1958993.36630666	0.982319301063609	0.0197208458242928	0.000550684931506849	0.019170160892786	0.0210124886793074	0	0	0	14933214.1985676	9706589.22906896	6794612.46034827	1426868.61667314	2938490.04945999
3	SHP	MJ	63096.9400963627	0.716540904260537	0.0348238879470621	0.0111843333333333	0.0236395546137288	0	0	0	0	31693309.2846145	20600651.0349995	14420455.7244996	3028295.70214492	0
3	SHP	MS	17078.1043794055	0.67670967229209	0.0135854880390015	0.00223372064579256	0.011351767393209	0.0100456055987093	0	0	0	1409238.67676606	916005.13989794	641203.597928558	134652.755564997	25617.1565691083
4	SHP	FA	4545824.98889507	1.49493250131498	0.0252060569046719	0.000917808219178082	0.0242882486854938	0.0333890195967027	0	0	0	34605029.4460054	22493269.1399035	15745288.3979325	3306510.56356582	11364562.4722377
4	SHP	FJ	183859.250115336	0.916274756937695	0.044530953187172	0.012909	0.031621953187172	0	0	0	0	30593686.5473097	19885896.2557513	13920127.3790259	2923226.74959544	0
4	SHP	FS	715678.243322185	1.27412982494581	0.0214831029784112	0.00189329401887913	0.0195898089595321	0.0202475980251722	0	0	0	27763603.2938643	18046342.1410118	12632439.4987082	2652812.29472873	1789195.60830546
4	SHP	MA	2303766.49227327	1.49154045454186	0.0251488636040304	0.000917808219178082	0.0242310553848523	0.033313258907788	0	0	0	18219918.5589428	11842947.0633128	8290062.94431899	1740913.21830699	5759416.23068318
4	SHP	MJ	118550.443526206	0.888248908923267	0.0431688969736708	0.012909	0.0302598969736708	0	0	0	0	46873354.0174833	30467680.1113642	21327376.0779549	4478748.97637053	0
4	SHP	MS	112320.581867931	1.30036638916994	0.0219254776877944	0.00228970657493294	0.0196357711128615	0.0206645315240758	0	0	0	10960686.783964	7124446.40957658	4987112.4867036	1047293.62220776	280801.454669828
5	GTS	FA	943257.107488794	1.54008607650618	0.0414899189010765	0.00795042191780822	0.0335394969832683	0.0321350692402972	138404115.381831	4705739.92298225	170714332.289354	9423467.16465515	6125253.65702585	4287677.55991809	900412.2875828	1697862.79347983
5	GTS	FJ	34478.9053415061	0.324126419136191	0.0133215958264975	0.00498333333333333	0.00833826249316413	0	0	0	0	4019452.08474432	2612643.8550838	1828850.69855866	384058.646697319	0
5	GTS	FS	58261.2556938084	0.786511730734205	0.0211886260259795	0.00410660505033834	0.0170820209756411	0.0112220263259629	0	0	0	1832179.46050609	1190916.64932896	833641.654530271	175064.747451357	104870.260248855
5	GTS	MA	287207.343645037	1.78301295186868	0.0480343689233423	0.000660821917808219	0.047373547005534	0.0372039235590198	0	0	0	6357779.84618287	4132556.90001887	2892789.83001321	607485.864302773	516973.218561067
5	GTS	MJ	15327.4598808244	0.324126419136191	0.0133215958264975	0.00498333333333333	0.00833826249316413	0	0	0	0	5273127.65891499	3427532.97829474	2399273.08480632	503847.347809327	0
5	GTS	MS	1467.92795003006	0.610300944662706	0.0164415074492133	0.00661262914672388	0.00982887830248941	0.00870783358993463	0	0	0	130380.861571474	84747.5600214579	59323.2920150205	12457.8913231543	2642.2703100541
6	GTS	FA	113626.393651336	1.64233725301258	0.0257025780096469	0.000275342465753425	0.0254272355438935	0.0366629131727913	0	0	0	622304.340665762	404497.821432745	283148.475002922	59461.1797506135	85219.7952385023
6	GTS	FJ	9482.45957633985	0.30478199965794	0.0125265401859413	0.00463666666666667	0.00788987351927467	0	0	0	0	421789.944650254	274163.464022665	191914.424815866	40302.0292113318	0
6	GTS	FS	38574.593275261	1.24292878329795	0.019451835458613	0.00198101622461867	0.0174708192339943	0.019773164764528	0	0	0	507139.331378383	329640.565395949	230748.395777164	48457.1631132045	28930.9449564458
6	GTS	MA	20169.5475417536	1.94840109944876	0.0304924772063731	0.000275342465753425	0.0302171347406197	0.0434953662555165	0	0	0	119014.176028067	77359.2144182436	54151.4500927705	11371.8045194818	15127.1606563152
6	GTS	MJ	6912.89054387569	0.30478199965794	0.0125265401859413	0.00463666666666667	0.00788987351927467	0	0	0	0	754102.537316324	490166.64925561	343116.654478927	72054.4974405747	0
6	GTS	MS	11234.1154114334	1.27391148095197	0.0199367146768984	0.00292734246575343	0.017009372211145	0.0202660538131966	0	0	0	349638.720396865	227265.168257962	159085.617780574	33407.9797339205	8425.58655857505
7	BFL	FA	265060.071934462	7.90966704697256	0.16282207809534	0.01729792	0.14552415809534	0.169891346297371	78558504.1199359	3660826.29198901	128157410.400445	12159845.3869975	7903899.50154834	5927924.62616126	1244864.17149386	0
7	BFL	FJ	10184.73805936	1.67547172454887	0.0745584917424247	0.0499866666666667	0.024571825075758	0	0	0	0	8735056.21565048	5677786.54017281	4258339.90512961	894251.380077218	0
7	BFL	FS	28057.0787745114	5.21065212180278	0.107262316057735	0.0157310061601643	0.0915313098975702	0.111919338551571	0	0	0	12490140.9031246	8118591.58703096	6088943.69027322	1278678.17495738	0
7	BFL	MA	21656.5309466421	8.28044403159179	0.170454596479123	0	0.170454596479123	0.177855246764856	0	0	0	4305510.63247653	2798581.91110974	2098936.43333231	440776.650999784	0
7	BFL	MJ	6149.07084149852	1.34583376579395	0.0598896025778309	0.0499866666666667	0.00990293591116427	0	0	0	0	11867370.9330359	7713791.10647335	5785343.32985501	1214922.09926955	0
7	BFL	MS	2892.50944352592	5.04971491566054	0.103949391481855	0.0224250513347023	0.0815243401471532	0.108462576280989	0	0	0	2852593.84923227	1854186.00200098	1390639.50150073	292034.295315154	0
8	BFL	FA	44168651.6087902	11.20633232077	0.161994257496123	0.028504	0.133490257496123	0.259709440806544	28720555286.9868	1005219435.04454	40295747197.4896	3019175584.55165	1962464129.95857	1471848097.46893	309088100.468475	0
8	BFL	FJ	2498355.80073409	1.48451726759938	0.0660610184081723	0.042054	0.0240070184081723	0	0	0	0	260662273.265184	169430477.62237	127072858.216777	26685300.2255232	0
8	BFL	FS	40936587.9660647	6.78060163157897	0.0980176649454529	0.00856914285714286	0.0894485220883101	0.157142070006747	0	0	0	646204177.798841	420032715.569247	315024536.676935	66155152.7021563	0
8	BFL	MA	4598859.5444234	9.3957620069511	0.135821377267682	0	0.135821377267682	0.217749039286831	0	0	0	215073495.503067	139797772.076994	104848329.057745	22018149.1021265	0
8	BFL	MJ	566593.289263208	1.31111365999347	0.0583445578697093	0.042054	0.0162905578697093	0	0	0	0	1657215169.92429	1077189860.45079	807892395.338091	169657403.020999	0
8	BFL	MS	30951.7907243096	3.93397106383005	0.0568679121103016	0.00908142857142857	0.0477864835388731	0.0911707234705871	0	0	0	7136330.72993729	4638614.97445924	3478961.23084443	730581.85847733	0
9	PGS	FA	10229027.6975359	2.51344074664356	0.087827160009966	0.0153361811573945	0.0724909788525715	0.00860196076928162	0	0	0	710736579.893903	461978776.931037	300286205.005174	63060103.0510866	0
9	PGS	FJ	3152268.67827602	0.271826617858932	0.012721485715798	0.00537037037037037	0.00735111534542765	0	0	0	0	874380318.558488	568347207.063017	369425684.590961	77579393.7641018	0
9	PGS	FS	958881.891323388	1.78686642007096	0.0624384733165394	0.0156220502903918	0.0468164230261476	0.00236137046405722	0	0	0	312971405.509093	203431413.58091	132230418.827592	27768387.9537943	0
9	PGS	MA	9347593.69231513	2.05351882982271	0.0717561084704948	0	0.0717561084704948	0.00702793110866243	0	0	0	761036048.454335	494673431.495318	321537730.471956	67522923.3991108	0
9	PGS	MJ	2286055.00076795	0.271826617858932	0.012721485715798	0.00537037037037037	0.00735111534542765	0	0	0	0	895391748.492867	582004636.520364	378303013.738236	79443632.8850296	0
9	PGS	MS	126173.039781598	1.97117595602706	0.0688788014314534	0.017966573816156	0.0509122276152974	0.00260493824817482	0	0	0	52769064.234124	34299891.7521806	22294929.6389174	4681935.22417266	0
10	PGS	FA	946884.106229834	1.32604045861967	0.0310495025466713	0.00468101761252446	0.0263684849341468	0.00438876739288808	0	0	0	5180079.38163194	3367051.59806076	2188583.53873949	459602.543135294	0
10	PGS	FJ	241401.845396515	0.104854267389445	0.00490717971382604	0.00138888888888889	0.00351829082493715	0	0	0	0	28825970.897293	18736881.0832405	12178972.7041063	2557584.26786233	0
10	PGS	FS	5670.84424949378	1.1345064178607	0.0265646946754918	0.00446590638702879	0.022098788288463	0.00144989308608841	0	0	0	1109068.13397354	720894.287082798	468581.286603819	98402.070186802	0
10	PGS	MA	911722.191525755	1.20399407946619	0.0281917621695167	0	0.0281917621695167	0.00398483313449719	0	0	0	5531004.50643164	3595152.92918056	2336849.40396737	490738.374833147	0
10	PGS	MJ	144234.322548092	0.104854267389445	0.00490717971382604	0.00138888888888889	0.00351829082493715	0	0	0	0	29433194.247433	19131576.2608315	12435524.5695404	2611460.15960349	0
10	PGS	MS	86.6900503110999	1.18811111460726	0.027819859370752	0.00477941176470588	0.0230404476060461	0.00151839959955641	0	0	0	20849.5627479704	13552.2157861808	8808.94026101751	1849.87745481368	0
11	CML	FA	3028327.44706433	5.44117842805881	0.118291219025999	0.0237191232876712	0.0945720957383273	0.118554888932158	1382779737.24128	48397290.8034447	1316577975.81237	48461029.9176607	31499669.4464795	20474785.1402117	4299704.87944445	3028327.44706433
11	CML	FJ	556741.557019823	1.07642103750555	0.0430568415002218	0.00641567567567568	0.0366411658245461	0	0	0	0	0	0	0	0	0
11	CML	FS	2402477.56840717	3.8311376846394	0.0832889332640605	0.00312146118721461	0.0801674720768459	0.0584981817836049	0	0	0	0	0	0	0	2402477.56840717
11	CML	MA	47080.5934887955	4.78187242297403	0.103957906475455	0.000367123287671233	0.103590783187784	0.104189627575894	0	0	0	865736.02811484	562728.418274646	365773.47187852	76812.4290944892	47080.5934887955
11	CML	MJ	556741.557019823	1.07642103750555	0.0430568415002218	0.00641567567567568	0.0366411658245461	0	0	0	0	0	0	0	0	0
11	CML	MS	618631.27700006	3.9857292610148	0.0866497541344617	0.00347762557077626	0.0831721285636854	0.060858662372251	0	0	0	165763172.391554	107746062.05451	70034940.3354316	14707337.4704406	618631.27700006
