herd_id,species_short,cohort_short,ration_digestibility_fraction,ration_gross_energy,ration_intake
1,CTL,FA,0.672,18.75,14.2
1,CTL,FJ,0.97,24.32,6.2
1,CTL,FS,0.672,18.75,18.5
1,CTL,MA,0.672,18.75,0
1,CTL,MJ,0.97,24.32,5.3
1,CTL,MS,0.672,18.75,17.1
2,BFL,FA,0.672,18.75,0
2,BFL,FJ,0.97,24.32,0.66
2,BFL,FS,0.672,18.75,21.7
2,BFL,MA,0.672,18.75,0
2,BFL,MJ,0.97,24.32,0.56
2,BFL,MS,0.672,18.75,19.0
3,SHP,FA,0.531,19.58,0
3,SHP,FJ,0.97,24.32,16.9
3,SHP,FS,0.531,19.58,20.4
3,SHP,MA,0.531,19.58,0
3,SHP,MJ,0.97,24.32,13.4
3,SHP,MS,0.531,19.58,17.1
4,GTS,FA,0.532,19.58,0
4,GTS,FJ,0.97,24.32,17.2
4,GTS,FS,0.532,19.58,20.4
4,GTS,MA,0.532,19.58,0
4,GTS,MJ,0.97,24.32,13.4
4,GTS,MS,0.532,19.58,17.1
5,CML,FA,0.714,19.58,0
5,CML,FJ,0.97,24.32,16.9
5,CML,FS,0.714,19.58,20.4
5,CML,MA,0.714,19.58,0
5,CML,MJ,0.97,24.32,13.4
5,CML,MS,0.714,19.58,17.1
6,PGS,FA,0.713,19.58,0
6,PGS,FJ,0.97,24.32,6.7
6,PGS,FS,0.713,19.58,4.9
6,PGS,MA,0.713,19.58,0
6,PGS,MJ,0.97,24.32,5.2
6,PGS,MS,0.713,19.58,4.1
