herd_id	species_short	cohort_short	cohort_duration_days	offtake_rate	death_rate	high_activity_fraction	low_activity_fraction	ration_gross_energy	ration_metabolizable_energy	ration_nitrogen	ration_digestibility_fraction	ration_urinary_energy_fraction	ration_ash
1	CTL	FA	989	0	0.031	3.6e-05	1.66e-06	18.788	10.943	0.021006	0.709532212618576	0.12839	0.04
1	CTL	FJ	60	0.247	0.067	3.6e-05	1.66e-06	21.9	20.4	0.0411	0.972602739726027	0.0411	0.04
1	CTL	FS	710	0.247	0.031	3.6e-05	1.66e-06	18.788	10.943	0.021006	0.709532212618576	0.12839	0.04
1	CTL	MA	823	0	0.031	3.6e-05	1.66e-06	18.788	10.943	0.021006	0.709532212618576	0.12839	0.04
1	CTL	MJ	60	0.949	0.067	3.6e-05	1.66e-06	21.9	20.4	0.0411	0.972602739726027	0.0411	0.04
1	CTL	MS	710	0.949	0.031	3.6e-05	1.66e-06	18.788	10.943	0.021006	0.709532212618576	0.12839	0.04
2	CTL	FA	5000	0	0.05	0.6	0.0465	17.85	8.1062	0.016416	0.572190679447977	0.11828	0.04
2	CTL	FJ	60	0.661	0.07	0.6	0.0465	21.9	20.4	0.0411	0.972602739726027	0.0411	0.04
2	CTL	FS	1400	0.661	0.05	0.6	0.0465	17.85	8.1062	0.016416	0.572190679447977	0.11828	0.04
2	CTL	MA	1820	0	0.05	0.6	0.0465	17.85	8.1062	0.016416	0.572190679447977	0.11828	0.04
2	CTL	MJ	60	0.783	0.07	0.6	0.0465	21.9	20.4	0.0411	0.972602739726027	0.0411	0.04
2	CTL	MS	1400	0.783	0.05	0.6	0.0465	17.85	8.1062	0.016416	0.572190679447977	0.11828	0.04
3	SHP	FA	1110	0	0.065	0.226	0.133	18.214	9.4792	0.0200758	0.642882445582431	0.122634	0.04
3	SHP	FJ	60	0.453	0.171	0.226	0.133	20.4	19	0.0486	0.970588235294118	0.0392	0.04
3	SHP	FS	448	0.453	0.065	0.226	0.133	18.214	9.4792	0.0200758	0.642882445582431	0.122634	0.04
3	SHP	MA	2090	0	0.065	0.226	0.133	18.214	9.4792	0.0200758	0.642882445582431	0.122634	0.04
3	SHP	MJ	60	0.913	0.171	0.226	0.133	20.4	19	0.0486	0.970588235294118	0.0392	0.04
3	SHP	MS	448	0.913	0.065	0.226	0.133	18.214	9.4792	0.0200758	0.642882445582431	0.122634	0.04
4	SHP	FA	2430	0	0.0309	0.478	0.0218	17.929	8.0304	0.016861	0.563495829753329	0.11622	0.04
4	SHP	FJ	60	0.543	0.101	0.478	0.0218	20.4	19	0.0486	0.970588235294118	0.0392	0.04
4	SHP	FS	669	0.543	0.0309	0.478	0.0218	17.929	8.0304	0.016861	0.563495829753329	0.11622	0.04
