feed_id	feed_name	co2_feed_fertilizer	co2_feed_pesticides	co2_feed_crop_activities	co2_feed_luc_nopeat	co2_feed_luc_peat	n2o_feed_fertilizer	n2o_feed_manure_applied	n2o_feed_crop_residues	ch4_feed_rice
F1	Fresh grass, natural pastures	0	0	0	0	0	0	0.108	0	0
F10	Barley, straw	0	0	0	0	0	0	0	0	0
F109	Beans, straw	0	0	0	0	0	0	0	0	0
F11	Barley	57.3	14.2	114	9.98	0.246	0.454	0.575	0.264	0
F110	Beans, dry	82.4	25.5	209	78.9	36.3	0.221	0.377	0.321	0
F118	Peas, dry	125	20.5	106	38.5	1.33	0.636	0.698	0.318	0
F132	Sugar cane, tops	0	0	0	0	0	0	0	0	0
F136	Forage and silage, maize	36.3	15.8	136	113	1.49	0.32	0.396	0.195	0
F147.1	Hay, from natural grasses	0	0	167	0	0	0	0.108	0	0
F148	Hay, from cultivated grasses	21.2	13	94.2	0	0	0.0761	0.0443	0	0
F149.2	Hay for forage, from legumes, cultivated	27.9	19.2	146	0	0	0.0453	0.0655	0	0
F151	Other grasses, for forage	21.2	13	94.2	0	0	0.0761	0.0444	0	0
F153.2	Mixed grass and legumes, for forage, cultivated	36	19.3	145	0	0	0.129	0.0655	0	0
F16	Millet, stover	0	0	0	0	0	0	0	0	0
F160	Raw milk of cattle	0	0	0	0	0	0	0	0	0
F161	Raw milk of buffalo	0	0	0	0	0	0	0	0	0
F162	Raw milk of sheep	0	0	0	0	0	0	0	0	0
F163	Raw milk of goats	0	0	0	0	0	0	0	0	0
F164	Raw milk of camel	0	0	0	0	0	0	0	0	0
F17	Millet	12.6	3.74	7.76	0	0	0.0629	0	0.0406	0
F2	Wheat, straw	0	0	0	0	0	0	0	0	0
F210	Cake of Soya beans	18.1	5.5	29.5	104	0.716	0.0764	0.139	0.12	0
F214	Cake of Sunflower seed	50.2	12.5	79.3	194	0.577	0.224	0.345	0.231	0
F215	Cake of Rapeseed	68.7	10.2	54.6	-23.8	0.044	0.544	0.218	0.234	0
F221	Cake of Cottonseed	344	17.6	90.3	117	15.6	2.09	0.324	0.657	0
F27	Mixed grain	37.7	18.8	88.9	23.1	0.479	0.333	0.501	0.131	0
F3	Wheat	32.5	8.53	48.3	3.83	0.122	0.298	0.113	0.148	0
F308	Bran of Wheat	27.2	4.61	31.1	1.31	0.0509	0.143	0.162	0.0601	0
F309	Bran of Rice	65.6	12.4	94.6	0.485	0.443	0.259	0.31	0.233	120
F311	Bran of Maize	12.1	1.88	13	37.8	0.126	0.0709	0.0577	0.0325	0
F314	Bran of Millet	16.8	9.62	235	174	3.36	0.1	0.19	0.234	0
F329	Maize Gluten meal	6.33	0.78	2.6	5.59	0.14	0.0319	0.0256	0.0208	0
F332	Beet pulp	0	0	0	0	0	0	0	0	0
F335	Brewing or distilling dregs and waste	0	0	0	0	0	0	0	0	0
F345	Raw milk of pig	0	0	0	0	0	0	0	0	0
F4	Maize (corn), stover	0	0	0	0	0	0	0	0	0
F5	Maize (corn)	29.2	6.27	22.8	33.3	0.181	0.202	0.128	0.0895	0
F53	Banana stems	0	0	0	0	0	0	0	0	0
F54	Banana fruit	46.6	13.9	63.5	667	-291	0.278	0.111	0.731	0
F6	Rice, straw	0	0	0	0	0	0	0	0	0
F7	Rice	87.4	7.91	90.5	49.4	2	0.247	0.0855	0.178	36.8
F9	Sorghum	63.8	10.4	73.2	34.6	0.272	0.389	0.276	0.172	0
F96	Cassava, fresh	27.9	20.1	32.7	354	50.3	0.0582	0.0644	0.147	0
