feed_id	feed_gross_energy	feed_digestible_energy_ruminant	feed_digestible_energy_pigs	feed_metabolizable_energy_ruminant	feed_metabolizable_energy_pigs	feed_nitrogen_content	feed_urinary_energy_ruminant	feed_urinary_energy_pigs	feed_ash
F1	17.8	10.4	7.39	8.23	6.7	0.0169	0.122	0.0388	4
F10	18.2	8	2.5	6.5	2.2	0.00608	0.0824	0.0165	4
F109	17.9	9.2	3.2	7.4	2.23	0.0114	0.101	0.0542	4
F11	18.4	14.8	14.8	12.4	14.3	0.0189	0.13	0.0272	4
F110	18.6	16.8	16.3	13.6	15.3	0.0397	0.172	0.0538	4
F118	18.3	16.5	16.1	13.4	15.4	0.0382	0.169	0.0383	4
F132	18	9.8	3.21	8	2.25	0.00784	0.1	0.0533	4
F136	19	13	13	10.8	12.1	0.0116	0.116	0.0474	4
F144	16.2	13.7	13	11.5	12.7	0.0267	0.136	0.0185	4
F147.1	17.9	9.52	7.61	7.59	6.95	0.0144	0.108	0.0369	4
F148	18.1	10.2	7.67	8.22	7.01	0.015	0.109	0.0365	4
F149.2	18.4	10.3	7.78	8.16	7.11	0.0259	0.116	0.0364	4
F151	18	11.1	7.9	8.91	7.25	0.0176	0.122	0.0361	4
F153.2	18.2	12.3	7.81	9.77	7.14	0.0272	0.139	0.0368	4
F16	17.7	8.93	3.17	7.22	2.21	0.007	0.0966	0.0542	4
F160	21.9	21.3	19.5	20.4	18.7	0.0411	0.0411	0.0365	4
F161	24.3	23.6	21.6	22.6	20.7	0.0445	0.0412	0.037	4
F162	20.4	19.8	18.1	19	17.4	0.0486	0.0392	0.0343	4
F163	21.9	21.3	19.5	20.4	18.7	0.0411	0.0411	0.0365	4
F164	22.2	21.6	19.7	20.7	18.9	0.04	0.0405	0.036	4
F17	18.7	15.1	14.4	12.6	14	0.019	0.134	0.0214	4
F2	18.5	8.3	2.3	6.8	2	0.00672	0.0811	0.0162	4
F210	19.7	18	17	13.4	15.6	0.0862	0.234	0.0711	4
F214	20	12.8	11	9.62	10.1	0.0517	0.159	0.045	4
F215	20.4	15.6	14.2	12.1	13.2	0.0574	0.172	0.049	4
F221	20.6	15.5	13.1	11.8	11.9	0.0679	0.18	0.0583	4
F27	18.5	15.1	15	12.8	14.6	0.018	0.124	0.0216	4
F3	18.2	15.6	15.9	13.1	15.5	0.0202	0.137	0.022	4
F308	18.9	13.5	10.8	11	10.2	0.0277	0.132	0.0317	4
F309	20.3	13.9	13.8	11.4	13.3	0.0202	0.123	0.0246	4
F311	18.5	13.4	10.1	11	9.7	0.019	0.13	0.0216	4
F314	19	15.4	15.5	12.8	15	0.0219	0.137	0.0263	4
F329	23.1	22.9	21.4	16.6	19.8	0.108	0.273	0.0693	4
F332	17.1	13.5	11.8	11.2	11.1	0.0139	0.135	0.0409	4
F335	20.7	14.8	14.2	11.8	13.3	0.047	0.145	0.0435	4
F345	25.8		25.1		24.1	0.0468	0	0.0388	4
F4	18.2	9.4	3.25	7.65	2.27	0.00856	0.0962	0.0538	4
F5	18.7	16.1	16.4	13.6	16	0.0146	0.134	0.0214	4
F53	17.4	12.4	5	9.9	3.49	0.0157	0.144	0.0868	4
F54	17.1	13.3	14.2	11.3	13.8	0.00832	0.117	0.0234	4
F6	15.5	7.2	5.4	5.8	3.77	0.00672	0.0903	0.105	4
F7	18	15.9	17.1	13.4	16.6	0.0166	0.139	0.0278	4
F8	18.1	8.9	3.23	7.3	2.26	0.00592	0.0884	0.0536	4
F9	18.8	16	16.1	13.5	15.7	0.0173	0.133	0.0213	4
F96	17.1	14.5	15.7	12.4	15.4	0.00416	0.123	0.0175	4
