herd_id	species_short	feed_name	feed_id	cohort_short	feed_ration_fraction	nondemo_productive_phase_id
1	CTL	Forage and silage, maize	F136	FA	0.3	
1	CTL	Hay, from cultivated grasses	F148	FA	0.2	
1	CTL	Other grasses, for forage	F151	FA	0.1	
1	CTL	Cake of Soya beans	F210	FA	0.05	
1	CTL	Cake of Cottonseed	F221	FA	0.02	
1	CTL	Mixed grain	F27	FA	0.04	
1	CTL	Bran of Wheat	F308	FA	0.04	
1	CTL	Brewing or distilling dregs and waste	F335	FA	0.05	
1	CTL	Maize (corn)	F5	FA	0.2	
1	CTL	Raw milk of cattle	F160	FJ	1	
1	CTL	Forage and silage, maize	F136	FS	0.3	
1	CTL	Hay, from cultivated grasses	F148	FS	0.2	
1	CTL	Other grasses, for forage	F151	FS	0.1	
1	CTL	Cake of Soya beans	F210	FS	0.05	
1	CTL	Cake of Cottonseed	F221	FS	0.02	
1	CTL	Mixed grain	F27	FS	0.04	
1	CTL	Bran of Wheat	F308	FS	0.04	
1	CTL	Brewing or distilling dregs and waste	F335	FS	0.05	
1	CTL	Maize (corn)	F5	FS	0.2	
1	CTL	Forage and silage, maize	F136	MA	0.3	
1	CTL	Hay, from cultivated grasses	F148	MA	0.2	
1	CTL	Other grasses, for forage	F151	MA	0.1	
1	CTL	Cake of Soya beans	F210	MA	0.05	
1	CTL	Cake of Cottonseed	F221	MA	0.02	
1	CTL	Mixed grain	F27	MA	0.04	
1	CTL	Bran of Wheat	F308	MA	0.04	
1	CTL	Brewing or distilling dregs and waste	F335	MA	0.05	
1	CTL	Maize (corn)	F5	MA	0.2	
1	CTL	Raw milk of cattle	F160	MJ	1	
1	CTL	Forage and silage, maize	F136	MN	0.3	1
1	CTL	Hay, from cultivated grasses	F148	MN	0.2	1
1	CTL	Other grasses, for forage	F151	MN	0.1	1
1	CTL	Cake of Soya beans	F210	MN	0.05	1
1	CTL	Cake of Cottonseed	F221	MN	0.02	1
1	CTL	Mixed grain	F27	MN	0.04	1
1	CTL	Bran of Wheat	F308	MN	0.04	1
1	CTL	Brewing or distilling dregs and waste	F335	MN	0.05	1
1	CTL	Maize (corn)	F5	MN	0.2	1
1	CTL	Forage and silage, maize	F136	MN	0.3	2
1	CTL	Hay, from cultivated grasses	F148	MN	0.2	2
1	CTL	Other grasses, for forage	F151	MN	0.1	2
1	CTL	Cake of Soya beans	F210	MN	0.05	2
1	CTL	Cake of Cottonseed	F221	MN	0.02	2
1	CTL	Mixed grain	F27	MN	0.04	2
1	CTL	Bran of Wheat	F308	MN	0.04	2
1	CTL	Brewing or distilling dregs and waste	F335	MN	0.05	2
1	CTL	Maize (corn)	F5	MN	0.2	2
1	CTL	Forage and silage, maize	F136	MS	0.3	
1	CTL	Hay, from cultivated grasses	F148	MS	0.2	
1	CTL	Other grasses, for forage	F151	MS	0.1	
1	CTL	Cake of Soya beans	F210	MS	0.05	
1	CTL	Cake of Cottonseed	F221	MS	0.02	
1	CTL	Mixed grain	F27	MS	0.04	
1	CTL	Bran of Wheat	F308	MS	0.04	
1	CTL	Brewing or distilling dregs and waste	F335	MS	0.05	
1	CTL	Maize (corn)	F5	MS	0.2	
2	CTL	Fresh grass, natural pastures	F1	FA	0.7	
2	CTL	Hay, from natural grasses	F147.1	FA	0.28	
2	CTL	Bran of Wheat	F308	FA	0.02	
2	CTL	Raw milk of cattle	F160	FJ	1	
2	CTL	Fresh grass, natural pastures	F1	FS	0.7	
2	CTL	Hay, from natural grasses	F147.1	FS	0.28	
2	CTL	Bran of Wheat	F308	FS	0.02	
2	CTL	Fresh grass, natural pastures	F1	MA	0.7	
2	CTL	Hay, from natural grasses	F147.1	MA	0.28	
2	CTL	Bran of Wheat	F308	MA	0.02	
2	CTL	Raw milk of cattle	F160	MJ	1	
2	CTL	Fresh grass, natural pastures	F1	MS	0.7	
2	CTL	Hay, from natural grasses	F147.1	MS	0.28	
2	CTL	Bran of Wheat	F308	MS	0.02	
3	SHP	Barley, straw	F10	FA	0.06	
3	SHP	Hay, from cultivated grasses	F148	FA	0.2	
3	SHP	Hay for forage, from legumes, cultivated	F149.2	FA	0.04	
3	SHP	Other grasses, for forage	F151	FA	0.2	
3	SHP	Mixed grass and legumes, for forage, cultivated	F153.2	FA	0.04	
3	SHP	Wheat, straw	F2	FA	0.1	
3	SHP	Cake of Soya beans	F210	FA	0.04	
3	SHP	Cake of Rapeseed	F215	FA	0	
3	SHP	Mixed grain	F27	FA	0.04	
3	SHP	Bran of Wheat	F308	FA	0.1	
3	SHP	Maize Gluten meal	F329	FA	0.01	
3	SHP	Beet pulp	F332	FA	0.15	
3	SHP	Maize (corn)	F5	FA	0.02	
3	SHP	Raw milk of sheep	F162	FJ	1	
3	SHP	Barley, straw	F10	FS	0.06	
3	SHP	Hay, from cultivated grasses	F148	FS	0.2	
3	SHP	Hay for forage, from legumes, cultivated	F149.2	FS	0.04	
3	SHP	Other grasses, for forage	F151	FS	0.2	
3	SHP	Mixed grass and legumes, for forage, cultivated	F153.2	FS	0.04	
3	SHP	Wheat, straw	F2	FS	0.1	
3	SHP	Cake of Soya beans	F210	FS	0.04	
3	SHP	Cake of Rapeseed	F215	FS	0	
3	SHP	Mixed grain	F27	FS	0.04	
3	SHP	Bran of Wheat	F308	FS	0.1	
3	SHP	Maize Gluten meal	F329	FS	0.01	
3	SHP	Beet pulp	F332	FS	0.15	
3	SHP	Maize (corn)	F5	FS	0.02	
3	SHP	Barley, straw	F10	MA	0.06	
3	SHP	Hay, from cultivated grasses	F148	MA	0.2	
3	SHP	Hay for forage, from legumes, cultivated	F149.2	MA	0.04	
3	SHP	Other grasses, for forage	F151	MA	0.2	
3	SHP	Mixed grass and legumes, for forage, cultivated	F153.2	MA	0.04	
3	SHP	Wheat, straw	F2	MA	0.1	
3	SHP	Cake of Soya beans	F210	MA	0.04	
3	SHP	Cake of Rapeseed	F215	MA	0	
3	SHP	Mixed grain	F27	MA	0.04	
3	SHP	Bran of Wheat	F308	MA	0.1	
3	SHP	Maize Gluten meal	F329	MA	0.01	
3	SHP	Beet pulp	F332	MA	0.15	
3	SHP	Maize (corn)	F5	MA	0.02	
3	SHP	Raw milk of sheep	F162	MJ	1	
3	SHP	Barley, straw	F10	MS	0.06	
3	SHP	Hay, from cultivated grasses	F148	MS	0.2	
3	SHP	Hay for forage, from legumes, cultivated	F149.2	MS	0.04	
3	SHP	Other grasses, for forage	F151	MS	0.2	
3	SHP	Mixed grass and legumes, for forage, cultivated	F153.2	MS	0.04	
3	SHP	Wheat, straw	F2	MS	0.1	
3	SHP	Cake of Soya beans	F210	MS	0.04	
3	SHP	Cake of Rapeseed	F215	MS	0	
3	SHP	Mixed grain	F27	MS	0.04	
3	SHP	Bran of Wheat	F308	MS	0.1	
3	SHP	Maize Gluten meal	F329	MS	0.01	
3	SHP	Beet pulp	F332	MS	0.15	
3	SHP	Maize (corn)	F5	MS	0.02	
4	SHP	Fresh grass, natural pastures	F1	FA	0.45	
4	SHP	Hay, from natural grasses	F147.1	FA	0.51	
4	SHP	Cake of Cottonseed	F221	FA	0.02	
4	SHP	Bran of Wheat	F308	FA	0.02	
4	SHP	Raw milk of sheep	F162	FJ	1	
4	SHP	Fresh grass, natural pastures	F1	FS	0.45	
4	SHP	Hay, from natural grasses	F147.1	FS	0.51	
4	SHP	Cake of Cottonseed	F221	FS	0.02	
4	SHP	Bran of Wheat	F308	FS	0.02	
4	SHP	Fresh grass, natural pastures	F1	MA	0.45	
4	SHP	Hay, from natural grasses	F147.1	MA	0.51	
4	SHP	Cake of Cottonseed	F221	MA	0.02	
4	SHP	Bran of Wheat	F308	MA	0.02	
4	SHP	Raw milk of sheep	F162	MJ	1	
4	SHP	Fresh grass, natural pastures	F1	MS	0.45	
4	SHP	Hay, from natural grasses	F147.1	MS	0.51	
4	SHP	Cake of Cottonseed	F221	MS	0.02	
4	SHP	Bran of Wheat	F308	MS	0.02	
5	GTS	Hay, from cultivated grasses	F148	FA	0.3	
5	GTS	Other grasses, for forage	F151	FA	0.2	
5	GTS	Mixed grass and legumes, for forage, cultivated	F153.2	FA	0.1	
5	GTS	Cake of Soya beans	F210	FA	0.1	
5	GTS	Cake of Rapeseed	F215	FA	0.02	
5	GTS	Mixed grain	F27	FA	0.05	
5	GTS	Bran of Wheat	F308	FA	0.1	
5	GTS	Maize Gluten meal	F329	FA	0.01	
5	GTS	Beet pulp	F332	FA	0.1	
5	GTS	Maize (corn)	F5	FA	0.02	
5	GTS	Raw milk of goats	F163	FJ	1	
5	GTS	Hay, from cultivated grasses	F148	FS	0.3	
5	GTS	Other grasses, for forage	F151	FS	0.2	
5	GTS	Mixed grass and legumes, for forage, cultivated	F153.2	FS	0.1	
5	GTS	Cake of Soya beans	F210	FS	0.1	
5	GTS	Cake of Rapeseed	F215	FS	0.02	
5	GTS	Mixed grain	F27	FS	0.05	
5	GTS	Bran of Wheat	F308	FS	0.1	
5	GTS	Maize Gluten meal	F329	FS	0.01	
5	GTS	Beet pulp	F332	FS	0.1	
5	GTS	Maize (corn)	F5	FS	0.02	
5	GTS	Hay, from cultivated grasses	F148	MA	0.3	
5	GTS	Other grasses, for forage	F151	MA	0.2	
5	GTS	Mixed grass and legumes, for forage, cultivated	F153.2	MA	0.1	
5	GTS	Cake of Soya beans	F210	MA	0.1	
5	GTS	Cake of Rapeseed	F215	MA	0.02	
5	GTS	Mixed grain	F27	MA	0.05	
5	GTS	Bran of Wheat	F308	MA	0.1	
5	GTS	Maize Gluten meal	F329	MA	0.01	
5	GTS	Beet pulp	F332	MA	0.1	
5	GTS	Maize (corn)	F5	MA	0.02	
5	GTS	Raw milk of goats	F163	MJ	1	
5	GTS	Hay, from cultivated grasses	F148	MS	0.3	
5	GTS	Other grasses, for forage	F151	MS	0.2	
5	GTS	Mixed grass and legumes, for forage, cultivated	F153.2	MS	0.1	
5	GTS	Cake of Soya beans	F210	MS	0.1	
5	GTS	Cake of Rapeseed	F215	MS	0.02	
5	GTS	Mixed grain	F27	MS	0.05	
5	GTS	Bran of Wheat	F308	MS	0.1	
