herd_id	species_short	cohort_short	cohort_duration_days	offtake_rate	death_rate
1	CTL	FA	989	0	0.031
1	CTL	FJ	60	0.5	0.067
1	CTL	FS	710	0.247	0.031
1	CTL	MA	823	0	0.031
1	CTL	MJ	60	0	0.067
1	CTL	MS	710	0.949	0.031
2	CTL	FA	5000	0	0.05
2	CTL	FJ	60	0.661	0.07
2	CTL	FS	1400	0.661	0.05
2	CTL	MA	1820	0	0.05
2	CTL	MJ	60	0.783	0.07
2	CTL	MS	1400	0.783	0.05
3	SHP	FA	1110	0	0.065
3	SHP	FJ	60	0.453	0.171
3	SHP	FS	448	0.453	0.065
3	SHP	MA	2090	0	0.065
3	SHP	MJ	60	0.913	0.171
3	SHP	MS	448	0.913	0.065
4	SHP	FA	2430	0	0.0309
4	SHP	FJ	60	0.543	0.101
4	SHP	FS	669	0.543	0.0309
4	SHP	MA	2680	0	0.0309
4	SHP	MJ	60	0.836	0.101
4	SHP	MS	669	0.836	0.0309
5	GTS	FA	2230	0	0.02
5	GTS	FJ	60	0.737	0.05
5	GTS	FS	415	0.737	0.02
5	GTS	MA	1540	0	0.02
5	GTS	MJ	60	0.974	0.05
5	GTS	MS	415	0.974	0.02
6	GTS	FA	2110	0	0.127
6	GTS	FJ	60	0.359	0.33
6	GTS	FS	564	0.359	0.127
6	GTS	MA	2600	0	0.127
6	GTS	MJ	60	0.644	0.33
6	GTS	MS	600	0.644	0.127
7	BFL	FA	3650	0	0.04
7	BFL	FJ	60	0.664	0.08
7	BFL	FS	974	0.664	0.04
7	BFL	MA	1170	0	0.04
7	BFL	MJ	60	0.906	0.08
7	BFL	MS	974	0.906	0.04
8	BFL	FA	1830	0	0.1
8	BFL	FJ	60	0.134	0.24
8	BFL	FS	1400	0.134	0.1
8	BFL	MA	2430	0	0.1
8	BFL	MJ	60	0.862	0.53
8	BFL	MS	1400	0.862	0.1
9	PGS	FA	890	0	0.0603
9	PGS	FJ	27	0	0.13
9	PGS	FS	359	0.948	0.0509
9	PGS	MA	890	0	0.0603
9	PGS	MJ	27	0	0.13
9	PGS	MS	359	0.973	0.0516
10	PGS	FA	3650	0	0.02
10	PGS	FJ	90	0.2	0.22
10	PGS	FS	340	0.952	0.031
10	PGS	MA	3650	0	0.02
10	PGS	MJ	90	0	0.22
10	PGS	MS	340	0.974	0.0305
11	CML	FA	5000	0	0.063
11	CML	FJ	370	0	0.28
11	CML	FS	2190	0	0.03
11	CML	MA	5000	0.004	0.063
11	CML	MJ	370	0	0.28
11	CML	MS	2190	0.496	0.03
12	CML	FA	5000	0	0.06
12	CML	FJ	365	0	0.2
12	CML	FS	1280	0	0.03
12	CML	MA	5000	0.004	0.06
12	CML	MJ	365	0	0.2
12	CML	MS	1280	0.5	0.03
13	CHK	FA	365	0.18	0.06
13	CHK	FJ	3	0.08	0.12
13	CHK	FS	167	0.12	0.08
13	CHK	MA	365	0.75	0.09
13	CHK	MJ	3	0.12	0.12
13	CHK	MS	167	0.7	0.09
