herd_id	species_short	cohort_short	cohort_duration_days	death_rate	low_activity_fraction	high_activity_fraction	nondemo_productive_phase_id	is_egg_producing
13	CHK	FA	365	0.06	0.15	0.05		TRUE
13	CHK	FJ	3	0.12	0.15	0.05		FALSE
13	CHK	FS	167	0.08	0.15	0.05		FALSE
13	CHK	MA	365	0.09	0.15	0.05		FALSE
13	CHK	MJ	3	0.12	0.15	0.05		FALSE
13	CHK	MS	167	0.09	0.15	0.05		FALSE
14	CHK	FA	365	0.08	0.03	0.02		FALSE
14	CHK	FJ	3	0.12	0.03	0.02		FALSE
14	CHK	FN		0.08	0.03	0.02	1	FALSE
14	CHK	FN		0.1	0.03	0.02	2	TRUE
14	CHK	FS	147	0.08	0.03	0.02		FALSE
14	CHK	MA	365	0.1	0.03	0.02		FALSE
14	CHK	MJ	3	0.12	0.03	0.02		FALSE
14	CHK	MS	147	0.1	0.03	0.02		FALSE
