herd_id	species_short	cohort_short	cohort_duration_days	offtake_rate	low_activity_fraction	high_activity_fraction	cohort_stock_size	offtake_heads_assessment	nondemo_productive_phase_id	is_egg_producing
1	CTL	FA	989	0	1.66e-06	3.6e-05	12076655.9875138	4251320.83052749		
1	CTL	FJ	60	0.5	1.66e-06	3.6e-05	566341.118394697	2468899.84812847		
1	CTL	FS	710	0.247	1.66e-06	3.6e-05	4918051.25894795	1412934.94666679		
1	CTL	MA	823	0	1.66e-06	3.6e-05	2306.55921613433	982.593753624677		
1	CTL	MJ	60	0	1.66e-06	3.6e-05	796286.585614646	0		
1	CTL	MN	60	1	1.66e-06	3.6e-05	691119.662710351	0	1	
1	CTL	MN	120	1	1.66e-06	3.6e-05	1169682.2068753	1792364.28316065	2	
1	CTL	MS	710	0.949	1.66e-06	3.6e-05	79556.6207270845	248478.415331197		
2	CTL	FA	5000	0	0.0465	0.6	7014.57319108008	352.787438924705		
2	CTL	FJ	60	0.661	0.0465	0.6	232.833221850757	1599.48864632432		
2	CTL	FS	1400	0.661	0.0465	0.6	662.566735530807	742.762915506515		
2	CTL	MA	1820	0	0.0465	0.6	1612.1923112029	266.65868945479		
2	CTL	MJ	60	0.783	0.0465	0.6	193.585917517634	1891.6810313854		
2	CTL	MS	1400	0.783	0.0465	0.6	284.248622817826	453.320272295419		
3	SHP	FA	1110	0	0.133	0.226	2785519.19611322	821306.546465175		
3	SHP	FJ	60	0.453	0.133	0.226	147620.381986054	600174.682235816		
3	SHP	FS	448	0.453	0.133	0.226	587692.011118294	367301.571000807		
3	SHP	MA	2090	0	0.133	0.226	1958993.36630666	285194.22225927		
3	SHP	MJ	60	0.913	0.133	0.226	63096.9400963627	1190380.41811029		
3	SHP	MS	448	0.913	0.133	0.226	17078.1043794055	45368.6597256571		
4	SHP	FA	2430	0	0.0218	0.478	4545824.98889507	613169.739820658		
4	SHP	FJ	60	0.543	0.0218	0.478	183859.250115336	930850.060611058		
4	SHP	FS	669	0.543	0.0218	0.478	715678.243322185	570771.176544972		
4	SHP	MA	2680	0	0.0218	0.478	2303766.49227327	275998.720894748		
4	SHP	MJ	60	0.836	0.0218	0.478	118550.443526206	1426178.71045864		
4	SHP	MS	669	0.836	0.0218	0.478	112320.581867931	208805.494496219		
5	GTS	FA	2230	0	0.109	0.245	943257.107489313	144806.21694013		
5	GTS	FJ	60	0.737	0.109	0.245	34478.9053415241	288237.261492478		
5	GTS	FS	415	0.737	0.109	0.245	58261.2556938271	78831.9968679306		
5	GTS	MA	1540	0	0.109	0.245	287207.343644472	62170.9246138643		
5	GTS	MJ	60	0.974	0.109	0.245	15327.4598808326	378139.070664555		
5	GTS	MS	415	0.974	0.109	0.245	1467.92795003072	5609.81273537626		
6	GTS	FA	2110	0	0.75	0	113626.393651343	12923.5209943714		
6	GTS	FJ	60	0.359	0.75	0	9482.4595763404	31909.2344468122		
6	GTS	FS	564	0.359	0.75	0	38574.5932752612	18521.5570781556		
6	GTS	MA	2600	0	0.75	0	20169.5475417452	1676.2124117215		
6	GTS	MJ	60	0.644	0.75	0	6912.89054387609	57049.3321743724		
6	GTS	MS	600	0.644	0.75	0	11234.115411434	12769.3773996252		
7	BFL	FA	3650	0	0.0111	0.0189	265060.071934462	21441.0862285898		
7	BFL	FJ	60	0.664	0.0111	0.0189	10184.73805936	71087.3513110781		
