herd_id	species_short	cohort_short	live_weight_cohort_average	offtake_rate	low_activity_fraction	high_activity_fraction	live_weight_cohort_initial	live_weight_cohort_final	live_weight_mature_stage	daily_weight_gain	cohort_duration_days	ration_digestibility_fraction	ration_gross_energy	ration_metabolizable_energy	cohort_stock_size	nondemo_productive_phase_id	is_egg_producing
1	CTL	FA	680	0	1.66e-06	3.6e-05	680	680	680	0	989	0.709532212618576	18.788	10.943	12076655.9875138		
1	CTL	FJ	145.5	0.5	1.66e-06	3.6e-05	41	250	680	3.48333333333333	60	0.972602739726027	21.9	20.4	566341.118394697		
1	CTL	FS	449.8095	0.247	1.66e-06	3.6e-05	250	649.619	680	0.605633802816901	710	0.709532212618576	18.788	10.943	4918051.25894795		
1	CTL	MA	916	0	1.66e-06	3.6e-05	916	916	916	0	823	0.709532212618576	18.788	10.943	2306.55921613433		
1	CTL	MJ	145.5	0	1.66e-06	3.6e-05	41	250	916	3.48333333333333	60	0.972602739726027	21.9	20.4	796286.585614646		
1	CTL	MN	325	1	1.66e-06	3.6e-05	250	400	700	2.5	60	0.709532212618576	18.788	10.943	691119.662710351	1	
1	CTL	MN	550	1	1.66e-06	3.6e-05	400	700	700	2.5	120	0.709532212618576	18.788	10.943	1169682.2068753	2	
1	CTL	MS	435.4305	0.949	1.66e-06	3.6e-05	250	620.861	916	0.938028169014084	710	0.709532212618576	18.788	10.943	79556.6207270845		
2	CTL	FA	350	0	0.0465	0.6	350	350	350	0	5000	0.572190679447977	17.85	8.1062	7014.57319108008		
2	CTL	FJ	117	0.661	0.0465	0.6	14	220	350	3.43333333333333	60	0.972602739726027	21.9	20.4	232.833221850757		
2	CTL	FS	251.95	0.661	0.0465	0.6	220	283.9	350	0.0928571428571429	1400	0.572190679447977	17.85	8.1062	662.566735530807		
2	CTL	MA	450	0	0.0465	0.6	450	450	450	0	1820	0.572190679447977	17.85	8.1062	1612.1923112029		
2	CTL	MJ	117	0.783	0.0465	0.6	14	220	450	3.43333333333333	60	0.972602739726027	21.9	20.4	193.585917517634		
2	CTL	MS	256.7	0.783	0.0465	0.6	220	293.4	450	0.164285714285714	1400	0.572190679447977	17.85	8.1062	284.248622817826		
3	SHP	FA	51	0	0.133	0.226	51	51	51	0	1110	0.642882445582431	18.214	9.4792	2785519.19611322		
3	SHP	FJ	17.095	0.453	0.133	0.226	4.19	30	51	0.430166666666667	60	0.970588235294118	20.4	19	147620.381986054		
3	SHP	FS	36.876	0.453	0.133	0.226	30	43.752	51	0.046875	448	0.642882445582431	18.214	9.4792	587692.011118294		
3	SHP	MA	59	0	0.133	0.226	59	59	59	0	2090	0.642882445582431	18.214	9.4792	1958993.36630666		
3	SHP	MJ	17.095	0.913	0.133	0.226	4.19	30	59	0.430166666666667	60	0.970588235294118	20.4	19	63096.9400963627		
3	SHP	MS	33.544	0.913	0.133	0.226	30	37.088	59	0.0647321428571429	448	0.642882445582431	18.214	9.4792	17078.1043794055		
4	SHP	FA	60.1	0	0.0218	0.478	60.1	60.1	60.1	0	2430	0.563495829753329	17.929	8.0304	4545824.98889507		
4	SHP	FJ	20.105	0.543	0.0218	0.478	5.21	35	60.1	0.4965	60	0.970588235294118	20.4	19	183859.250115336		
4	SHP	FS	45.29655	0.543	0.0218	0.478	35	55.5931	60.1	0.0375186846038864	669	0.563495829753329	17.929	8.0304	715678.243322185		
4	SHP	MA	70.3	0	0.0218	0.478	70.3	70.3	70.3	0	2680	0.563495829753329	17.929	8.0304	2303766.49227327		
4	SHP	MJ	20.105	0.836	0.0218	0.478	5.21	35	70.3	0.4965	60	0.970588235294118	20.4	19	118550.443526206		
4	SHP	MS	46.6308	0.836	0.0218	0.478	35	58.2616	70.3	0.0527653213751868	669	0.563495829753329	17.929	8.0304	112320.581867931		
5	GTS	FA	70	0	0.109	0.245	70	70	70	0	2230	0.68496062232986	18.358	10.105	943257.107489313		
5	GTS	FJ	9.25	0.737	0.109	0.245	3.5	15	70	0.191666666666667	60	0.972602739726027	21.9	20.4	34478.9053415241		
5	GTS	FS	25.9175	0.737	0.109	0.245	15	36.835	70	0.132530120481928	415	0.68496062232986	18.358	10.105	58261.2556938271		
5	GTS	MA	110	0	0.109	0.245	110	110	110	0	1540	0.68496062232986	18.358	10.105	287207.343644472		
5	GTS	MJ	9.25	0.974	0.109	0.245	3.5	15	110	0.191666666666667	60	0.972602739726027	21.9	20.4	15327.4598808326		
5	GTS	MS	21.105	0.974	0.109	0.245	15	27.21	110	0.228915662650602	415	0.68496062232986	18.358	10.105	1467.92795003072		
6	GTS	FA	51	0	0.75	0	51	51	51	0	2110	0.558056619170171	17.85	7.91	113626.393651343		
6	GTS	FJ	8.65	0.359	0.75	0	3.3	14	51	0.178333333333333	60	0.972602739726027	21.9	20.4	9482.4595763404		
6	GTS	FS	28.551	0.359	0.75	0	14	43.102	51	0.0656028368794326	564	0.558056619170171	17.85	7.91	38574.5932752612		
6	GTS	MA	75.2	0	0.75	0	75.2	75.2	75.2	0	2600	0.558056619170171	17.85	7.91	20169.5475417452		
6	GTS	MJ	8.65	0.644	0.75	0	3.3	14	75.2	0.178333333333333	60	0.972602739726027	21.9	20.4	6912.89054387609		
6	GTS	MS	29.7236	0.644	0.75	0	14	45.4472	75.2	0.102	600	0.558056619170171	17.85	7.91	11234.115411434		
7	BFL	FA	600	0	0.0111	0.0189	600	600	600	0	3650	0.68432487233309	18.888	10.594	265060.071934462		
7	BFL	FJ	84	0.664	0.0111	0.0189	38	130	600	1.53333333333333	60	0.97119341563786	24.3	22.6	10184.73805936		
7	BFL	FS	305.24	0.664	0.0111	0.0189	130	480.48	600	0.482546201232033	974	0.68432487233309	18.888	10.594	28057.0787745114		
7	BFL	MA	800	0	0.0111	0.0189	800	800	800	0	1170	0.68432487233309	18.888	10.594	21656.5309466421		
7	BFL	MJ	84	0.906	0.0111	0.0189	38	130	800	1.53333333333333	60	0.97119341563786	24.3	22.6	6149.07084149851		
7	BFL	MS	292.86	0.906	0.0111	0.0189	130	455.72	800	0.687885010266941	974	0.68432487233309	18.888	10.594	2892.50944352592		
8	BFL	FA	478	0	0.157	0.0431	478	478	478	0	1830	0.536240499015486	18.245	7.9301	44168651.6087817		
8	BFL	FJ	71.3	0.134	0.157	0.0431	32.6	110	478	1.29	60	0.97119341563786	24.3	22.6	2498355.80073363		
8	BFL	FS	269.344	0.134	0.157	0.0431	110	428.688	478	0.262857142857143	1400	0.536240499015486	18.245	7.9301	40936587.9660686		
8	BFL	MA	500	0	0.157	0.0431	500	500	500	0	2430	0.536240499015486	18.245	7.9301	4598859.54442868		
8	BFL	MJ	71.3	0.862	0.157	0.0431	32.6	110	500	1.29	60	0.97119341563786	24.3	22.6	566593.289263099		
8	BFL	MS	136.91	0.862	0.157	0.0431	110	163.82	500	0.278571428571429	1400	0.536240499015486	18.245	7.9301	30951.7907243048		
9	PGS	FA	225	0	0	0	225	225	225	0	890	0.790296762581842	18.857	14.185	1961145.43789459		
9	PGS	FJ	4.1	0	0	0	1.2	7	225	0.214814814814815	27	0.972868217054264	25.8	24.1	2189363.78889505		
9	PGS	FN	26.9411764705882	1	0	0	7	46.8823529411765	120	0.664705882352941	60	0.790296762581842	18.857	14.185	3825923.30534447	1	
