herd_id	species_short	cohort_short	ration_intake	ration_nitrogen	daily_weight_gain	cohort_duration_days	cohort_stock_size	nondemo_productive_phase_id	is_egg_producing
1	CTL	FA	12.5415826476617	0.021006	0	989	12076655.9875138		
1	CTL	FJ	4.87698237005299	0.0411	3.48333333333333	60	566341.118394697		
1	CTL	FS	7.02789936060203	0.021006	0.605633802816901	710	4918051.25894795		
1	CTL	MA	8.69729715122236	0.021006	0	823	2306.55921613433		
1	CTL	MJ	3.33287861950109	0.0411	3.48333333333333	60	796286.585614646		
1	CTL	MN	11.0209678733931	0.021006	2.5	60	691119.662710351	1	
1	CTL	MN	16.3523145594327	0.021006	2.5	120	1169682.2068753	2	
1	CTL	MS	6.96510031466175	0.021006	0.938028169014084	710	79556.6207270845		
2	CTL	FA	7.33764954131088	0.016416	0	5000	7014.57319108008		
2	CTL	FJ	6.33465170884208	0.0411	3.43333333333333	60	232.833221850757		
2	CTL	FS	5.66216185832154	0.016416	0.0928571428571429	1400	662.566735530807		
2	CTL	MA	9.15239667448776	0.016416	0	1820	1612.1923112029		
2	CTL	MJ	4.66964851309578	0.0411	3.43333333333333	60	193.585917517634		
2	CTL	MS	6.03470882016632	0.016416	0.164285714285714	1400	284.248622817826		
3	SHP	FA	1.09966456729679	0.0200758	0	1110	2785519.19611322		
3	SHP	FJ	0.716578593750705	0.0486	0.430166666666667	60	147620.381986054		
3	SHP	FS	0.815380499063558	0.0200758	0.046875	448	587692.011118294		
3	SHP	MA	0.982319301063609	0.0200758	0	2090	1958993.36630666		
3	SHP	MJ	0.716540904260537	0.0486	0.430166666666667	60	63096.9400963627		
3	SHP	MS	0.67670967229209	0.0200758	0.0647321428571429	448	17078.1043794055		
4	SHP	FA	1.49493250131498	0.016861	0	2430	4545824.98889507		
4	SHP	FJ	0.916274756937695	0.0486	0.4965	60	183859.250115336		
4	SHP	FS	1.27412982494581	0.016861	0.0375186846038864	669	715678.243322185		
4	SHP	MA	1.49154045454186	0.016861	0	2680	2303766.49227327		
4	SHP	MJ	0.888248908923267	0.0486	0.4965	60	118550.443526206		
4	SHP	MS	1.30036638916994	0.016861	0.0527653213751868	669	112320.581867931		
5	GTS	FA	1.54008607650618	0.02694	0	2230	943257.107489313		
5	GTS	FJ	0.324126419136191	0.0411	0.191666666666667	60	34478.9053415241		
5	GTS	FS	0.786511730734205	0.02694	0.132530120481928	415	58261.2556938271		
5	GTS	MA	1.78301295186868	0.02694	0	1540	287207.343644472		
5	GTS	MJ	0.324126419136191	0.0411	0.191666666666667	60	15327.4598808326		
5	GTS	MS	0.610300944662706	0.02694	0.228915662650602	415	1467.92795003072		
6	GTS	FA	1.64233725301258	0.01565	0	2110	113626.393651343		
6	GTS	FJ	0.30478199965794	0.0411	0.178333333333333	60	9482.4595763404		
6	GTS	FS	1.24292878329795	0.01565	0.0656028368794326	564	38574.5932752612		
6	GTS	MA	1.94840109944876	0.01565	0	2600	20169.5475417452		
6	GTS	MJ	0.30478199965794	0.0411	0.178333333333333	60	6912.89054387609		
