herd_id	species_short	cohort_short	cohort_stock_size	offtake_heads_assessment	live_weight_cohort_at_slaughter	nondemo_productive_phase_id	is_egg_producing
1	CTL	FA	12076655.9875138	4251320.83052749	680		
1	CTL	FJ	566341.118394697	2468899.84812847	250		
1	CTL	FS	4918051.25894795	1412934.94666679	557		
1	CTL	MA	2306.55921613433	982.593753624677	916		
1	CTL	MJ	796286.585614646	0	250		
1	CTL	MN	691119.662710351	0	400	1	
1	CTL	MN	1169682.2068753	1792364.28316065	700	2	
1	CTL	MS	79556.6207270845	248478.415331197	605		
2	CTL	FA	7014.57319108008	352.787438924705	350		
2	CTL	FJ	232.833221850757	1599.48864632432	220		
2	CTL	FS	662.566735530807	742.762915506515	250		
2	CTL	MA	1612.1923112029	266.65868945479	450		
2	CTL	MJ	193.585917517634	1891.6810313854	220		
2	CTL	MS	284.248622817826	453.320272295419	250		
3	SHP	FA	2785519.19611322	821306.546465175	51		
3	SHP	FJ	147620.381986054	600174.682235816	30		
3	SHP	FS	587692.011118294	367301.571000807	35		
3	SHP	MA	1958993.36630666	285194.22225927	59		
3	SHP	MJ	63096.9400963627	1190380.41811029	30		
3	SHP	MS	17078.1043794055	45368.6597256571	35		
4	SHP	FA	4545824.98889507	613169.739820658	60.1		
4	SHP	FJ	183859.250115336	930850.060611058	35		
4	SHP	FS	715678.243322185	570771.176544972	51.8		
4	SHP	MA	2303766.49227327	275998.720894748	70.3		
4	SHP	MJ	118550.443526206	1426178.71045864	35		
4	SHP	MS	112320.581867931	208805.494496219	55.9		
5	GTS	FA	943257.107489313	144806.21694013	70		
5	GTS	FJ	34478.9053415241	288237.261492478	15		
5	GTS	FS	58261.2556938271	78831.9968679306	25		
5	GTS	MA	287207.343644472	62170.9246138643	110		
5	GTS	MJ	15327.4598808326	378139.070664555	15		
5	GTS	MS	1467.92795003072	5609.81273537626	25		
6	GTS	FA	113626.393651343	12923.5209943714	51		
6	GTS	FJ	9482.4595763404	31909.2344468122	14		
6	GTS	FS	38574.5932752612	18521.5570781556	29		
6	GTS	MA	20169.5475417452	1676.2124117215	75.2		
6	GTS	MJ	6912.89054387609	57049.3321743724	14		
6	GTS	MS	11234.115411434	12769.3773996252	29		
7	BFL	FA	265060.071934462	21441.0862285898	600		
7	BFL	FJ	10184.73805936	71087.3513110781	130		
7	BFL	FS	28057.0787745114	31462.123264623	420		
7	BFL	MA	21656.5309466421	5693.83214533415	800		
7	BFL	MJ	6149.07084149851	96578.6533971126	130		
7	BFL	MS	2892.50944352592	7185.56019540175	420		
8	BFL	FA	44168651.6087817	6679315.82834119	478		
8	BFL	FJ	2498355.80073363	2505861.12388584	110		
8	BFL	FS	40936587.9660686	6212245.08999733	110		
8	BFL	MA	4598859.54442868	454871.151739708	500		
8	BFL	MJ	566593.289263099	15931538.6005336	110		
8	BFL	MS	30951.7907243048	68604.6872811141	110		
9	PGS	FA	1961145.43789459	736144.250256529	225		
9	PGS	FJ	2189363.78889505	0	7		
9	PGS	FN	3825923.30534447	0	46.8823529411765	1	
9	PGS	FN	6312773.45381835	9922230.04583408	120	2	
9	PGS	FS	892260.955483739	2901570.06628305	122		
9	PGS	MA	1520369.78714365	555498.725766072	265		
9	PGS	MJ	2189363.78889505	0	7		
9	PGS	MN	2957772.9792287	0	49.375	1	
9	PGS	MN	4251025.89482718	14699600.0679024	120	2	
9	PGS	MS	0.608469221721365	0.695353713311187	122		
10	PGS	FA	339686.068065356	30648.9084948823	64		
10	PGS	FJ	372725.99043537	383585.122419017	6		
10	PGS	FN	125014.533305167	0	24	1	
10	PGS	FN	122275.15120269	234897.000994642	60	2	
10	PGS	FS	162437.776256208	558888.787541772	60		
10	PGS	MA	214636.478678238	19346.7748172707	71		
10	PGS	MJ	419799.957790273	0	6		
10	PGS	MN	161413.856084349	0	24	1	
10	PGS	MN	157876.873489134	303289.783281759	60	2	
10	PGS	MS	174133.314693215	736780.892938744	60		
11	CML	FA	3028327.44706306	136970.850184556	352		
11	CML	FJ	556741.55701959	0	120		
11	CML	FS	2402477.56840919	0	352		
11	CML	MA	47080.5934887761	2254.75990588307	382		
11	CML	MJ	556741.55701959	0	120		
11	CML	MS	618631.2769998	431720.689497374	382		
12	CML	FA	148890.884111919	6898.68363137059	537		
12	CML	FJ	50931.7285803687	0	150		
12	CML	FS	113864.119596835	0	537		
12	CML	MA	14609.7668635523	715.457463511935	572		
12	CML	MJ	50931.7285803687	0	150		
12	CML	MS	50771.7722669562	35812.646875366	572		
13	CHK	FA	892.792962650236	532.704768963811	1.8		TRUE
13	CHK	FJ	114.099786877768	660.144066051755	0.04		FALSE
13	CHK	FS	2056.27029031973	332.090755089839	1.6		FALSE
13	CHK	MA	287.571839391595	303.090537163459	2.4		FALSE
13	CHK	MJ	112.419942387734	990.393969051365	0.04		FALSE
13	CHK	MS	1536.84517837294	2401.00325641738	2.1		FALSE
