herd_id	species_short	milk_yield_day	lactating_females_fraction	milk_protein_fraction	milk_fat_fraction	milk_lactose_fraction	milk_protein_fraction_standard	milk_fat_fraction_standard	milk_lactose_fraction_standard	fibre_yield_year	carcass_dressing_fraction	bone_free_meat_fraction	meat_protein_fraction
1	"CTL"	27.9	0.4	0.031	0.037	0.048	0.033	0.04	0.048	0	0.65	0.65	0.21
2	"CTL"	0	0	0	0	0	0.033	0.04	0.048	0	0.65	0.65	0.21
3	"SHP"	0.212	0.3	0.058	0.066	0.045	0.033	0.04	0.048	1.5	0.65	0.7	0.21
4	"SHP"	0	0	0	0	0	0.033	0.04	0.048	2.5	0.65	0.7	0.21
5	"GTS"	1.34	0.3	0.034	0.0589	0.046	0.033	0.04	0.048	1.8	0.65	0.7	0.21
6	"GTS"	0	0	0	0	0	0.033	0.04	0.048	0.75	0.65	0.7	0.21
7	"BFL"	2.32	0.35	0.0466	0.0824	0.048	0.033	0.04	0.048	0	0.65	0.75	0.21
8	"BFL"	5.09	0.35	0.035	0.071	0.048	0.033	0.04	0.048	0	0.65	0.75	0.21
9	"PGS"	0	0	0	0	0	0.033	0.04	0.048	0	0.65	0.65	0.21
10	"PGS"	0	0	0	0	0	0.033	0.04	0.048	0	0.65	0.65	0.21
11	"CML"	4.17	0.3	0.035	0.035	0.048	0.033	0.04	0.048	1	0.65	0.65	0.21
12	"CML"	9.72	0.3	0.035	0.035	0.048	0.033	0.04	0.048	1	0.65	0.65	0.21
