herd_id	cohort_short	nondemo_productive_phase_id	cohort_duration_days	offtake_rate	death_rate
1	"FA"	NA	989	0	0.031
1	"FJ"	NA	60	0.247	0.067
1	"FS"	NA	710	0.247	0.031
1	"MA"	NA	823	0	0.031
1	"MJ"	NA	60	0.949	0.067
1	"MN"	1	NA	NA	0.1
1	"MN"	2	NA	NA	0.1
1	"MS"	NA	710	0.949	0.031
2	"FA"	NA	5000	0	0.05
2	"FJ"	NA	60	0.661	0.07
2	"FS"	NA	1400	0.661	0.05
2	"MA"	NA	1820	0	0.05
2	"MJ"	NA	60	0.783	0.07
2	"MS"	NA	1400	0.783	0.05
3	"FA"	NA	1110	0	0.065
3	"FJ"	NA	60	0.453	0.171
3	"FS"	NA	448	0.453	0.065
3	"MA"	NA	2090	0	0.065
3	"MJ"	NA	60	0.913	0.171
3	"MS"	NA	448	0.913	0.065
4	"FA"	NA	2430	0	0.0309
4	"FJ"	NA	60	0.543	0.101
4	"FS"	NA	669	0.543	0.0309
4	"MA"	NA	2680	0	0.0309
4	"MJ"	NA	60	0.836	0.101
4	"MS"	NA	669	0.836	0.0309
5	"FA"	NA	2230	0	0.02
5	"FJ"	NA	60	0.737	0.05
5	"FS"	NA	415	0.737	0.02
5	"MA"	NA	1540	0	0.02
5	"MJ"	NA	60	0.974	0.05
5	"MS"	NA	415	0.974	0.02
6	"FA"	NA	2110	0	0.127
6	"FJ"	NA	60	0.359	0.33
6	"FS"	NA	564	0.359	0.127
6	"MA"	NA	2600	0	0.127
6	"MJ"	NA	60	0.644	0.33
6	"MS"	NA	600	0.644	0.127
7	"FA"	NA	3650	0	0.04
7	"FJ"	NA	60	0.664	0.08
7	"FS"	NA	974	0.664	0.04
7	"MA"	NA	1170	0	0.04
7	"MJ"	NA	60	0.906	0.08
7	"MS"	NA	974	0.906	0.04
8	"FA"	NA	1830	0	0.1
8	"FJ"	NA	60	0.134	0.24
8	"FS"	NA	1400	0.134	0.1
8	"MA"	NA	2430	0	0.1
8	"MJ"	NA	60	0.862	0.53
8	"MS"	NA	1400	0.862	0.1
9	"FA"	NA	890	0	0.0603
9	"FJ"	NA	27	0.948	0.13
9	"FN"	1	NA	NA	0.1
9	"FN"	2	NA	NA	0.1
9	"FS"	NA	359	0.948	0.0509
9	"MA"	NA	890	0	0.0603
9	"MJ"	NA	27	0.973	0.13
9	"MN"	1	NA	NA	0.1
9	"MN"	2	NA	NA	0.1
9	"MS"	NA	359	0.973	0.0516
10	"FA"	NA	3650	0	0.02
10	"FJ"	NA	90	0.952	0.22
10	"FN"	1	NA	NA	0.1
10	"FN"	2	NA	NA	0.1
10	"FS"	NA	340	0.952	0.031
10	"MA"	NA	3650	0	0.02
10	"MJ"	NA	90	0.974	0.22
10	"MN"	1	NA	NA	0.1
10	"MN"	2	NA	NA	0.1
10	"MS"	NA	340	0.974	0.0305
11	"FA"	NA	5000	0	0.063
11	"FJ"	NA	370	0	0.28
11	"FS"	NA	2190	0	0.03
11	"MA"	NA	5000	0.004	0.063
11	"MJ"	NA	370	0	0.28
11	"MS"	NA	2190	0.496	0.03
12	"FA"	NA	5000	0	0.06
12	"FJ"	NA	365	0	0.2
12	"FS"	NA	1280	0	0.03
12	"MA"	NA	5000	0.004	0.06
12	"MJ"	NA	365	0	0.2
12	"MS"	NA	1280	0.5	0.03
