herd_id	cohort_short	cohort_duration_days	offtake_rate	nondemo_productive_phase_id
1	FA	989	0	NA
1	FJ	60	0.247	NA
1	FS	710	0.247	NA
1	MA	823	0	NA
1	MJ	60	0.949	NA
1	MS	710	0.949	NA
2	FA	5000	0	NA
2	FJ	60	0.661	NA
2	FS	1400	0.661	NA
2	MA	1820	0	NA
2	MJ	60	0.783	NA
2	MS	1400	0.783	NA
3	FA	1110	0	NA
3	FJ	60	0.453	NA
3	FS	448	0.453	NA
3	MA	2090	0	NA
3	MJ	60	0.913	NA
3	MS	448	0.913	NA
4	FA	2430	0	NA
4	FJ	60	0.543	NA
4	FS	669	0.543	NA
4	MA	2680	0	NA
4	MJ	60	0.836	NA
4	MS	669	0.836	NA
5	FA	2230	0	NA
5	FJ	60	0.737	NA
5	FS	415	0.737	NA
5	MA	1540	0	NA
5	MJ	60	0.974	NA
5	MS	415	0.974	NA
6	FA	2110	0	NA
6	FJ	60	0.359	NA
6	FS	564	0.359	NA
6	MA	2600	0	NA
6	MJ	60	0.644	NA
6	MS	600	0.644	NA
7	FA	3650	0	NA
7	FJ	60	0.664	NA
7	FS	974	0.664	NA
7	MA	1170	0	NA
7	MJ	60	0.906	NA
7	MS	974	0.906	NA
8	FA	1830	0	NA
8	FJ	60	0.134	NA
8	FS	1400	0.134	NA
8	MA	2430	0	NA
8	MJ	60	0.862	NA
8	MS	1400	0.862	NA
9	FA	890	0	NA
9	FJ	27	0.948	NA
9	FS	359	0.948	NA
9	MA	890	0	NA
9	MJ	27	0.973	NA
9	MS	359	0.973	NA
10	FA	3650	0	NA
10	FJ	90	0.952	NA
10	FS	340	0.952	NA
10	MA	3650	0	NA
10	MJ	90	0.974	NA
10	MS	340	0.974	NA
11	FA	5000	0	NA
11	FJ	370	0	NA
11	FS	2190	0	NA
11	MA	5000	0.004	NA
11	MJ	370	0	NA
11	MS	2190	0.496	NA
12	FA	5000	0	NA
12	FJ	365	0	NA
12	FS	1280	0	NA
12	MA	5000	0.004	NA
12	MJ	365	0	NA
12	MS	1280	0.5	NA
1	MN	30	1	1
1	MN	50	1	2
9	FN	60	1	1
9	FN	90	1	2
9	MN	60	1	1
9	MN	90	1	2
10	FN	60	1	1
10	FN	90	1	2
10	MN	60	1	1
10	MN	90	1	2
